hashID {9},Title {2},Description {2},StatsID {2},Count {3},Type {1},sortID {2},Disp {1},HideGoal {1},Unlock {1},Title_replace_ms {1},Title_replace_id {2},Desc_replace_ms {1},Desc_replace_id {2}
<9EABAB09>,1,911,0,1,0,10,1,2,0,0,0,0,0
<CD15E265>,2,912,1,1,0,20,1,2,0,0,0,0,0
<03CA1CC9>,3,913,2,1,0,30,1,2,0,0,0,0,0
<D716D426>,4,914,3,1,0,40,1,2,0,0,0,0,0
<A059B660>,5,915,4,1,0,50,1,2,0,0,0,0,0
<628DC915>,11,921,10,1,0,110,1,2,0,0,0,0,0
<D234D137>,12,922,11,1,0,120,1,2,0,0,0,0,0
<0F22FE1B>,13,923,12,1,0,130,1,2,0,0,0,0,0
<1FF29D7B>,14,924,13,1,0,140,1,2,0,0,0,0,0
<802811B8>,15,925,14,1,0,150,1,2,0,0,0,0,0
<BC400045>,21,931,20,1,0,210,1,2,0,0,0,0,0
<5B864C6C>,22,932,21,1,0,220,1,2,0,0,0,0,0
<2AD3026A>,23,933,22,1,0,230,1,2,0,0,0,0,0
<10DA468C>,24,934,23,1,0,240,1,2,0,0,0,0,0
<A28764E2>,31,941,30,1,0,310,1,2,0,0,0,0,0
<3D3384B4>,32,942,31,1,0,320,1,2,0,0,0,0,0
<45AA0843>,33,943,32,1,0,330,1,2,0,0,0,0,0
<A84E88D2>,34,944,33,1,0,340,1,2,0,0,0,0,0
<942EB60F>,41,951,40,1,0,410,1,2,0,0,0,0,0
<017C9326>,42,952,41,1,0,420,1,2,0,0,0,0,0
<ADC8188B>,43,953,42,1,0,430,1,2,0,0,0,0,0
<E9B87894>,44,954,43,1,0,440,1,2,0,0,0,0,0
<2AFEE3CD>,51,961,50,1,0,510,1,2,0,0,0,0,0
<6DBF7647>,52,962,51,1,0,520,1,2,0,0,0,0,0
<84F431D4>,53,963,52,1,0,530,1,2,0,0,0,0,0
<0A155EA2>,54,964,53,1,0,540,1,2,0,0,0,0,0
<EB5D3AC4>,55,965,54,1,0,550,1,2,0,0,0,0,0
<4A4720C5>,61,971,60,1,0,610,1,2,0,0,0,0,0
<46CC6D20>,62,972,61,1,0,620,1,2,0,0,0,0,0
<F57CBA80>,63,973,62,1,0,630,1,2,0,0,0,0,0
<6BAFE067>,64,974,63,1,0,640,1,2,0,0,0,0,0
<8D3F16B7>,71,981,70,1,0,710,1,2,0,0,0,0,0
<F00C9DAB>,72,982,71,1,0,720,1,2,0,0,0,0,0
<365AD4E8>,73,983,72,1,0,730,1,2,0,0,0,0,0
<20175776>,74,984,73,1,0,740,1,2,0,0,0,0,0
