Name {2},Caption {2},zoneID {1},category {1},panel {1},Rare {1},Price {2},ItemInfo [NoSell] {1},UI2 {2},UI3 {2}
1,301,2,1,1,1,100,0,1,301
2,302,2,1,0,1,100,0,2,302
3,303,2,1,0,2,200,0,3,303
4,304,2,1,0,2,200,0,4,304
5,305,2,1,0,3,300,0,5,305
6,306,2,1,0,4,400,0,6,306
7,307,4,1,0,2,200,0,7,307
8,308,4,1,0,2,200,0,8,308
9,309,4,1,0,3,300,0,9,309
10,310,4,1,0,4,400,0,10,310
11,311,4,1,1,4,400,0,11,311
12,312,5,1,0,1,100,0,12,312
13,313,5,1,0,1,100,0,13,313
14,314,5,1,0,2,200,0,14,314
15,315,5,1,1,3,300,0,15,315
16,316,5,1,0,3,300,0,16,316
17,317,5,1,0,4,400,0,17,317
18,318,5,1,0,4,400,0,18,318
19,319,7,1,0,2,200,0,19,319
20,320,7,1,1,3,300,0,20,320
21,321,7,1,0,3,300,0,21,321
22,322,7,1,0,4,400,0,22,322
23,323,7,1,0,4,400,0,23,323
24,324,6,1,0,2,200,0,24,324
25,325,6,1,0,2,200,0,25,325
26,326,6,1,1,3,300,0,26,326
27,327,6,1,0,4,400,0,27,327
28,328,2,2,0,1,100,0,28,328
29,329,2,2,1,1,100,0,29,329
30,330,2,2,0,1,100,0,30,330
31,331,2,2,0,2,200,0,31,331
32,332,2,2,0,2,200,0,32,332
33,333,2,2,0,3,300,0,33,333
34,334,4,2,0,1,100,0,34,334
35,335,4,2,0,1,100,0,35,335
36,336,4,2,0,2,200,0,36,336
37,337,4,2,0,2,200,0,37,337
38,338,4,2,0,3,300,0,38,338
39,339,4,2,1,3,300,0,39,339
40,340,4,2,0,4,400,0,40,340
41,341,4,2,0,4,400,0,41,341
42,342,5,2,0,2,200,0,42,342
43,343,5,2,0,3,300,0,43,343
44,344,5,2,0,3,300,0,44,344
45,345,5,2,1,4,400,0,45,345
46,346,7,2,0,2,200,0,46,346
47,347,7,2,0,2,200,0,47,347
48,348,7,2,0,2,200,0,48,348
49,349,7,2,1,4,400,0,49,349
50,350,7,2,0,4,400,0,50,350
51,351,6,2,0,2,200,0,51,351
52,352,6,2,1,2,200,0,52,352
53,353,6,2,0,4,400,0,53,353
54,354,6,2,0,4,400,0,54,354
55,355,6,2,0,4,400,0,55,355
56,356,2,3,0,1,100,0,56,356
57,357,2,3,0,1,100,0,57,357
58,358,2,3,0,2,200,0,58,358
59,359,2,3,0,2,200,0,59,359
60,360,2,3,1,3,300,0,60,360
61,361,2,3,0,3,300,0,61,361
62,362,2,3,0,4,400,0,62,362
63,363,2,3,0,4,400,0,63,363
64,364,4,3,0,1,100,0,64,364
65,365,4,3,0,1,100,0,65,365
66,366,4,3,1,1,100,0,66,366
67,367,4,3,0,2,200,0,67,367
68,368,4,3,0,3,300,0,68,368
69,369,4,3,0,3,300,0,69,369
70,370,4,3,0,3,300,0,70,370
71,371,5,3,0,2,200,0,71,371
72,372,5,3,0,2,200,0,72,372
73,373,5,3,1,2,200,0,73,373
74,374,5,3,0,2,200,0,74,374
75,375,5,3,0,4,400,0,75,375
76,376,5,3,0,4,400,0,76,376
77,377,7,3,0,1,100,0,77,377
78,378,7,3,1,1,100,0,78,378
79,379,7,3,0,1,100,0,79,379
80,380,7,3,0,2,200,0,80,380
81,381,7,3,0,3,300,0,81,381
82,382,6,3,0,2,200,0,82,382
83,383,6,3,0,3,300,0,83,383
84,384,6,3,1,4,400,0,84,384
85,385,6,3,0,4,400,0,85,385
86,386,2,4,0,1,100,0,86,386
87,387,2,4,0,1,100,0,87,387
88,388,2,4,0,1,100,0,88,388
89,389,2,4,0,2,200,0,89,389
90,390,2,4,1,3,300,0,90,390
91,391,2,4,0,3,300,0,91,391
92,392,2,4,0,3,300,0,92,392
93,393,4,4,0,1,100,0,93,393
94,394,4,4,1,1,100,0,94,394
95,395,4,4,0,2,200,0,95,395
96,396,4,4,0,3,300,0,96,396
97,397,4,4,0,4,400,0,97,397
98,398,4,4,0,4,400,0,98,398
99,399,5,4,1,1,100,0,99,399
100,400,5,4,0,1,100,0,100,400
101,401,5,4,0,1,100,0,101,401
102,402,5,4,0,1,100,0,102,402
103,403,5,4,0,1,100,0,103,403
104,404,5,4,0,2,200,0,104,404
105,405,5,4,0,2,200,0,105,405
106,406,5,4,0,3,300,0,106,406
107,407,7,4,0,2,200,0,107,407
108,408,7,4,0,3,300,0,108,408
109,409,7,4,1,4,400,0,109,409
110,410,7,4,0,4,400,0,110,410
111,411,6,4,1,2,200,0,111,411
112,412,6,4,0,2,200,0,112,412
