name {7}
Melone Ajira
Patata legata
Lattuga Sadelana
Cavolo Mosa
Carota Keppo
Pomodoro Amidoresia
Fungo Caseras
Melanzana Zandemo
Felce mattutina
Erbe Fodornallow
Fungo Sibercaseras
Foglia di cavolo Gubura
Aglio Shinuyuni
Fagiolo a cosse
Zucca Gi Dou
Peperone della volontà
Foglia Charupa
Broccoli Dobobora
Radice Daikon
Fagiolo Dosoram
Sesamo Yaya
Mais bianco
Sedano di Mizar
Cipolla Kyatara
Peperoncino potente
Germoglio di Bibambù
Cipollotto Belzadozebu
Mirtillograno
Rocciarancia
Bardanfragola
Mela lucente
Mondociliegia
Limone sonar
Guaiava Socha
Prapaia
Foglia di babaco
Durian Amana
Magmango
Prugna aspra
Foglia di banana
Melone divino
Cocomero Suna
Uva reale
Kiwuovo
Melagrana spinata
Cachi Shido
Bacca fredda
Ribes bianco
Uva smeraldo
Papaia a grappolo
Gyulali
Magmarrone
Frutto Akebi di ferro
Crisantemi striati
Ananas dell’incubo
Plantago Zezè
Norangiglio
Nerina dolce
Erba gatta Kiran
Tarassaco Doga
Erba Sona
Ortica minima Garudo
Jonquilla Nirvana
Girasole timido
Leagiglio
Erba rampicamaleonte
Fiormuneria
Cosmea Sekka
Cedro Masuke
Amarillide dormiente
Primula Jobo
Aglio Gudo
Raponzolo Banban
Avena Mya
Cactus Myuena
Agrifoglio Kepha
Artemisia Bude
Violetta esplosiva
Giglio Sese
Rosa di Antorus
Shia cattleya
Tulipano Poron
Jaharmum
Erba Bogano
Muranadium
Rizattice
Coaletri
Scoiattolo roditore
Pipistrello strisciante
Sardina dorata
Coniglio Zizi
Ashizel
Armadillo roccia
Platessa multiforme
Oranghiottone
Iguari
Pavone specchiato
Medusa continentale
Cangudora
Tanuki fantasma
Topo Denemozumi
Polposuka
Tartaruga jet
Cetriolo della sabbia
Scimmia tonta
Babbuino fugace
Tremendopecora
Calamaro medusa
Beaporge
Pinguinion
Serpente fucile
Cinghiale infernale
Oca canterina
Volpe di lava
Sciacallo Gibney
Zanzara palla
Locusta elastica
Scarabeo trattore
Coccinella maculata
Mangiameteo
Formica errante
Collembolo assassino
Libellula nottilucente
Tafano intermittente
Falena tenace
Mantidama
Calabrone della follia
Ragnopardo
Scarabeo Kusakiri
Papilionide di Absop
Geco Panciapiena
Vermetalpa
Cimice ingannatrice
Mosca ombra
Insetto stecco comune
Scorpione frusta
Scarabeo squartatore
Scarabeo sabbia bianca
Scarabeo Baibai
Grillo di vetro
Grillo della pioggia
Farfalla di cristallo
Filangelo di neve
Lucciola fatua
Grillo degli abissi
Scarabeo Cetecegem
Mosca proiettile
Grillo pungente
Legno marino di Logunie
Sabbia ferrifera bianca
Residuo cristallino
Perla Sanelac
Cristallo Arnacian
Osso d’Aurora
Foglia Katoan
Argilla Oranghiottone
Terra da zucchero
Pietraspecchio Noka
Cristallo Galjim
Cotone Harnenga
Muschio eterno
Fossile Wainess
Ramoscello Zedis
Stalattite Exubera
Resina cactacea argentata
Brezza Kridokan
Fango fluido
Scaglie di roccia Acton
Corallo Fullerene
Acido Taoman
Roccia Grandan
Rame Jagitos
Spora Pomio
Lava raffreddante
Terra Zalon
Elettrogemma Rogebra
Polvere Autiga
Precipietra Zagyrin
Olio Cliord
Specchioscudo deflettore
Radiatore anidro
Tubo inossidabile isolante
Serbatoio L-002
Spaziometro L-002
Tuta spaziale US-X
Generatore a raggi
Congelaterra
Nostalgia L-002
Reattore a ioni HI9
Iperdissipatore Mk. IX
Guanto interattivo
Stampante 3D
Deflettore AiR
Drone solare multispecchio
Riciclatore avanzato
Degenereattore L-002
Trasformatore senza fili
Pellicola protettiva
Generatore di DNA
Laser Dagoo L-002
I.A. indipendente A-HAB
Invertitore vento solare
Freno a ossigeno
Vernice fluorescente
Autoposizionatore
Idroestrattore
Prototipo di FN 3
Polpo meccanico
Mortaio rifinito
Abaco a ghiande
Mascorteccia
Borsa di canapa
Intonapietra
Massa ripugnante
Piatto di frutti di mare
Barca di Legno marino
Lampada luccicante
Raddrizzaschiena
Scatola spinata
Lancia fatale
Incisione su arenaria
Bacchetta Trovatutto
Bracciale Uroboro
Tamburo del valore
Nopolito
Unguento Yabuyabu
Salvagente di paglia
Pallone spora
Osservastelle
Cappa mimetica
Rametto degli spiriti
Trampoelastico
Pietra affilatrice
Vaso carbonizzato
Lente di pietra
Lanterna oscura
Ali di Icaro
Sacco a pelo Bogano
Salvadanaiopon
Acceleratore verticale
Anello stritolante
Luce a raggi T
Fiasca maculata
Nucleo Grosium
Terminale cerebrale
Esagoscanner
Serbatoio Joad
Ammattatore risonante
Ultrafiltro
Visore inquisitore
Reattore sacrificale
Paracoda in acciaio
Elmo cornuto
Osso da guerra
Pelle luccicante
Dispositivo Detilid
Cavi per missili
Dose di furia cieca
Emblema del fulmine
Corona dolente
Metalliquido intelligente
Analizzatore assoluto
Artiglio selvaggio
Batteria elementale
Alternatore di gravità
Frammento di Dilama
Scanner Voltant
Polvere di meditazione
Tramonto californiano
Miraggioscopio
Richiamo primordiale
Bacio di dea
Magnete scintillante
Specchio ingannevole
Bilancia della giustizia
Motore sferico EM
Statua degli idoli antichi
Forteferro
Sabbia camaleonte
Guardiastella della fanciulla
Roccia dell’eco
Incisioni indecifrabili
Pietra d’angelo
Sintetizzatore di memoria
Sale doppia elica
Liquido verde brillante
Uovo fiorito
Estasi di regina
Vite di pietra
Mostrastelle
Trasmettitofono
Catenamici dell'Intesa
Pompamuscoli
Bastone brutale +10
Calderone capriccioso
Sonaglio sismico
Scettro superiore
Maschera bieca
Bozzetto selvaggio
Tomo della morte e rinascita
"Un frutto simile a una zucca racchiuso in[ST:n ]una scorza nera. La polpa bianca non ha[ST:n ]un gran sapore, ma viene usata come[ST:n ]ingrediente per le sue qualità nutritive."
"Una patata a forma di goccia che cresce[ST:n ]a Primordia. È amara e non può essere[ST:n ]mangiata cruda, ma è ricca di proteine[ST:n ]e spesso usata come ingrediente."
"Una lattuga che genera calore. Ricorda[ST:n ]il sole per le sue foglie brillanti. Soggetta[ST:n ]ad autocombustione, si può trovare[ST:n ]solo nei giorni di pioggia."
"La peluria soffice e la colorazione[ST:n ]variegata contrastano con il suo sapore,[ST:n ]che assomiglia molto a quello[ST:n ]di un cavolo comune."
"Una carota divisa in otto radici, tutte[ST:n ]molto dolci tranne una. La radice[ST:n ]restante è così amara da fare[ST:n ]lacrimare gli occhi."
"Un pomodoro in grado di accumulare[ST:n ]enormi quantità d’acqua, e che dà frutti[ST:n ]solo nei giorni di pioggia. La sua polpa[ST:n ]succosa lo rende appetibile a molti."
"Questo fungo, originario di Noctilum,[ST:n ]rilascia spore nell’aria che stordiscono[ST:n ]la fauna circostante. Una sua sottospecie[ST:n ]provoca ebbrezza a chi la mangia."
"Una melanzana dolce che cresce sugli[ST:n ]alberi, assorbendone la linfa. Inoltre,[ST:n ]ne espelle gli agenti patogeni, assicurando[ST:n ]all’albero maggiore longevità."
"Questi viticci carnivori crescono e si[ST:n ]espandono verso l’esterno, a caccia di[ST:n ]insetti. Ricchi di proteine, sono a loro[ST:n ]volta una fonte di nutrimento essenziale."
"Cresce assorbendo il plasma nell’aria,[ST:n ]per questo le sue foglie cambiano colore.[ST:n ]È una pianta molto ricercata per le sue[ST:n ]capacità lenitive e il sapore forte."
Una sottospecie del fungo Caseras che[ST:n ]cresce una volta ogni cento anni. Si dice[ST:n ]che chi lo assaggi passi il resto[ST:n ]della sua vita in estasi.
"Ha il sapore di un cavolo, ma è di un[ST:n ]colore scuro che diventa nero intenso se[ST:n ]bollita. Ancora si dibatte su quale sia il[ST:n ]nome migliore da dare a questo vegetale."
"Ha la forma di un corno affusolato, ed è[ST:n ]sconsigliato toccarlo senza guanti.[ST:n ]Se mangiato, garantisce eccellenti effetti[ST:n ]guaritivi, ma anche l’alito pesante..."
"La buccia spessa contiene svariati fagioli[ST:n ]dalla grandezza di un pugno. Poiché un [ST:n ]solo fagiolo garantisce nutrimento per un[ST:n ]giorno intero, sono ideali per viaggiare."
"Un nuovo tipo di zucca importata da una[ST:n ]razza aliena. Nonostante il gusto insipido,[ST:n ]la sua capacità di crescere su terreni[ST:n ]aridi la rende un cibo inestimabile."
"Lampeggia di rosso, giallo, blu e nero[ST:n ]in sequenza continua. È davvero un[ST:n ]peperone dall’aspetto sontuoso, un piacere[ST:n ]sia per gli occhi, sia per il palato."
"Un’erba magnetica, coperta di polvere[ST:n ]ferrosa, che aiuta a eliminare dal corpo[ST:n ]il ferro in eccesso durante la digestione.[ST:n ]È ampiamente utilizzata come[ST:n ]erba medicinale."
"Broccoli a forma di corona che, si dice,[ST:n ]trasformano chi li mangia in Signore di[ST:n ]Mira. I test dimostrano che mangiandoli,[ST:n ]in effetti, ci si sente davvero grandiosi."
Un ravanello le cui molteplici radici si[ST:n ]intrecciano come la doppia elica del DNA.[ST:n ]L’aspetto maestoso purtroppo non è[ST:n ]uguagliato dal suo sapore mediocre.
"Acuisce gli effetti dell’alcol, e può portare[ST:n ]a intossicazione alcolica. È bene non[ST:n ]sottovalutare gli effetti di questi fagioli."
"Nel suo guscio ci sono semi più piccoli[ST:n ]di granelli di sabbia. Se agitato, produce[ST:n ]un piacevole suono ritmico che calma[ST:n ]i nervi e combatte lo stress."
"Una pianta bianco-bluastra che ricorda[ST:n ]quella del mais. Durante la crescita,[ST:n ]i suoi semi si riempiono di gas[ST:n ]fino a staccarsi e volare via."
Un raro tipo di sedano che cresce soltanto[ST:n ]dai resti di animali battuti incessantemente[ST:n ]dalla pioggia. Il suo sapore dipende dal[ST:n ]tipo di carcassa animale da cui cresce.
"Sbucciandola si rivela un cuore non[ST:n ]commestibile. Solo la buccia può essere[ST:n ]mangiata, ma il suo sapore dolce e[ST:n ]delicato è da gustare a piccole dosi."
"Un peperoncino dotato della potenza di[ST:n ]un fulmine, in grado di mettere al tappeto[ST:n ]anche i più forti. Per questo, è più spesso[ST:n ]utilizzato in guerra che in cucina."
"Può sembrare un albero, ma al gusto e al[ST:n ]tatto è identico al bambù. Gli animali di[ST:n ]Cauldros utilizzano la sua corteccia[ST:n ]per affilare zanne e corna."
"Una radice nera molto tossica in grado di[ST:n ]uccidere anche le creature più enormi.[ST:n ]Crescendo, viene contagiata dalle sue[ST:n ]stesse tossine e lentamente muore."
"La sua buccia trasparente racchiude un[ST:n ]frutto a granuli gelatinoso. Il succo è[ST:n ]dolce, ma anche molto appiccicoso e[ST:n ]difficile da pulire. Maneggiare con cura!"
"Un’arancia che viene spesso confusa con[ST:n ]una roccia. Ha un ottimo sapore delicato,[ST:n ]ma molti la giudicano solo dall’aspetto[ST:n ]decisamente poco invitante."
"Sembra una bardana ma ha il sapore di[ST:n ]una fragola, molto poco attraente. Prima[ST:n ]di renderla disponibile al pubblico, la si[ST:n ]deve lavorare per darle la forma di[ST:n ]una fragola."
"Sotto la buccia nera giace un seme che[ST:n ]brilla come una stella sul punto di[ST:n ]diventare una supernova. Purtroppo,[ST:n ]se estratto, il seme si spegne."
"Se ingerito può causare eccitazione,[ST:n ]con effetti collaterali quali picchi[ST:n ]di euforia e palpitazioni. Comunque,[ST:n ]il suo gusto intenso è innegabile."
Un limone ultrasonico i cui richiami sono[ST:n ]fuori dalla portata dell’orecchio umano.[ST:n ]I nativi in grado di sentirli corrono alla[ST:n ]disperata ricerca della loro fonte.
"Un frutto selvaggio che cresce nei boschi[ST:n ]di Noctilum. L’esposizione prolungata ai[ST:n ]raggi del sole ne dissolve la buccia,[ST:n ]rivelandone la polpa interna."
"Una volta maturo, il frutto si stacca[ST:n ]dall’albero e cade a terra. Essere colpiti[ST:n ]da uno di questi frutti può essere molto[ST:n ]pericoloso. Bisogna fare attenzione!"
"Un babaco dalle foglie sorprendentemente[ST:n ]rigogliose e robuste, che si propaga su[ST:n ]tutto il pianeta, facendosi strada a forza[ST:n ]attraverso piante e rocce."
"Un frutto luminoso che cresce all’interno[ST:n ]dei fiori giganti di Noctilum. Dotato[ST:n ]di spine lunghe e acuminate, non lascia[ST:n ]scampo a chi cade preda del suo fulgore."
Un frutto così elastico che la sua buccia[ST:n ]è stata persino utilizzata nell’industria[ST:n ]tessile. È così dolce e gommoso che[ST:n ]sembra una gomma da masticare.
"Una prugna aspra che cresce soltanto in[ST:n ]grotte buie. Ha un sapore così forte da[ST:n ]mettere in ginocchio anche le creature più[ST:n ]resistenti, e molte fuggono terrorizzate."
"Una foglia dall’aspetto ordinario che sa di[ST:n ]banana. Nonostante molti la amino per il[ST:n ]suo sapore dolce, la sua capacità di[ST:n ]confondersi tra altre foglie la rende rara."
"Un raro melone luminescente. Adorato sin[ST:n ]dalla notte dei tempi come frutto sacro,[ST:n ]si dice che un solo morso della sua polpa[ST:n ]doni la sapienza... o almeno un sorriso."
"Un frutto che cresce solo nelle zone più[ST:n ]tempestose, a una prima occhiata sembra[ST:n ]un cumulo di sabbia. Una volta maturato,[ST:n ]però, assomiglia a un succoso cocomero."
"Un frutto così grande che ne cresce solo[ST:n ]uno per albero. Assomiglia all’uva, ma[ST:n ]non produce vino. Però, mischiato con[ST:n ]l’alcol si può bere come fosse vino."
Un kiwi con un guscio simile a quello di[ST:n ]un uovo. L’involucro funge da scudo per[ST:n ]proteggere il contenuto dagli insetti[ST:n ]che popolano le regioni di Mira.
"Un frutto ricoperto di aculei affilati, molto[ST:n ]apprezzato in medicina per le sue qualità[ST:n ]emostatiche. Spesso, però, viene sprecato[ST:n ]per curare le ferite di chi l’ha raccolto."
"La scarsa quantità di polpa è compensata[ST:n ]dai suoi semi commestibili. Anche se[ST:n ]amari, questi semi sono così buoni[ST:n ]che rischiano di dare dipendenza."
"Un frutto che accumula l’aria fredda[ST:n ]circostante. È così freddo da congelare[ST:n ]chiunque lo tocchi, e può essere mangiato[ST:n ]solo dopo essere stato riscaldato."
Un frutto costituito da semi che sembrano[ST:n ]soffici fiocchi di neve. È molto amaro e[ST:n ]viene spesso usato per scaldarsi da[ST:n ]chi vive in zone molto fredde.
"Un’uva dai chicchi che sembrano gioielli[ST:n ]intarsiati. Di solito molto aspra, in rare[ST:n ]occasioni diventa così dolce da inebriare[ST:n ]di felicità chi la mangia."
"Un frutto misterioso che trabocca di[ST:n ]energia. Se lasciato cadere, è in grado di[ST:n ]provocare un’esplosione devastante, per[ST:n ]questo va trattato con estrema cautela."
"Un frutto che sa di carne. Se cotto ad[ST:n ]alte temperature, assume il sapore di[ST:n ]manzo, mentre a basse temperature[ST:n ]ha sapore di maiale."
"Un seme resistente al calore, spesso[ST:n ]trovato nella lava, il cui guscio diventa[ST:n ]roccioso una volta raffreddato. Dolce e[ST:n ]molto nutriente, ma difficile da rompere."
"Con una buccia dura come il ferro, questo[ST:n ]frutto ha tutto ciò che serve per difendersi[ST:n ]dall’ambiente ostile. Essendo sopravvissuto[ST:n ]per innumerevoli millenni, racchiude in[ST:n ]sé informazioni genetiche vitali."
"Un fico con alte capacità purificatrici, che[ST:n ]cresce anche su terreni cattivi. Se assunto[ST:n ]senza motivo, può compromettere[ST:n ]l’assimilazione di altre sostanze nutritive."
"Un ananas di colore nero, cosparso di[ST:n ]puntini che assomigliano a occhi. Si dice[ST:n ]che chi lo tocchi cada in una spirale di[ST:n ]incubi. Adatto solo ai più forti di spirito."
"Un’erba che si rigenera subito una volta[ST:n ]tagliata. Se viene potata, gli steli caduti[ST:n ]si moltiplicano facendo crescere ancora[ST:n ]più erba. Il fuoco è l’unico modo[ST:n ]per sbarazzarsene."
"Un giglio bianco che, se colpito dalla luce[ST:n ]della luna, emette un tenue bagliore[ST:n ]dorato. Molti tipi di insetti si trovano[ST:n ]spesso a volare intorno a questo fiore."
"Fiorisce ogni giorno solo per un attimo[ST:n ]fugace, poi si richiude timidamente[ST:n ]prima della notte. I suoi colori sono[ST:n ]uno spettacolo magnifico per chi ha[ST:n ]la fortuna di vederlo."
"Un’erba affascinante che ha la capacità di[ST:n ]attirare ogni tipo di animale, non solo i[ST:n ]felini. Sprigiona un potente profumo che[ST:n ]viene percepito da chilometri di distanza."
"Questa pianta sparge i suoi semi nella[ST:n ]natura circostante. I semi si nutrono[ST:n ]dell’ospite a cui si attaccano come[ST:n ]parassiti. Per questo, l’ospite[ST:n ]ha spesso vita breve."
"Un’erba con un profumo dolce, fresco e[ST:n ]rilassante. Si dice che anche le creature[ST:n ]più agitate siano calmate dal suo aroma."
"Nonostante cresca in tutto il pianeta, il[ST:n ]suo seme germoglia spesso in spazi[ST:n ]angusti, e per questo non riesce a[ST:n ]crescere. Una specie in via d’estinzione."
