ID,Name,Caption,Rare,UI2
1,Conner's Comm Device,"Conner's communication device,[ST:n ]dropped as he was on the run from[ST:n ]vicious indigens.",1,2383
2,Windshield Glass,"A windshield from a military vehicle.[ST:n ]Now highly prized, as Earth-made[ST:n ]parts are quite rare.",2,2383
3,Bobby's Watch,"A wristwatch owned by the young man[ST:n ]Pauline treated as a son. On the back is[ST:n ]written, \""Mother Pauline, protect me.\""",3,2383
4,Gnarlbranch Sap,Sap produced by giant trees growing in[ST:n ]the depths of Noctilum. It has strong[ST:n ]growth-accelerating properties.,4,2383
5,Legen-dar,A radar device for finding legendary[ST:n ]ancient Nopon artifacts. It can pick up[ST:n ]even the faintest traces of legendaryness.,5,2383
6,Smelly Legen-dar,"A radar device for finding legendary[ST:n ]ancient Nopon artifacts. Having spent[ST:n ]time in an indigen's belly, it now boasts[ST:n ]an incredibly foul odor.",1,2383
7,Slice of Bread,A piece of bread that the starving Moimoi[ST:n ]saved for his brother.,2,2383
8,Deep Blue Gem,A stolen jewel that gives off a beautiful[ST:n ]deep blue sparkle. It seduces its bearer[ST:n ]with a precious charm.,3,2383
9,Large Stuffed Lobster,A stuffed toy lobster that doubles as a[ST:n ]key to the Blood Lobster's lair.,5,2383
10,Stuffed Lobster,A seemingly innocent soft toy that hides[ST:n ]a deadly bomb.,1,2383
11,Meal Ticket,A coupon entitling the bearer to a free[ST:n ]meal at the diner. Received in exchange[ST:n ]for a bronze cinicula card.,1,2383
12,Suid Bones,The bones of a suid. Received in exchange[ST:n ]for a bronze petramand card.,2,2383
13,Ma-non Hunting Kit,"Hunting tools invented by Capsica.[ST:n ]Supposedly they're your \""best friend\"" in[ST:n ]the field, but it's unclear how to use them.",2,2383
14,Bronze Blatta Card,A bronze Miralife Card with a picture of[ST:n ]a blatta.,2,2383
15,Bronze Cinicula Card,A bronze Miralife Card with a picture of[ST:n ]a cinicula.,3,2383
16,Bronze Petramand Card,A bronze Miralife Card with a picture of[ST:n ]a petramand.,3,2383
17,Silver Simius Card,A silver Miralife Card with a picture of a[ST:n ]simius.,3,2383
18,Silver Evello Card,A silver Miralife Card with a picture of[ST:n ]an evello.,4,2383
19,Silver Xiphias Card,A silver Miralife Card with a picture of[ST:n ]a xiphias.,4,2383
20,Silver Mortifole Card,A silver Miralife Card with a picture of[ST:n ]a mortifole.,4,2383
21,Gold Nopopotamus Card,A gold Miralife Card with a picture of[ST:n ]a nopopotamus.,4,2383
22,ITM_PRC022_Name,251,5,2383
23,Natural Pearl,A natural Earth pearl that is highly prized[ST:n ]on Mira.,1,2383
24,ITM_PRC024_Name,253,1,2383
25,ITM_PRC025_Name,254,1,2383
26,ITM_PRC026_Name,255,1,2383
27,ITM_PRC027_Name,256,1,2383
28,ITM_PRC028_Name,257,1,2383
29,ITM_PRC029_Name,258,1,2383
30,ITM_PRC030_Name,259,1,2383
31,ITM_PRC031_Name,260,1,2383
32,White Gold Ore,Fosdyke's only remaining white gold.,1,2383
33,Briggs's Key,A key to a giant safe.,1,2383
34,Fosdyke's Key,A key to a giant safe.,1,2383
35,Moorehouse's Key,A key to a giant safe.,1,2383
36,ITM_PRC036_Name,265,1,2383
37,ITM_PRC037_Name,266,1,2383
