label {9},style {2},name {7}
ITM_PRC001_Name,18,Conner's Comm Device
ITM_PRC002_Name,18,Windshield Glass
ITM_PRC003_Name,18,Bobby's Watch
ITM_PRC004_Name,18,Gnarlbranch Sap
ITM_PRC005_Name,18,Legen-dar
ITM_PRC006_Name,18,Smelly Legen-dar
ITM_PRC007_Name,18,Slice of Bread
ITM_PRC008_Name,18,Deep Blue Gem
ITM_PRC009_Name,18,Large Stuffed Lobster
ITM_PRC010_Name,18,Stuffed Lobster
ITM_PRC011_Name,18,Meal Ticket
ITM_PRC012_Name,18,Suid Bones
ITM_PRC013_Name,18,Ma-non Hunting Kit
ITM_PRC014_Name,18,Bronze Blatta Card
ITM_PRC015_Name,18,Bronze Cinicula Card
ITM_PRC016_Name,18,Bronze Petramand Card
ITM_PRC017_Name,18,Silver Simius Card
ITM_PRC018_Name,18,Silver Evello Card
ITM_PRC019_Name,18,Silver Xiphias Card
ITM_PRC020_Name,18,Silver Mortifole Card
ITM_PRC021_Name,18,Gold Nopopotamus Card
ITM_PRC022_Name,18,
ITM_PRC023_Name,18,Natural Pearl
ITM_PRC024_Name,18,
ITM_PRC025_Name,18,
ITM_PRC026_Name,18,
ITM_PRC027_Name,18,
ITM_PRC028_Name,18,
ITM_PRC029_Name,18,
ITM_PRC030_Name,18,
ITM_PRC031_Name,18,
ITM_PRC032_Name,18,White Gold Ore
ITM_PRC033_Name,18,Briggs's Key
ITM_PRC034_Name,18,Fosdyke's Key
ITM_PRC035_Name,18,Moorehouse's Key
ITM_PRC036_Name,18,
ITM_PRC037_Name,18,
ITM_PRC038_Name,18,
ITM_PRC039_Name,18,Quegga's Note
ITM_PRC040_Name,18,
ITM_PRC041_Name,18,
ITM_PRC042_Name,18,Keycard
ITM_PRC043_Name,18,
ITM_PRC044_Name,18,
ITM_PRC045_Name,18,
ITM_PRC046_Name,18,
ITM_PRC047_Name,18,Ajoa's ID card
ITM_PRC048_Name,18,
ITM_PRC049_Name,18,
ITM_PRC050_Name,18,
ITM_PRC051_Name,18,Ice Cream Cake
ITM_PRC052_Name,18,Malyteth's Bottle
ITM_PRC053_Name,18,
ITM_PRC054_Name,18,
ITM_PRC055_Name,18,Nopon Contract
ITM_PRC056_Name,18,
ITM_PRC057_Name,18,Nopon Gemstone
ITM_PRC058_Name,18,
ITM_PRC059_Name,18,
ITM_PRC060_Name,18,
ITM_PRC061_Name,18,Vi Sezha's Bracelet
ITM_PRC062_Name,18,Ge Jewhe's Dagger
ITM_PRC063_Name,18,
ITM_PRC064_Name,18,
ITM_PRC065_Name,18,Ringstone
ITM_PRC066_Name,18,
ITM_PRC067_Name,18,
ITM_PRC068_Name,18,Zazazan's Package
ITM_PRC069_Name,18,Hazardous Container
ITM_PRC070_Name,18,Hazardous Fuel Cell
ITM_PRC071_Name,18,Nio's IOU
ITM_PRC072_Name,18,Sapphire Ring
ITM_PRC073_Name,18,
ITM_PRC074_Name,18,
ITM_PRC075_Name,18,
ITM_PRC076_Name,18,
ITM_PRC077_Name,18,
ITM_PRC078_Name,18,
ITM_PRC079_Name,18,
ITM_PRC080_Name,18,
ITM_PRC081_Name,18,
ITM_PRC082_Name,18,Lumenoa Leaf
ITM_PRC083_Name,18,Gorkwa
ITM_PRC084_Name,18,Run'tonam's Right Arm
ITM_PRC085_Name,18,
ITM_PRC086_Name,18,
ITM_PRC087_Name,18,Troylan's Gorkwa
ITM_PRC088_Name,18,
ITM_PRC089_Name,18,
ITM_PRC090_Name,18,White Whale Parts
ITM_PRC091_Name,18,
ITM_PRC092_Name,18,
ITM_PRC093_Name,18,
ITM_PRC094_Name,18,Ian's ID Card
ITM_PRC095_Name,18,Nalu's Present
ITM_PRC096_Name,18,Dadapon's Sunglasses
ITM_PRC097_Name,18,Dodonga Treaty
ITM_PRC098_Name,18,Dorian Treaty
ITM_PRC099_Name,18,Wrothian Part
ITM_PRC100_Name,18,Med Kit
ITM_PRC101_Name,18,Internment Camp Key
ITM_PRC102_Name,18,
ITM_PRC103_Name,18,Skell License
ITM_PRC104_Name,18,
ITM_PRC105_Name,18,
ITM_PRC106_Name,18,
ITM_PRC107_Name,18,White Whale Parts
ITM_PRC108_Name,18,L-002 Power Cable
ITM_PRC109_Name,18,Skell License Certificate
ITM_PRC110_Name,18,
ITM_PRC111_Name,18,
ITM_PRC112_Name,18,
ITM_PRC113_Name,18,
ITM_PRC114_Name,18,Tissue Sample
ITM_PRC115_Name,18,Mia's Comm Device
ITM_PRC116_Name,18,Phosphorus-Tree Seed
ITM_PRC117_Name,18,Container Key
ITM_PRC118_Name,18,
ITM_PRC119_Name,18,
ITM_PRC120_Name,18,
ITM_PRC121_Name,18,Grenade Pizza
ITM_PRC122_Name,18,Frozen Pizza
ITM_PRC123_Name,18,Ajiba's Key
ITM_PRC124_Name,18,Mujiba's Key
ITM_PRC125_Name,18,Dancer's Clothes
ITM_PRC126_Name,18,Crimson Tear
ITM_PRC127_Name,18,
ITM_PRC128_Name,18,
ITM_PRC129_Name,18,
ITM_PRC130_Name,18,
ITM_PRC131_Name,18,
ITM_PRC132_Name,18,
ITM_PRC133_Name,18,
ITM_PRC134_Name,18,
ITM_PRC135_Name,18,New Weapon Blueprint
ITM_PRC136_Name,18,
ITM_PRC137_Name,18,Summoning Goggles
ITM_PRC138_Name,18,Senirapa Water
ITM_PRC139_Name,18,
ITM_PRC140_Name,18,Zirtodiamond
ITM_PRC141_Name,18,Golbogga's Disk
ITM_PRC142_Name,18,
ITM_PRC143_Name,18,Tykki Sap
ITM_PRC144_Name,18,
ITM_PRC145_Name,18,Gray Keycard
ITM_PRC146_Name,18,Rectangular Chest
ITM_PRC147_Name,18,
ITM_PRC148_Name,18,
ITM_PRC149_Name,18,
ITM_PRC150_Name,18,
ITM_PRC151_Name,18,
ITM_PRC152_Name,18,
ITM_PRC153_Name,18,Kuta's Cargo
ITM_PRC154_Name,18,
ITM_PRC155_Name,18,Aerozium
ITM_PRC156_Name,18,Guardian Etherscale
ITM_PRC157_Name,18,
ITM_PRC158_Name,18,
ITM_PRC159_Name,18,
ITM_PRC160_Name,18,
