label {9},style {2},name {7}
ITM_PRC001_Name,18,Telecomunicador de Conner
ITM_PRC002_Name,18,Parabrisas
ITM_PRC003_Name,18,Reloj de Bobby
ITM_PRC004_Name,18,Savia de rama nudosa
ITM_PRC005_Name,18,Radario
ITM_PRC006_Name,18,Radario maloliente
ITM_PRC007_Name,18,Rebanada de pan
ITM_PRC008_Name,18,Gema azul profundo
ITM_PRC009_Name,18,Langosta de peluche grande
ITM_PRC010_Name,18,Langosta de peluche
ITM_PRC011_Name,18,Vale de comida
ITM_PRC012_Name,18,Huesos de suid
ITM_PRC013_Name,18,Equipo de caza ma-non
ITM_PRC014_Name,18,Cromo básico: blatta
ITM_PRC015_Name,18,Cromo básico: cinícula
ITM_PRC016_Name,18,Cromo básico: petramanda
ITM_PRC017_Name,18,Cromo plateado: simius
ITM_PRC018_Name,18,Cromo plateado: evelo
ITM_PRC019_Name,18,Cromo plateado: xiphias
ITM_PRC020_Name,18,Cromo plateado: mortifole
ITM_PRC021_Name,18,Cromo dorado: nopopótamo
ITM_PRC022_Name,18,
ITM_PRC023_Name,18,Perla natural
ITM_PRC024_Name,18,
ITM_PRC025_Name,18,
ITM_PRC026_Name,18,
ITM_PRC027_Name,18,
ITM_PRC028_Name,18,
ITM_PRC029_Name,18,
ITM_PRC030_Name,18,
ITM_PRC031_Name,18,
ITM_PRC032_Name,18,Mineral de oro blanco
ITM_PRC033_Name,18,Llave de Briggs
ITM_PRC034_Name,18,Llave de Fosdyke
ITM_PRC035_Name,18,Llave de Moorehouse
ITM_PRC036_Name,18,
ITM_PRC037_Name,18,
ITM_PRC038_Name,18,
ITM_PRC039_Name,18,Nota de Quegga
ITM_PRC040_Name,18,
ITM_PRC041_Name,18,
ITM_PRC042_Name,18,Tarjeta de acceso a Biahno
ITM_PRC043_Name,18,
ITM_PRC044_Name,18,
ITM_PRC045_Name,18,
ITM_PRC046_Name,18,
ITM_PRC047_Name,18,Tarjeta identificativa de Ajoa
ITM_PRC048_Name,18,
ITM_PRC049_Name,18,
ITM_PRC050_Name,18,
ITM_PRC051_Name,18,Tarta helada
ITM_PRC052_Name,18,Botella de Malyteth
ITM_PRC053_Name,18,
ITM_PRC054_Name,18,
ITM_PRC055_Name,18,Contrato nopon
ITM_PRC056_Name,18,
ITM_PRC057_Name,18,Gema de nopon
ITM_PRC058_Name,18,
ITM_PRC059_Name,18,
ITM_PRC060_Name,18,
ITM_PRC061_Name,18,Brazalete de Vi Sezha
ITM_PRC062_Name,18,Daga de Ge Jewhe
ITM_PRC063_Name,18,
ITM_PRC064_Name,18,
ITM_PRC065_Name,18,Aro pétreo
ITM_PRC066_Name,18,
ITM_PRC067_Name,18,
ITM_PRC068_Name,18,Paquete de Zazazan
ITM_PRC069_Name,18,Contenedor peligroso
ITM_PRC070_Name,18,Pila de combustible peligrosa
ITM_PRC071_Name,18,Pagaré de Nio
ITM_PRC072_Name,18,Anillo de zafiro
ITM_PRC073_Name,18,
ITM_PRC074_Name,18,
ITM_PRC075_Name,18,
ITM_PRC076_Name,18,
ITM_PRC077_Name,18,
ITM_PRC078_Name,18,
ITM_PRC079_Name,18,
ITM_PRC080_Name,18,
ITM_PRC081_Name,18,
ITM_PRC082_Name,18,Hoja de luminaria
ITM_PRC083_Name,18,Gorkwa
ITM_PRC084_Name,18,Brazo derecho Run'tonam
ITM_PRC085_Name,18,
ITM_PRC086_Name,18,
ITM_PRC087_Name,18,Gorkwa de Troylan
ITM_PRC088_Name,18,
ITM_PRC089_Name,18,
ITM_PRC090_Name,18,Restos de la Ballena Blanca
ITM_PRC091_Name,18,
ITM_PRC092_Name,18,
ITM_PRC093_Name,18,
ITM_PRC094_Name,18,Tarjeta identificativa de Ian
ITM_PRC095_Name,18,Regalo de Nalu
ITM_PRC096_Name,18,Gafas de sol de papapón
ITM_PRC097_Name,18,Carta de Dodonga
ITM_PRC098_Name,18,Carta de Dorian
ITM_PRC099_Name,18,Restos de tecnología wrothian
ITM_PRC100_Name,18,Botiquín
ITM_PRC101_Name,18,Llave de la prisión
ITM_PRC102_Name,18,
ITM_PRC103_Name,18,Permiso de Skell
ITM_PRC104_Name,18,
ITM_PRC105_Name,18,
ITM_PRC106_Name,18,
ITM_PRC107_Name,18,Restos de la Ballena Blanca
ITM_PRC108_Name,18,Cable de alimentación L-002
ITM_PRC109_Name,18,Certificado de permiso de Skell
ITM_PRC110_Name,18,
ITM_PRC111_Name,18,
ITM_PRC112_Name,18,
ITM_PRC113_Name,18,
ITM_PRC114_Name,18,Muestra de tejido
ITM_PRC115_Name,18,Telecomunicador de Mia
ITM_PRC116_Name,18,Semilla de árbol fosfórico
