label {9},style {2},name {7}
ITM_PRC001_Name,18,Terminal de Conner
ITM_PRC002_Name,18,Verre de pare-brise
ITM_PRC003_Name,18,Montre de Bobby
ITM_PRC004_Name,18,Sève de nodorameau
ITM_PRC005_Name,18,Légen-dar
ITM_PRC006_Name,18,Légen-dar malodorant
ITM_PRC007_Name,18,Tranche de pain
ITM_PRC008_Name,18,Gemme bleu marine
ITM_PRC009_Name,18,Gros homard en peluche
ITM_PRC010_Name,18,Homard en peluche
ITM_PRC011_Name,18,Bon pour un repas
ITM_PRC012_Name,18,Os de suid
ITM_PRC013_Name,18,Kit de chasse ma-non
ITM_PRC014_Name,18,Carte Blatta bronze
ITM_PRC015_Name,18,Carte Cinicula bronze
ITM_PRC016_Name,18,Carte Pétramand bronze
ITM_PRC017_Name,18,Carte Simius argent
ITM_PRC018_Name,18,Carte Évello argent
ITM_PRC019_Name,18,Carte Xiphias argent
ITM_PRC020_Name,18,Carte Mortifole argent
ITM_PRC021_Name,18,Carte Nopon-potamus or
ITM_PRC022_Name,18,
ITM_PRC023_Name,18,Perle naturelle
ITM_PRC024_Name,18,
ITM_PRC025_Name,18,
ITM_PRC026_Name,18,
ITM_PRC027_Name,18,
ITM_PRC028_Name,18,
ITM_PRC029_Name,18,
ITM_PRC030_Name,18,
ITM_PRC031_Name,18,
ITM_PRC032_Name,18,Or blanc
ITM_PRC033_Name,18,Clé de Briggs
ITM_PRC034_Name,18,Clé de Fosdyke
ITM_PRC035_Name,18,Clé de Moorehouse
ITM_PRC036_Name,18,
ITM_PRC037_Name,18,
ITM_PRC038_Name,18,
ITM_PRC039_Name,18,Mot de Quegga
ITM_PRC040_Name,18,
ITM_PRC041_Name,18,
ITM_PRC042_Name,18,Carte magnétique
ITM_PRC043_Name,18,
ITM_PRC044_Name,18,
ITM_PRC045_Name,18,
ITM_PRC046_Name,18,
ITM_PRC047_Name,18,Carte d’accès d’Ajoa
ITM_PRC048_Name,18,
ITM_PRC049_Name,18,
ITM_PRC050_Name,18,
ITM_PRC051_Name,18,Gâteau glacé
ITM_PRC052_Name,18,Bouteille de Malyteth
ITM_PRC053_Name,18,
ITM_PRC054_Name,18,
ITM_PRC055_Name,18,Contrat nopon
ITM_PRC056_Name,18,
ITM_PRC057_Name,18,Gemme nopone
ITM_PRC058_Name,18,
ITM_PRC059_Name,18,
ITM_PRC060_Name,18,
ITM_PRC061_Name,18,Bracelet de Vi Sezha
ITM_PRC062_Name,18,Dague de Ge Jewhe
ITM_PRC063_Name,18,
ITM_PRC064_Name,18,
ITM_PRC065_Name,18,Pierre d’alliance
ITM_PRC066_Name,18,
ITM_PRC067_Name,18,
ITM_PRC068_Name,18,Colis de Zazazan
ITM_PRC069_Name,18,Container dangereux
ITM_PRC070_Name,18,Pile dangereuse
ITM_PRC071_Name,18,Reconnaissance de dette
ITM_PRC072_Name,18,Anneau de saphir
ITM_PRC073_Name,18,
ITM_PRC074_Name,18,
ITM_PRC075_Name,18,
ITM_PRC076_Name,18,
ITM_PRC077_Name,18,
ITM_PRC078_Name,18,
ITM_PRC079_Name,18,
ITM_PRC080_Name,18,
ITM_PRC081_Name,18,
ITM_PRC082_Name,18,Feuille de lumenoa
ITM_PRC083_Name,18,Gorkwa
ITM_PRC084_Name,18,Bras droit de Run'tonam
ITM_PRC085_Name,18,
ITM_PRC086_Name,18,
ITM_PRC087_Name,18,Gorkwa de Troylan
ITM_PRC088_Name,18,
ITM_PRC089_Name,18,
ITM_PRC090_Name,18,Pièces de la Grande Blanche
ITM_PRC091_Name,18,
ITM_PRC092_Name,18,
ITM_PRC093_Name,18,
ITM_PRC094_Name,18,Carte d’accès de Ian
ITM_PRC095_Name,18,Cadeau de Nalu
ITM_PRC096_Name,18,Lunettes à papapon
ITM_PRC097_Name,18,Lettre de Dodonga
ITM_PRC098_Name,18,Lettre de Dorian
ITM_PRC099_Name,18,Pièce wrothianne
ITM_PRC100_Name,18,Kit médical
ITM_PRC101_Name,18,Clé du camp de détention
ITM_PRC102_Name,18,
ITM_PRC103_Name,18,Permis Skell
ITM_PRC104_Name,18,
ITM_PRC105_Name,18,
ITM_PRC106_Name,18,
ITM_PRC107_Name,18,Pièces de la Grande Blanche
ITM_PRC108_Name,18,Câble d’alimentation L-002
ITM_PRC109_Name,18,Certificat de permis Skell
ITM_PRC110_Name,18,
ITM_PRC111_Name,18,
ITM_PRC112_Name,18,
ITM_PRC113_Name,18,
ITM_PRC114_Name,18,Échantillon de tissu
ITM_PRC115_Name,18,Terminal de Mia
ITM_PRC116_Name,18,Graine d'arbre phosphoreux
ITM_PRC117_Name,18,Clé du container
ITM_PRC118_Name,18,
ITM_PRC119_Name,18,
ITM_PRC120_Name,18,
ITM_PRC121_Name,18,Pizza grenade
ITM_PRC122_Name,18,Pizza surgelée
ITM_PRC123_Name,18,Clé d’Ajiba
ITM_PRC124_Name,18,Clé de Mujiba
ITM_PRC125_Name,18,Tenue de danseuse
ITM_PRC126_Name,18,Larme grenat
ITM_PRC127_Name,18,
ITM_PRC128_Name,18,
ITM_PRC129_Name,18,
ITM_PRC130_Name,18,
ITM_PRC131_Name,18,
ITM_PRC132_Name,18,
ITM_PRC133_Name,18,
ITM_PRC134_Name,18,
ITM_PRC135_Name,18,Schéma de nouvelle arme
ITM_PRC136_Name,18,
ITM_PRC137_Name,18,Lunettes d’invocation
ITM_PRC138_Name,18,Eau senirapa
ITM_PRC139_Name,18,
ITM_PRC140_Name,18,Diamant zirto
ITM_PRC141_Name,18,Disque de Golbogga
ITM_PRC142_Name,18,
ITM_PRC143_Name,18,Sève tykki
ITM_PRC144_Name,18,
ITM_PRC145_Name,18,Carte magnétique grise
ITM_PRC146_Name,18,Coffre rectangulaire
ITM_PRC147_Name,18,
ITM_PRC148_Name,18,
ITM_PRC149_Name,18,
ITM_PRC150_Name,18,
ITM_PRC151_Name,18,
ITM_PRC152_Name,18,
ITM_PRC153_Name,18,Cargaison de Kuta
ITM_PRC154_Name,18,
ITM_PRC155_Name,18,Aérozium
ITM_PRC156_Name,18,Écaille éthérée solide
ITM_PRC157_Name,18,
ITM_PRC158_Name,18,
ITM_PRC159_Name,18,
ITM_PRC160_Name,18,
ITM_PRC161_Name,18,
ITM_PRC162_Name,18,
ITM_PRC163_Name,18,Clé du bastion Hilal
ITM_PRC164_Name,18,Bras g. de miméosome
ITM_PRC165_Name,18,Nouvelle plante L-002
ITM_PRC166_Name,18,Journal du révérend
ITM_PRC167_Name,18,Flemtide
ITM_PRC168_Name,18,Éclat de pierre-flotte
ITM_PRC169_Name,18,Fourrure sanglante
ITM_PRC170_Name,18,Pendentif de Law
ITM_PRC171_Name,18,Trois épées
ITM_PRC172_Name,18,Collier de perles
ITM_PRC173_Name,18,Unité de données FN093
ITM_PRC174_Name,18,Kit de réparation
ITM_PRC175_Name,18,Alliage d’Aganeba
ITM_PRC176_Name,18,Débris de cockpit
ITM_PRC177_Name,18,Débris de moteur
ITM_PRC178_Name,18,Débris du Zu Pharg
ITM_PRC179_Name,18,Ferraille
ITM_PRC180_Name,18,Unité de données FN094
ITM_PRC181_Name,18,Tête de miméosome
ITM_PRC182_Name,18,Torse de miméosome
ITM_PRC183_Name,18,Jambe g. de miméosome
ITM_PRC184_Name,18,Jambe d. de miméosome
ITM_PRC185_Name,18,Clé de la barrière 1
ITM_PRC186_Name,18,
ITM_PRC187_Name,18,Mousse nettoyante
ITM_PRC188_Name,18,Médaillon
ITM_PRC189_Name,18,Sable étoile
ITM_PRC190_Name,18,Cristal violet
ITM_PRC191_Name,18,Relique d’Émerian
ITM_PRC192_Name,18,Lecteur manquant
ITM_PRC193_Name,18,Sonde cassée
ITM_PRC194_Name,18,Cœur de pierre
ITM_PRC195_Name,18,
ITM_PRC196_Name,18,
ITM_PRC197_Name,18,Pierre du mont M'gando
ITM_PRC198_Name,18,Herbe gélatine
ITM_PRC199_Name,18,Débris de prototype
ITM_PRC200_Name,18,
ITM_PRC201_Name,18,
ITM_PRC202_Name,18,
ITM_PRC203_Name,18,Bouteille d’échantillonnage
ITM_PRC204_Name,18,Carte du système solaire
ITM_PRC205_Name,18,Hamburger
ITM_PRC206_Name,18,Hot-dog
ITM_PRC207_Name,18,Unité de données FN095
ITM_PRC208_Name,18,Unité de données FN096
ITM_PRC209_Name,18,Unité de données FN097
ITM_PRC210_Name,18,Sonde d’entraînement
ITM_PRC211_Name,18,Bombe chimique toxique
ITM_PRC212_Name,18,Kit médical
ITM_PRC213_Name,18,Soie supérieure
ITM_PRC214_Name,18,Unité de données FN098
ITM_PRC215_Name,18,Épée de Légendari-pon
ITM_PRC216_Name,18,Épée indestructible
ITM_PRC217_Name,18,Voltant
ITM_PRC218_Name,18,Carte magnétique
ITM_PRC219_Name,18,Gorkwa de Troylan
ITM_PRC220_Name,18,Élixir traditionnel orphéen
ITM_PRC221_Name,18,Données d'arme de test
ITM_PRC222_Name,18,Clé de la barrière 2
ITM_PRC223_Name,18,Clé de la barrière 3
ITM_PRC224_Name,18,Phogrium
ITM_PRC225_Name,18,Gros fragment d’anneau
ITM_PRC226_Name,18,Débris des ruines de la butte
ITM_PRC227_Name,18,Rocher énigme de Côte nord
ITM_PRC228_Name,18,Données de communication
ITM_PRC229_Name,18,Données médicales
ITM_PRC230_Name,18,Cartouche d'énergie
ITM_PRC001_Caption,148,"Conner a laissé tomber ce terminal
alors qu’il fuyait des indigènes."
ITM_PRC002_Caption,148,"Le pare-brise d’un véhicule militaire.
Très convoité puisque le verre terrien
est devenu assez rare."
ITM_PRC003_Caption,148,"Une montre-bracelet appartenant à un
jeune homme que Pauline voyait comme
un fils. On peut y lire : « Que ma mère,
Pauline, me protège. »"
ITM_PRC004_Caption,148,"Sève produite par des arbres géants
qui poussent au plus profond de Noctilum.
Ses propriétés accélèrent grandement
la croissance."
ITM_PRC005_Caption,148,"Ancien appareil nopon faisant office
de radar. Il détecte les faibles signaux
des objets légendaires."
ITM_PRC006_Caption,148,"Un radar permettant de trouver les anciens
artéfacts nopons. Trouvé dans l’estomac
d’un indigène, il sent très fort."
ITM_PRC007_Caption,148,"Un morceau de pain, conservé par
Moîmoî, affamé, pour son frère."
ITM_PRC008_Caption,148,"Un joyau volé à l’éclat bleu foncé.
Il séduit son porteur grâce à
sa grande valeur."
ITM_PRC009_Caption,148,"Une grosse peluche de homard. Elle sert
de clé pour accéder au repaire
du Homard Sanglant."
ITM_PRC010_Caption,148,"Une peluche à première vue inoffensive
qui contient en fait une bombe."
ITM_PRC011_Caption,148,"Un bon permettant à son détenteur
d’obtenir un repas gratuit au
café-restaurant. Reçu en échange
d’une carte Cinicula bronze."
ITM_PRC012_Caption,148,"Des os de suid. Reçus en échange
d’une carte Pétramand bronze."
ITM_PRC013_Caption,148,"Des outils de chasse inventés par Capsica.
Ils seraient d'une grande aide, mais
personne ne sait vraiment les utiliser."
ITM_PRC014_Caption,148,"Une carte Miravie de bronze
avec l’image d’une blatta."
ITM_PRC015_Caption,148,"Une carte Miravie de bronze
avec l’image d’une cinicula."
ITM_PRC016_Caption,148,"Une carte Miravie de bronze
avec l’image d’un pétramand."
ITM_PRC017_Caption,148,"Une carte Miravie d’argent
avec l’image d’un simius."
ITM_PRC018_Caption,148,"Une carte Miravie d’argent
avec l’image d’un évello."
ITM_PRC019_Caption,148,"Une carte Miravie d’argent
avec l’image d’un xiphias."
ITM_PRC020_Caption,148,"Une carte Miravie d’argent
avec l’image d’une mortifole."
ITM_PRC021_Caption,148,"Une carte Miravie d’or avec l’image
d’un nopon-potamus."
ITM_PRC022_Caption,171,
ITM_PRC023_Caption,148,"Une perle naturelle venant de la Terre.
Très prisée sur Mira."
ITM_PRC024_Caption,171,
ITM_PRC025_Caption,171,
ITM_PRC026_Caption,171,
ITM_PRC027_Caption,171,
ITM_PRC028_Caption,171,
ITM_PRC029_Caption,171,
ITM_PRC030_Caption,171,
ITM_PRC031_Caption,171,
ITM_PRC032_Caption,148,L’or blanc appartenant à Fosdyke.
ITM_PRC033_Caption,148,Une des clés d’un coffre géant.
ITM_PRC034_Caption,148,Une des clés d’un coffre géant.
ITM_PRC035_Caption,148,Une des clés d’un coffre géant.
ITM_PRC036_Caption,171,
ITM_PRC037_Caption,171,
ITM_PRC038_Caption,171,
ITM_PRC039_Caption,148,"Un mot gribouillé : « J’ai cach...pour
Théa dans... grotte de la forteresse
de Terre-sèche. S'il vous plaît...
à Théa... ? »"
ITM_PRC040_Caption,171,
ITM_PRC041_Caption,171,
ITM_PRC042_Caption,148,"La carte magnétique d’un chercheur
qui donne accès à l’usine de traitement
de l’eau de Biahno."
ITM_PRC043_Caption,171,
ITM_PRC044_Caption,171,
ITM_PRC045_Caption,171,
ITM_PRC046_Caption,171,
ITM_PRC047_Caption,148,"La carte d’accès de la chercheuse en chef
de l’équipe d’hydrologie mirane, Ajoa.
Elle donne accès aux installations
de l’usine."
ITM_PRC048_Caption,171,
ITM_PRC049_Caption,171,
ITM_PRC050_Caption,171,
ITM_PRC051_Caption,148,"Un gâteau glacé, dessert favori de Grette."
ITM_PRC052_Caption,148,"Une bouteille qui contient un liquide
sinistre. Il a empoisonné Malyteth
aussitôt qu’elle l’a avalé."
ITM_PRC053_Caption,171,
ITM_PRC054_Caption,171,
ITM_PRC055_Caption,148,"Un contrat avec des chefs de caravane
nopons concernant un spectacle
de feu d’artifice."
ITM_PRC056_Caption,171,
ITM_PRC057_Caption,148,"Une pierre donnée par le divin Nopopon
en tant que test."
ITM_PRC058_Caption,171,
ITM_PRC059_Caption,171,
ITM_PRC060_Caption,171,
ITM_PRC061_Caption,148,"Un bracelet d’argent fait par Vi Sezha.
Les noms de Vi Sezha et Ge Jewhe y sont
gravés, ainsi que la phrase :
« Nous partagerons cette vie ensemble. »"
ITM_PRC062_Caption,148,"Un objet appartenant à Ge Jewhe, qui
combattit courageusement jusqu'à son
dernier souffle. On peut y lire :
« Je protégerai Vi Sezha pour toujours. »"
ITM_PRC063_Caption,171,
ITM_PRC064_Caption,171,
ITM_PRC065_Caption,148,"Un anneau en pierre solide pour orner
un doigt de Prone femelle. Il est couvert
d'épines et on peut y insérer une sorte
de croc."
ITM_PRC066_Caption,171,
ITM_PRC067_Caption,171,
ITM_PRC068_Caption,148,"Un gros colis contenant les biens précieux
de Zazazan. N'y touchez pas !"
ITM_PRC069_Caption,148,"Une capsule offerte par Jeffrey. À manier
avec précaution, car elle contient des
matériaux de recherches dangereux."
ITM_PRC070_Caption,148,"Une pile à combustible reçue de Graham.
Faites attention à cette technologie
extraterrestre étrange et dangereuse."
ITM_PRC071_Caption,148,"Il est écrit sur ce papier :
« Par présente, Nio déclare que Nio doit
rembourser totalité de 20 000 crédits.
Nio. »"
ITM_PRC072_Caption,148,"Un tout petit anneau orné d’une pierre
précieuse bleue et scintillante."
ITM_PRC073_Caption,171,
ITM_PRC074_Caption,171,
ITM_PRC075_Caption,171,
ITM_PRC076_Caption,171,
ITM_PRC077_Caption,171,
ITM_PRC078_Caption,171,
ITM_PRC079_Caption,171,
ITM_PRC080_Caption,171,
ITM_PRC081_Caption,171,
ITM_PRC082_Caption,148,"Une herbe consommée pour rétablir
la relation entre un Orphéen et son Ovah."
ITM_PRC083_Caption,148,"Un appareil d’absorption du voltant
zaruboggan en forme de canne."
ITM_PRC084_Caption,148,"Une partie d'un corps démembré,
trouvée dans l’estomac du Maître
du Destin."
ITM_PRC085_Caption,171,
ITM_PRC086_Caption,171,
ITM_PRC087_Caption,148,"Offert par Lulladu. Un appareil
d’absorption du voltant zaruboggan."
ITM_PRC088_Caption,171,
ITM_PRC089_Caption,171,
ITM_PRC090_Caption,148,"Des débris de la Grande Blanche. En
déterminant où ils se trouvaient sur le
vaisseau, le Q.G. du BLADE peut calculer
où est tombée l’arche de vie sur Mira."
ITM_PRC091_Caption,171,
ITM_PRC092_Caption,171,
ITM_PRC093_Caption,171,
ITM_PRC094_Caption,148,"Carte d’accès du chef de l’équipe
d’hydrologie mirane, Ian. Elle donne
accès à toutes les installations du site."
ITM_PRC095_Caption,148,"Une grande quantité de mouches-torpilles
a été ajoutée à cet ensemble de pièces de
la Blanche qu'a demandé Nalu. À manier
avec précaution !"
ITM_PRC096_Caption,148,"Les super lunettes de soleil du père
de Tatsu. Koukou les avait jetées à la mer
en espérant qu'elles rejoignent leur ancien
propriétaire."
ITM_PRC097_Caption,148,"Une lettre résumant le traité d’amitié
entre la caravane de Dodonga
et le gouvernement provisoire de N.L.A.
Signée par Koukou en capitales énormes."
ITM_PRC098_Caption,148,"Une lettre résumant le traité d’amitié
entre la caravane de Dorian et
le gouvernement provisoire de N.L.A.
Signée par Tsumuji, qui écrit très gros."
ITM_PRC099_Caption,148,"Une pièce de Skell wrothian.
Une ressource inestimable pour étudier
la technologie wrothianne."
ITM_PRC100_Caption,148,"Un nécessaire médical créé par Jeffrey.
Contient de nombreux antibiotiques
qui combattent les virus mirans."
ITM_PRC101_Caption,148,"La clé du camp dans lequel sont hébergés
ceux forcés à travailler pour les Prones."
ITM_PRC102_Caption,171,
ITM_PRC103_Caption,148,"Le permis donné à ceux qui ont réussi
à passer leur permis Skell. Son détenteur
peut acheter et piloter des Skells."
ITM_PRC104_Caption,171,
ITM_PRC105_Caption,171,
ITM_PRC106_Caption,171,
ITM_PRC107_Caption,148,"Des débris de la Grande Blanche. En
déterminant où ils se trouvaient sur le
vaisseau, le Q.G. du BLADE peut calculer
où est tombée l’arche de vie sur Mira."
ITM_PRC108_Caption,148,"Un câble à ultra haute tension utilisé sur
la Grande Blanche. Robuste, capable de
survivre à de longs voyages, il est encore
utilisé pour des équipements dans N.L.A."
