label {9},style {2},name {7}
ITM_PRC001_Name,18,コナーの通信端末
ITM_PRC002_Name,18,風防ガラス
ITM_PRC003_Name,18,ボビーの腕時計
ITM_PRC004_Name,18,奇形樹の蜜
ITM_PRC005_Name,18,デンセツレーダー
ITM_PRC006_Name,18,異臭デンセツレーダー
ITM_PRC007_Name,18,一切れのパン
ITM_PRC008_Name,18,ディープブルー
ITM_PRC009_Name,18,ビッグロブスター
ITM_PRC010_Name,18,ロブスターベイビー
ITM_PRC011_Name,18,ダイナーのお食事券
ITM_PRC012_Name,18,ズースの骨
ITM_PRC013_Name,18,マ・ノンハントセット
ITM_PRC014_Name,18,ブラッタカード<銅>
ITM_PRC015_Name,18,ヴァサルトカード<銅>
ITM_PRC016_Name,18,アラネアカード<銅>
ITM_PRC017_Name,18,シミウスカード<銀>
ITM_PRC018_Name,18,ストルットカード<銀>
ITM_PRC019_Name,18,ルメデルカード<銀>
ITM_PRC020_Name,18,フォリウムカード<銀>
ITM_PRC021_Name,18,ノポヒッポカード<金>
ITM_PRC022_Name,18,
ITM_PRC023_Name,18,天然真珠
ITM_PRC024_Name,18,
ITM_PRC025_Name,18,
ITM_PRC026_Name,18,
ITM_PRC027_Name,18,
ITM_PRC028_Name,18,
ITM_PRC029_Name,18,
ITM_PRC030_Name,18,
ITM_PRC031_Name,18,
ITM_PRC032_Name,18,ホワイトゴールド原石
ITM_PRC033_Name,18,ブリッグズの鍵
ITM_PRC034_Name,18,フォスダイクの鍵
ITM_PRC035_Name,18,モアハウスの鍵
ITM_PRC036_Name,18,
ITM_PRC037_Name,18,
ITM_PRC038_Name,18,
ITM_PRC039_Name,18,クエガのメモ
ITM_PRC040_Name,18,
ITM_PRC041_Name,18,
ITM_PRC042_Name,18,カードキー
ITM_PRC043_Name,18,
ITM_PRC044_Name,18,
ITM_PRC045_Name,18,
ITM_PRC046_Name,18,
ITM_PRC047_Name,18,アジョアのIDカード
ITM_PRC048_Name,18,
ITM_PRC049_Name,18,
ITM_PRC050_Name,18,
ITM_PRC051_Name,18,コールドケーキ
ITM_PRC052_Name,18,マルッテトの薬瓶
ITM_PRC053_Name,18,
ITM_PRC054_Name,18,
ITM_PRC055_Name,18,ノポン契約書
ITM_PRC056_Name,18,
ITM_PRC057_Name,18,ノポンの原石
ITM_PRC058_Name,18,
ITM_PRC059_Name,18,
ITM_PRC060_Name,18,
ITM_PRC061_Name,18,ビ・セザの腕輪
ITM_PRC062_Name,18,ゲ・ジユの小刀
ITM_PRC063_Name,18,
ITM_PRC064_Name,18,
ITM_PRC065_Name,18,リングストーン
ITM_PRC066_Name,18,
ITM_PRC067_Name,18,
ITM_PRC068_Name,18,ザザザンの届け物
ITM_PRC069_Name,18,危険物収納カプセル
ITM_PRC070_Name,18,危険な燃料電池
ITM_PRC071_Name,18,ニオの借用書
ITM_PRC072_Name,18,青い宝石の指輪
ITM_PRC073_Name,18,
ITM_PRC074_Name,18,
ITM_PRC075_Name,18,
ITM_PRC076_Name,18,
ITM_PRC077_Name,18,
ITM_PRC078_Name,18,
ITM_PRC079_Name,18,
ITM_PRC080_Name,18,
ITM_PRC081_Name,18,
ITM_PRC082_Name,18,ルメノアハーブ
ITM_PRC083_Name,18,ゴルクァ
ITM_PRC084_Name,18,ルンオトナムの右腕
ITM_PRC085_Name,18,
ITM_PRC086_Name,18,
ITM_PRC087_Name,18,トロイランのゴルクァ
ITM_PRC088_Name,18,
ITM_PRC089_Name,18,
ITM_PRC090_Name,18,白鯨のパーツ
ITM_PRC091_Name,18,
ITM_PRC092_Name,18,
ITM_PRC093_Name,18,
ITM_PRC094_Name,18,イアンのIDカード
ITM_PRC095_Name,18,ナルへの贈り物
ITM_PRC096_Name,18,父のサングラス
ITM_PRC097_Name,18,ドドンガ親書
ITM_PRC098_Name,18,ドリアン親書
ITM_PRC099_Name,18,ラース製のパーツ
ITM_PRC100_Name,18,医療キット
ITM_PRC101_Name,18,収容棟の鍵
ITM_PRC102_Name,18,
ITM_PRC103_Name,18,ドールライセンス
ITM_PRC104_Name,18,
ITM_PRC105_Name,18,
ITM_PRC106_Name,18,
ITM_PRC107_Name,18,白鯨のパーツ
ITM_PRC108_Name,18,L-002電力ケーブル
ITM_PRC109_Name,18,認定試験合格証明書
ITM_PRC110_Name,18,
ITM_PRC111_Name,18,
ITM_PRC112_Name,18,
ITM_PRC113_Name,18,
ITM_PRC114_Name,18,生体サンプル
ITM_PRC115_Name,18,ミーアの端末
ITM_PRC116_Name,18,緑燐大樹の種
ITM_PRC117_Name,18,コンテナの鍵
ITM_PRC118_Name,18,
ITM_PRC119_Name,18,
ITM_PRC120_Name,18,
ITM_PRC121_Name,18,グレネードピザ
ITM_PRC122_Name,18,冷凍ピザ
ITM_PRC123_Name,18,アジバの鍵
ITM_PRC124_Name,18,ムジバの鍵
ITM_PRC125_Name,18,踊り子の衣装
ITM_PRC126_Name,18,紅の涙
ITM_PRC127_Name,18,
ITM_PRC128_Name,18,
ITM_PRC129_Name,18,
ITM_PRC130_Name,18,
ITM_PRC131_Name,18,
ITM_PRC132_Name,18,
ITM_PRC133_Name,18,
ITM_PRC134_Name,18,
ITM_PRC135_Name,18,新兵器の設計図
ITM_PRC136_Name,18,
ITM_PRC137_Name,18,サモナイズゴーグル
ITM_PRC138_Name,18,セニラパ水
ITM_PRC139_Name,18,
ITM_PRC140_Name,18,ジルドダイヤ
ITM_PRC141_Name,18,ゴルボッガディスク
ITM_PRC142_Name,18,
ITM_PRC143_Name,18,ディッキの樹液
ITM_PRC144_Name,18,
ITM_PRC145_Name,18,灰色のカードキー
ITM_PRC146_Name,18,長方形の箱
ITM_PRC147_Name,18,
ITM_PRC148_Name,18,
ITM_PRC149_Name,18,
ITM_PRC150_Name,18,
ITM_PRC151_Name,18,
ITM_PRC152_Name,18,
ITM_PRC153_Name,18,クッタの荷物
ITM_PRC154_Name,18,
ITM_PRC155_Name,18,エアロジウム
ITM_PRC156_Name,18,守護者の霊鱗
ITM_PRC157_Name,18,
ITM_PRC158_Name,18,
ITM_PRC159_Name,18,
ITM_PRC160_Name,18,
ITM_PRC161_Name,18,
ITM_PRC162_Name,18,
ITM_PRC163_Name,18,ヒラール要塞の鍵
ITM_PRC164_Name,18,B.B.の左腕部
ITM_PRC165_Name,18,L-002新型プラント
ITM_PRC166_Name,18,神父の日記
ITM_PRC167_Name,18,フレムタイド
ITM_PRC168_Name,18,浮遊石の欠片
ITM_PRC169_Name,18,血が付着した獣の毛
ITM_PRC170_Name,18,ローのペンダント
ITM_PRC171_Name,18,三本の刀
ITM_PRC172_Name,18,真珠のネックレス
ITM_PRC173_Name,18,データユニットFN093
ITM_PRC174_Name,18,修理物資一式
ITM_PRC175_Name,18,アガネバ合金
ITM_PRC176_Name,18,コクピットの残骸
ITM_PRC177_Name,18,エンジンの残骸
ITM_PRC178_Name,18,ズ・ハッグの残骸
ITM_PRC179_Name,18,ガラクタ
ITM_PRC180_Name,18,データユニットFN094
ITM_PRC181_Name,18,B.B.の頭部
ITM_PRC182_Name,18,B.B.の胴部
ITM_PRC183_Name,18,B.B.の左脚部
ITM_PRC184_Name,18,B.B.の右脚部
ITM_PRC185_Name,18,アンロックキー1
ITM_PRC186_Name,18,
ITM_PRC187_Name,18,キュアゴケ
ITM_PRC188_Name,18,ロケットペンダント
ITM_PRC189_Name,18,星の砂
ITM_PRC190_Name,18,紫結晶
ITM_PRC191_Name,18,エメリアのレリック
ITM_PRC192_Name,18,ストレージ
ITM_PRC193_Name,18,壊れたデータプローブ
ITM_PRC194_Name,18,ハート・ストーン
ITM_PRC195_Name,18,
ITM_PRC196_Name,18,
ITM_PRC197_Name,18,ミ・ガンド山の岩石
ITM_PRC198_Name,18,ジャムジャム草
ITM_PRC199_Name,18,新兵器の残骸
ITM_PRC200_Name,18,
ITM_PRC201_Name,18,
ITM_PRC202_Name,18,
ITM_PRC203_Name,18,サンプリングボトル
ITM_PRC204_Name,18,太陽系航行MAP
ITM_PRC205_Name,18,ハンバーガー
ITM_PRC206_Name,18,ホットドッグ
ITM_PRC207_Name,18,データユニットFN095
ITM_PRC208_Name,18,データユニットFN096
ITM_PRC209_Name,18,データユニットFN097
ITM_PRC210_Name,18,練習用データプローブ
ITM_PRC211_Name,18,ポイズン化学爆弾
ITM_PRC212_Name,18,医療キット
ITM_PRC213_Name,18,ノーブルシルク
ITM_PRC214_Name,18,データユニットFN098
ITM_PRC215_Name,18,伝説のつるぎ
ITM_PRC216_Name,18,金剛不壊之刀
ITM_PRC217_Name,18,ボルタント
ITM_PRC218_Name,18,カードキー
ITM_PRC219_Name,18,トロイランのゴルクァ
ITM_PRC220_Name,18,秘薬
ITM_PRC221_Name,18,新兵器のテストデータ
ITM_PRC222_Name,18,アンロックキー2
ITM_PRC223_Name,18,アンロックキー3
ITM_PRC224_Name,18,フォグリウム
ITM_PRC225_Name,18,巨大リングのかけら
ITM_PRC226_Name,18,ビュート遺跡の破片
ITM_PRC227_Name,18,ノースコースト謎の石
ITM_PRC228_Name,18,交信記録のデータ
ITM_PRC229_Name,18,生命体の医療データ
ITM_PRC230_Name,18,エネルギーストレージ
ITM_PRC001_Caption,148,"コナーの通信端末。原生生物に襲われた
コナーが、逃げ回っているうちに落として
しまった。"
ITM_PRC002_Caption,148,"軍用車の前面に取り付ける風防ガラス。今と
なっては貴重な地球製のパーツ。"
ITM_PRC003_Caption,148,"ポーレンを親のように慕っていた青年の腕時
計。裏に『マザーポーレンの加護あれ！』と
書いてある。"
ITM_PRC004_Caption,148,"夜光の森奥地に生える奇妙な大樹の蜜で、触
れた植物の成長を促進させる効果がある。"
ITM_PRC005_Caption,148,"古代ノポンが作りし伝説の品々を探し出すた
めのレーダー。どんな微弱な伝説デンパでも
キャッチする優れもの。"
ITM_PRC006_Caption,148,"古代ノポンが作りし伝説の品々を探し出すた
めのレーダー……だが原生生物のお腹の中に
あったため、異様に臭い。"
ITM_PRC007_Caption,148,"飢えたモイモイが託した、兄への想いが
詰まった一切れのパン。"
ITM_PRC008_Caption,148,"深い青色に輝くとても高価な宝石。ある泥棒
によって盗まれた。魔性の魅力で人の心を惑
わす。"
ITM_PRC009_Caption,148,"ロブスターの大きなぬいぐるみ。ブラッドロ
ブスターのアジトのカギになっている。"
ITM_PRC010_Caption,148,"一見かわいらしいロブスターの形をしたぬい
ぐるみだが、中に爆弾がしこまれている。"
