label {9},style {2},name {7}
ITM_PRC001_Name,18,코너의 통신 단말기
ITM_PRC002_Name,18,방풍 글라스
ITM_PRC003_Name,18,보비의 손목시계
ITM_PRC004_Name,18,기형목의 꿀
ITM_PRC005_Name,18,전설 레이더
ITM_PRC006_Name,18,악취 전설 레이더
ITM_PRC007_Name,18,빵 한 조각
ITM_PRC008_Name,18,딥 블루
ITM_PRC009_Name,18,빅 로브스터
ITM_PRC010_Name,18,로브스터 베이비
ITM_PRC011_Name,18,다이너 식사권
ITM_PRC012_Name,18,즈우스의 뼈
ITM_PRC013_Name,18,마 논 헌트 세트
ITM_PRC014_Name,18,블라타 카드 <동>
ITM_PRC015_Name,18,버설트 카드 <동>
ITM_PRC016_Name,18,아라네아 카드 <동>
ITM_PRC017_Name,18,시미우스 카드 <은>
ITM_PRC018_Name,18,스토르트 카드 <은>
ITM_PRC019_Name,18,루메델 카드 <은>
ITM_PRC020_Name,18,폴리움 카드 <은>
ITM_PRC021_Name,18,노포히포 카드 <금>
ITM_PRC022_Name,18,
ITM_PRC023_Name,18,천연 진주
ITM_PRC024_Name,18,
ITM_PRC025_Name,18,
ITM_PRC026_Name,18,
ITM_PRC027_Name,18,
ITM_PRC028_Name,18,
ITM_PRC029_Name,18,
ITM_PRC030_Name,18,
ITM_PRC031_Name,18,
ITM_PRC032_Name,18,화이트 골드 원석
ITM_PRC033_Name,18,브릭즈의 열쇠
ITM_PRC034_Name,18,포스다이크의 열쇠
ITM_PRC035_Name,18,모어하우스의 열쇠
ITM_PRC036_Name,18,
ITM_PRC037_Name,18,
ITM_PRC038_Name,18,
ITM_PRC039_Name,18,쿠에가의 메모
ITM_PRC040_Name,18,
ITM_PRC041_Name,18,
ITM_PRC042_Name,18,카드 키
ITM_PRC043_Name,18,
ITM_PRC044_Name,18,
ITM_PRC045_Name,18,
ITM_PRC046_Name,18,
ITM_PRC047_Name,18,아조아의 ID 카드
ITM_PRC048_Name,18,
ITM_PRC049_Name,18,
ITM_PRC050_Name,18,
ITM_PRC051_Name,18,콜드 케이크
ITM_PRC052_Name,18,마르테트의 약병
ITM_PRC053_Name,18,
ITM_PRC054_Name,18,
ITM_PRC055_Name,18,노폰 계약서
ITM_PRC056_Name,18,
ITM_PRC057_Name,18,노폰의 원석
ITM_PRC058_Name,18,
ITM_PRC059_Name,18,
ITM_PRC060_Name,18,
ITM_PRC061_Name,18,비 세자의 팔찌
ITM_PRC062_Name,18,게 쥬의 단검
ITM_PRC063_Name,18,
ITM_PRC064_Name,18,
ITM_PRC065_Name,18,링 스톤
ITM_PRC066_Name,18,
ITM_PRC067_Name,18,
ITM_PRC068_Name,18,자자잔의 소포
ITM_PRC069_Name,18,위험물 수납 캡슐
ITM_PRC070_Name,18,위험한 연료 전지
ITM_PRC071_Name,18,니오의 차용증
ITM_PRC072_Name,18,파란 보석 반지
ITM_PRC073_Name,18,
ITM_PRC074_Name,18,
ITM_PRC075_Name,18,
ITM_PRC076_Name,18,
ITM_PRC077_Name,18,
ITM_PRC078_Name,18,
ITM_PRC079_Name,18,
ITM_PRC080_Name,18,
ITM_PRC081_Name,18,
ITM_PRC082_Name,18,루메노아 허브
ITM_PRC083_Name,18,고르콰
ITM_PRC084_Name,18,룬오토남의 오른팔
ITM_PRC085_Name,18,
ITM_PRC086_Name,18,
ITM_PRC087_Name,18,트로이란의 고르콰
ITM_PRC088_Name,18,
ITM_PRC089_Name,18,
ITM_PRC090_Name,18,흰고래의 파츠
ITM_PRC091_Name,18,
ITM_PRC092_Name,18,
ITM_PRC093_Name,18,
ITM_PRC094_Name,18,이안의 ID 카드
ITM_PRC095_Name,18,나르에게 보내는 선물
ITM_PRC096_Name,18,아빠의 선글라스
ITM_PRC097_Name,18,도돈가 친서
ITM_PRC098_Name,18,도리안 친서
ITM_PRC099_Name,18,라스제 파츠
ITM_PRC100_Name,18,의료 키트
ITM_PRC101_Name,18,수용동 열쇠
ITM_PRC102_Name,18,
ITM_PRC103_Name,18,돌 라이선스
ITM_PRC104_Name,18,
ITM_PRC105_Name,18,
ITM_PRC106_Name,18,
ITM_PRC107_Name,18,흰고래의 파츠
ITM_PRC108_Name,18,L-002 전력 케이블
ITM_PRC109_Name,18,인증 시험 합격 증명서
ITM_PRC110_Name,18,
ITM_PRC111_Name,18,
ITM_PRC112_Name,18,
ITM_PRC113_Name,18,
ITM_PRC114_Name,18,생체 샘플
ITM_PRC115_Name,18,미아의 단말기
ITM_PRC116_Name,18,녹린 거목의 씨
ITM_PRC117_Name,18,컨테이너 열쇠
ITM_PRC118_Name,18,
ITM_PRC119_Name,18,
ITM_PRC120_Name,18,
ITM_PRC121_Name,18,그레네이드 피자
ITM_PRC122_Name,18,냉동 피자
ITM_PRC123_Name,18,아지바의 열쇠
ITM_PRC124_Name,18,무지바의 열쇠
ITM_PRC125_Name,18,무희의 의상
ITM_PRC126_Name,18,붉은 눈물
ITM_PRC127_Name,18,
ITM_PRC128_Name,18,
ITM_PRC129_Name,18,
ITM_PRC130_Name,18,
ITM_PRC131_Name,18,
ITM_PRC132_Name,18,
ITM_PRC133_Name,18,
ITM_PRC134_Name,18,
ITM_PRC135_Name,18,신형 병기의 설계도
ITM_PRC136_Name,18,
ITM_PRC137_Name,18,서모나이즈 고글
ITM_PRC138_Name,18,세니라파 물
ITM_PRC139_Name,18,
ITM_PRC140_Name,18,질드 다이아몬드
ITM_PRC141_Name,18,고르보가 디스크
ITM_PRC142_Name,18,
ITM_PRC143_Name,18,딕키의 수액
ITM_PRC144_Name,18,
ITM_PRC145_Name,18,회색 카드 키
ITM_PRC146_Name,18,직사각형 상자
ITM_PRC147_Name,18,
ITM_PRC148_Name,18,
ITM_PRC149_Name,18,
ITM_PRC150_Name,18,
ITM_PRC151_Name,18,
ITM_PRC152_Name,18,
ITM_PRC153_Name,18,쿠타의 짐
ITM_PRC154_Name,18,
ITM_PRC155_Name,18,에어로지움
ITM_PRC156_Name,18,수호자의 영린
ITM_PRC157_Name,18,
ITM_PRC158_Name,18,
ITM_PRC159_Name,18,
ITM_PRC160_Name,18,
ITM_PRC161_Name,18,
ITM_PRC162_Name,18,
ITM_PRC163_Name,18,히랄 요새의 열쇠
ITM_PRC164_Name,18,B.B.의 왼쪽 팔 부분
ITM_PRC165_Name,18,L-002 신형 플랜트
ITM_PRC166_Name,18,신부님의 일기
ITM_PRC167_Name,18,플레멘타이드
ITM_PRC168_Name,18,부유석의 조각
ITM_PRC169_Name,18,피 묻은 짐승의 털
ITM_PRC170_Name,18,로의 펜던트
ITM_PRC171_Name,18,세 자루의 검
ITM_PRC172_Name,18,진주 목걸이
ITM_PRC173_Name,18,데이터 유닛 FN093
ITM_PRC174_Name,18,수리 물자 세트
ITM_PRC175_Name,18,아가네바 합금
ITM_PRC176_Name,18,콕피트의 잔해
ITM_PRC177_Name,18,엔진의 잔해
ITM_PRC178_Name,18,즈 하그의 잔해
ITM_PRC179_Name,18,잡동사니
ITM_PRC180_Name,18,데이터 유닛 FN094
ITM_PRC181_Name,18,B.B.의 머리
ITM_PRC182_Name,18,B.B.의 몸통
ITM_PRC183_Name,18,B.B.의 왼쪽 다리 부분
ITM_PRC184_Name,18,B.B.의 오른쪽 다리 부분
ITM_PRC185_Name,18,언록 키 1
ITM_PRC186_Name,18,
ITM_PRC187_Name,18,큐어 이끼
ITM_PRC188_Name,18,로켓 펜던트
ITM_PRC189_Name,18,별 모래
ITM_PRC190_Name,18,보라색 결정
ITM_PRC191_Name,18,에메리아의 렐릭
ITM_PRC192_Name,18,스토리지
ITM_PRC193_Name,18,망가진 데이터 프로브
ITM_PRC194_Name,18,하트 스톤
ITM_PRC195_Name,18,
ITM_PRC196_Name,18,
ITM_PRC197_Name,18,미 간드산의 암석
ITM_PRC198_Name,18,잼잼 풀
ITM_PRC199_Name,18,신형 병기의 잔해
ITM_PRC200_Name,18,
ITM_PRC201_Name,18,
ITM_PRC202_Name,18,
ITM_PRC203_Name,18,샘플링 보틀
ITM_PRC204_Name,18,태양계 항행 MAP
ITM_PRC205_Name,18,햄버거
ITM_PRC206_Name,18,핫도그
ITM_PRC207_Name,18,데이터 유닛 FN095
ITM_PRC208_Name,18,데이터 유닛 FN096
ITM_PRC209_Name,18,데이터 유닛 FN097
ITM_PRC210_Name,18,연습용 데이터 프로브
ITM_PRC211_Name,18,포이즌 화학 폭탄
ITM_PRC212_Name,18,의료 키트
ITM_PRC213_Name,18,노블 실크
ITM_PRC214_Name,18,데이터 유닛 FN098
ITM_PRC215_Name,18,전설의 검
ITM_PRC216_Name,18,금강불괴의 칼
ITM_PRC217_Name,18,볼턴트
ITM_PRC218_Name,18,카드 키
ITM_PRC219_Name,18,트로이란의 고르콰
ITM_PRC220_Name,18,비약
ITM_PRC221_Name,18,신형 병기 테스트 데이터
ITM_PRC222_Name,18,언록 키 2
ITM_PRC223_Name,18,언록 키 3
ITM_PRC224_Name,18,포그리움
ITM_PRC225_Name,18,거대 링의 조각
ITM_PRC226_Name,18,뷰트 유적의 파편
ITM_PRC227_Name,18,노스 코스트 수수께끼의 돌
ITM_PRC228_Name,18,교신 기록 데이터
ITM_PRC229_Name,18,생명체 의료 데이터
ITM_PRC230_Name,18,에너지 스토리지
ITM_PRC001_Caption,148,"코너의 통신 단말기.
원시 생물에게 습격당한 코너가
도망치던 중에 떨어뜨리고 말았다."
ITM_PRC002_Caption,148,"군용차의 전면에 부착하는 방풍 글라스.
이제는 귀중해진 지구제 파츠."
ITM_PRC003_Caption,148,"폴렌을 부모처럼 따르던 청년의 손목시계.
안쪽에는 『어머니 폴렌의 가호가 있기를!』
이라고 쓰여 있다."
ITM_PRC004_Caption,148,"야광의 숲 오지에서 자라는 기묘한
거목의 꿀로 접촉한 식물의 성장을
촉진하는 효과가 있다."
ITM_PRC005_Caption,148,"전설의 물건들을 찾아내기 위해
고대 노폰이 만든 레이더.
어떤 미약한 전설 전파도 캐치하는
뛰어난 물건."
ITM_PRC006_Caption,148,"전설의 물건들을 찾아내기 위해
고대 노폰이 만든 레이더……이지만
원시 생물의 배 속에 있었기에
냄새가 고약하다."
ITM_PRC007_Caption,148,"굶주린 모이모이가 맡긴 빵 한 조각.
형에 대한 마음이 담겨 있다."
ITM_PRC008_Caption,148,"진한 청색으로 빛나는 매우 고가의 보석.
누군가에 의해 도둑맞았다.
마성의 매력으로 마음을 현혹한다."
ITM_PRC009_Caption,148,"로브스터의 커다란 인형.
블러드 로브스터 아지트의 열쇠이다."
ITM_PRC010_Caption,148,"언뜻 보면 귀여운 로브스터 모양의
인형이지만 안에는 폭탄이 장치되어 있다."
ITM_PRC011_Caption,148,"다이너 무료 점심 식사권.
동색 버설트 카드와 교환해서 얻었다."
ITM_PRC012_Caption,148,"즈우스의 뼈.
동색 아라네아 카드와 교환해서 얻었다."
ITM_PRC013_Caption,148,"캐프시카가 발명한 사냥에 편리한 도구
……인 듯하다.
아직 사용법은 모른다."
ITM_PRC014_Caption,148,"미라 애니멀 컬렉션 카드의 브론즈 카드.
블라타의 그림이 그려져 있다."
ITM_PRC015_Caption,148,"미라 애니멀 컬렉션 카드의 브론즈 카드.
버설트의 그림이 그려져 있다."
ITM_PRC016_Caption,148,"미라 애니멀 컬렉션 카드의 브론즈 카드.
아라네아의 그림이 그려져 있다."
ITM_PRC017_Caption,148,"미라 애니멀 컬렉션 카드의 실버 카드.
시미우스의 그림이 그려져 있다."
ITM_PRC018_Caption,148,"미라 애니멀 컬렉션 카드의 실버 카드.
스토르트의 그림이 그려져 있다."
ITM_PRC019_Caption,148,"미라 애니멀 컬렉션 카드의 실버 카드.
루메델의 그림이 그려져 있다."
ITM_PRC020_Caption,148,"미라 애니멀 컬렉션 카드의 실버 카드.
폴리움의 그림이 그려져 있다."
ITM_PRC021_Caption,148,"미라 애니멀 컬렉션 카드의 골드 카드.
노포히포의 그림이 그려져 있다."
ITM_PRC022_Caption,171,
ITM_PRC023_Caption,148,"지구산 천연 진주.
미라에서는 더는 구할 수 없는 귀중품이다."
ITM_PRC024_Caption,171,
ITM_PRC025_Caption,171,
ITM_PRC026_Caption,171,
ITM_PRC027_Caption,171,
ITM_PRC028_Caption,171,
ITM_PRC029_Caption,171,
ITM_PRC030_Caption,171,
ITM_PRC031_Caption,171,
ITM_PRC032_Caption,148,포스다이크의 손에 남은 유일한 화이트 골드.
ITM_PRC033_Caption,148,거대 금고를 열기 위해 필요한 열쇠.
ITM_PRC034_Caption,148,거대 금고를 열기 위해 필요한 열쇠.
ITM_PRC035_Caption,148,거대 금고를 열기 위해 필요한 열쇠.
ITM_PRC036_Caption,171,
ITM_PRC037_Caption,171,
ITM_PRC038_Caption,171,
ITM_PRC039_Caption,148,"『테아에게 줄 ……을
드라이랜드 암굴 요새의 동굴에……
숨겼다…… 누군가 ……을 테아에게……』
라고 휘갈겨 쓰여 있는 메모."
ITM_PRC040_Caption,171,
ITM_PRC041_Caption,171,
ITM_PRC042_Caption,148,"비아노 정수장에 있는 연구원에게
배부된 카드 키. 이 키가 있으면
시설의 문을 열 수 있다."
ITM_PRC043_Caption,171,
ITM_PRC044_Caption,171,
ITM_PRC045_Caption,171,
ITM_PRC046_Caption,171,
ITM_PRC047_Caption,148,"미라 수질 연구 팀의 서브 리더인 아조아가
비아노 정수장에서 신분을 증명하는 ID 카드.
시설 내의 설비를 사용할 때도 쓰인다."
ITM_PRC048_Caption,171,
ITM_PRC049_Caption,171,
ITM_PRC050_Caption,171,
ITM_PRC051_Caption,148,"바싹 말려서 오래 보관하도록 가공된 케이크.
그레테가 좋아하는 디저트다."
ITM_PRC052_Caption,148,"꺼림칙한 액체가 담겨 있는 약병.
마르테트가 다 마시려 했지만
입에 대자마자 죽어 버려 다 마시지 못했다."
ITM_PRC053_Caption,171,
ITM_PRC054_Caption,171,
ITM_PRC055_Caption,148,"노폰 카라반의 리더와 불꽃놀이에 관해
주고받은 계약 서류."
ITM_PRC056_Caption,171,
ITM_PRC057_Caption,148,정령 노포폰이 시련을 위해 준 것.
ITM_PRC058_Caption,171,
ITM_PRC059_Caption,171,
ITM_PRC060_Caption,171,
ITM_PRC061_Caption,148,"비 세자가 만든 은팔찌.
비 세자와 게 쥬의 이름과
『둘이 함께 살아가자』라는
문구가 새겨져 있다."
ITM_PRC062_Caption,148,"마지막까지 라스인으로서의 긍지를 지키며
눈을 감은 게 쥬의 유품.
자루에는 『비 세자를 영원히 지킨다』라고
새겨져 있다."
ITM_PRC063_Caption,171,
ITM_PRC064_Caption,171,
ITM_PRC065_Caption,148,"바이어스인 여성의 손가락에 딱 맞을 것 같은
고리 모양의 단단한 돌.
표면에 날카로운 가시가 나 있어 송곳니 같은
단단한 것도 끼워 넣을 수 있게 되어 있다."
ITM_PRC066_Caption,171,
ITM_PRC067_Caption,171,
ITM_PRC068_Caption,148,"큰 상자에 든 자자잔의 소중한 짐.
악용되면 엄청난 일이 일어난다."
ITM_PRC069_Caption,148,"제프리가 맡긴 수납 캡슐.
강한 독성 연구 샘플이 담겨 있으므로
취급에 주의가 필요."
ITM_PRC070_Caption,148,"그레이엄이 맡긴 위험한 연료 전지.
외계인의 이상한 기계에 쌓여 있던 물건으로
잘못 다루었다간 큰일이 난다."
ITM_PRC071_Caption,148,"『20000G 빌렸습니다.
반드시 갚겠습니다. 니오』라고
쓰인 차용증."
ITM_PRC072_Caption,148,"매우 작은 반지. 파랗고 반짝이는
보석이 박혀 있다."
ITM_PRC073_Caption,171,
ITM_PRC074_Caption,171,
ITM_PRC075_Caption,171,
ITM_PRC076_Caption,171,
ITM_PRC077_Caption,171,
ITM_PRC078_Caption,171,
ITM_PRC079_Caption,171,
ITM_PRC080_Caption,171,
ITM_PRC081_Caption,171,
ITM_PRC082_Caption,148,"오르페인이 오버와의 의사소통이 곤란할 때
섭취하면 그 능력을 회복할 수 있는 허브."
ITM_PRC083_Caption,148,"자르보가인이 볼턴트를 흡수할 때 사용하는
흡인 장치. 지팡이 같은 모양을 하고 있다."
ITM_PRC084_Caption,148,"생명을 다스리는 자에게 먹혀 버린
룬오토남의 오른팔. 생명을 다스리는 자를
쓰러뜨렸을 때 배에서 나왔다."
ITM_PRC085_Caption,171,
ITM_PRC086_Caption,171,
ITM_PRC087_Caption,148,"르라듀에게 받은 트로이란의 고르콰.
자르보가인이 볼턴트를 흡수할 때 사용한다."
ITM_PRC088_Caption,171,
ITM_PRC089_Caption,171,
ITM_PRC090_Caption,148,"흰고래의 잔해에서 얻은 파츠.
선내의 어느 구획에서 사용된 것인지
분석하면 라이프가 떨어진 장소를
산출하는 재료가 된다."
ITM_PRC091_Caption,171,
ITM_PRC092_Caption,171,
ITM_PRC093_Caption,171,
ITM_PRC094_Caption,148,"미라 수질 연구 팀의 리더인 이안이
비아노 정수장에서 신분을 증명하는 ID 카드.
시설 내의 모든 설비를 사용할 수 있는
권한이 있다."
ITM_PRC095_Caption,148,"나르가 갖고 싶어 하던 흰고래의 파츠 안에
대량의 불릿 플라이를 숨긴 무서운 물건.
섣불리 건드리면 불릿 플라이가 튀어나와
크게 다칠 것이다."
ITM_PRC096_Caption,148,"타츠의 아버지가 사용했다던 멋진 선글라스.
떠나간 자에게 닿기를 바라며
카카가 바다에 흘려 보냈다."
ITM_PRC097_Caption,148,"NLA 임시자치정부와 도돈가 카라반의
우호 조약 체결을 위해 보내진 친서.
큼직하게 카카의 사인이 적혀 있다."
ITM_PRC098_Caption,148,"NLA 임시자치정부와 도리안 카라반의
우호 조약 체결을 위해 보내진 친서.
큼직하게 츠무지의 사인이 적혀 있다."
