label {9},style {2},name {7}
ITM_PRC001_Name,18,康纳的通讯终端
ITM_PRC002_Name,18,挡风玻璃
ITM_PRC003_Name,18,波比的手表
ITM_PRC004_Name,18,奇形树之蜜
ITM_PRC005_Name,18,传说雷达
ITM_PRC006_Name,18,恶臭传说雷达
ITM_PRC007_Name,18,一块面包
ITM_PRC008_Name,18,深蓝宝石
ITM_PRC009_Name,18,大龙虾
ITM_PRC010_Name,18,龙虾宝宝
ITM_PRC011_Name,18,餐馆的餐券
ITM_PRC012_Name,18,兹斯豚的骨头
ITM_PRC013_Name,18,玛侬打猎工具组
ITM_PRC014_Name,18,布拉塔虫卡片<铜>
ITM_PRC015_Name,18,瓦萨尔虫卡片<铜>
ITM_PRC016_Name,18,亚勒聂蛛卡片<铜>
ITM_PRC017_Name,18,希米兀猿卡片<银>
ITM_PRC018_Name,18,仕托鹭卡片<银>
ITM_PRC019_Name,18,卢梅戴尔卡片<银>
ITM_PRC020_Name,18,芙里姆花虫卡片<银>
ITM_PRC021_Name,18,诺彭希波兽卡片<金>
ITM_PRC022_Name,18,
ITM_PRC023_Name,18,天然珍珠
ITM_PRC024_Name,18,
ITM_PRC025_Name,18,
ITM_PRC026_Name,18,
ITM_PRC027_Name,18,
ITM_PRC028_Name,18,
ITM_PRC029_Name,18,
ITM_PRC030_Name,18,
ITM_PRC031_Name,18,
ITM_PRC032_Name,18,白色黄金原石
ITM_PRC033_Name,18,布利古兹的钥匙
ITM_PRC034_Name,18,弗斯戴克的钥匙
ITM_PRC035_Name,18,莫亚豪斯的钥匙
ITM_PRC036_Name,18,
ITM_PRC037_Name,18,
ITM_PRC038_Name,18,
ITM_PRC039_Name,18,库耶格的笔记
ITM_PRC040_Name,18,
ITM_PRC041_Name,18,
ITM_PRC042_Name,18,钥匙卡
ITM_PRC043_Name,18,
ITM_PRC044_Name,18,
ITM_PRC045_Name,18,
ITM_PRC046_Name,18,
ITM_PRC047_Name,18,亚裘厄的ID卡
ITM_PRC048_Name,18,
ITM_PRC049_Name,18,
ITM_PRC050_Name,18,
ITM_PRC051_Name,18,冻蛋糕
ITM_PRC052_Name,18,玛鲁特图的药瓶
ITM_PRC053_Name,18,
ITM_PRC054_Name,18,
ITM_PRC055_Name,18,诺彭契约书
ITM_PRC056_Name,18,
ITM_PRC057_Name,18,诺彭原石
ITM_PRC058_Name,18,
ITM_PRC059_Name,18,
ITM_PRC060_Name,18,
ITM_PRC061_Name,18,毕·歇札的手镯
ITM_PRC062_Name,18,盖·吉尤的小刀
ITM_PRC063_Name,18,
ITM_PRC064_Name,18,
ITM_PRC065_Name,18,指环石
ITM_PRC066_Name,18,
ITM_PRC067_Name,18,
ITM_PRC068_Name,18,扎扎詹的包裹
ITM_PRC069_Name,18,危险物品收纳胶囊
ITM_PRC070_Name,18,危险的燃料电池
ITM_PRC071_Name,18,尼欧的借据
ITM_PRC072_Name,18,蓝色宝石戒指
ITM_PRC073_Name,18,
ITM_PRC074_Name,18,
ITM_PRC075_Name,18,
ITM_PRC076_Name,18,
ITM_PRC077_Name,18,
ITM_PRC078_Name,18,
ITM_PRC079_Name,18,
ITM_PRC080_Name,18,
ITM_PRC081_Name,18,
ITM_PRC082_Name,18,卢梅诺亚香草
ITM_PRC083_Name,18,格鲁夸
ITM_PRC084_Name,18,伦欧特南姆的右臂
ITM_PRC085_Name,18,
ITM_PRC086_Name,18,
ITM_PRC087_Name,18,特洛伊朗的格鲁夸
ITM_PRC088_Name,18,
ITM_PRC089_Name,18,
ITM_PRC090_Name,18,白鲸零件
ITM_PRC091_Name,18,
ITM_PRC092_Name,18,
ITM_PRC093_Name,18,
ITM_PRC094_Name,18,伊昂的ID卡
ITM_PRC095_Name,18,给娜鲁的礼物
ITM_PRC096_Name,18,父亲的墨镜
ITM_PRC097_Name,18,咚咚可签名文件
ITM_PRC098_Name,18,多利安签名文件
ITM_PRC099_Name,18,拉斯制零件
ITM_PRC100_Name,18,医疗用品套组
ITM_PRC101_Name,18,收容所的钥匙
ITM_PRC102_Name,18,
ITM_PRC103_Name,18,机偶驾驶执照
ITM_PRC104_Name,18,
ITM_PRC105_Name,18,
ITM_PRC106_Name,18,
ITM_PRC107_Name,18,白鲸零件
ITM_PRC108_Name,18,L-002电缆
ITM_PRC109_Name,18,认证考试及格证书
ITM_PRC110_Name,18,
ITM_PRC111_Name,18,
ITM_PRC112_Name,18,
ITM_PRC113_Name,18,
ITM_PRC114_Name,18,活体样本
ITM_PRC115_Name,18,米雅的通讯终端
ITM_PRC116_Name,18,绿磷大树的种子
ITM_PRC117_Name,18,物资箱钥匙
ITM_PRC118_Name,18,
ITM_PRC119_Name,18,
ITM_PRC120_Name,18,
ITM_PRC121_Name,18,榴弹披萨
ITM_PRC122_Name,18,冷冻披萨
ITM_PRC123_Name,18,亚季柏的钥匙
ITM_PRC124_Name,18,穆季柏的钥匙
ITM_PRC125_Name,18,舞娘的服装
ITM_PRC126_Name,18,红色泪珠
ITM_PRC127_Name,18,
ITM_PRC128_Name,18,
ITM_PRC129_Name,18,
ITM_PRC130_Name,18,
ITM_PRC131_Name,18,
ITM_PRC132_Name,18,
ITM_PRC133_Name,18,
ITM_PRC134_Name,18,
ITM_PRC135_Name,18,新型兵器设计图
ITM_PRC136_Name,18,
ITM_PRC137_Name,18,召唤护目镜
ITM_PRC138_Name,18,瑟尼拉帕水
ITM_PRC139_Name,18,
ITM_PRC140_Name,18,吉尔多钻石
ITM_PRC141_Name,18,哥鲁波加记录光碟
ITM_PRC142_Name,18,
ITM_PRC143_Name,18,迪其的树液
ITM_PRC144_Name,18,
ITM_PRC145_Name,18,灰色钥匙卡
ITM_PRC146_Name,18,长方形箱子
ITM_PRC147_Name,18,
ITM_PRC148_Name,18,
ITM_PRC149_Name,18,
ITM_PRC150_Name,18,
ITM_PRC151_Name,18,
ITM_PRC152_Name,18,
ITM_PRC153_Name,18,库达的货物
ITM_PRC154_Name,18,
ITM_PRC155_Name,18,气流结晶
ITM_PRC156_Name,18,守护者的灵鳞
ITM_PRC157_Name,18,
ITM_PRC158_Name,18,
ITM_PRC159_Name,18,
ITM_PRC160_Name,18,
ITM_PRC161_Name,18,
ITM_PRC162_Name,18,
ITM_PRC163_Name,18,眉月要塞的钥匙
