label {9},style {2},name {7}
ITM_PRC001_Name,18,康納的通訊終端
ITM_PRC002_Name,18,擋風玻璃
ITM_PRC003_Name,18,波比的手錶
ITM_PRC004_Name,18,奇形樹之蜜
ITM_PRC005_Name,18,傳說雷達
ITM_PRC006_Name,18,惡臭傳說雷達
ITM_PRC007_Name,18,一塊麵包
ITM_PRC008_Name,18,深藍寶石
ITM_PRC009_Name,18,大龍蝦
ITM_PRC010_Name,18,龍蝦寶寶
ITM_PRC011_Name,18,餐館的餐券
ITM_PRC012_Name,18,茲斯豚的骨頭
ITM_PRC013_Name,18,瑪儂打獵工具組
ITM_PRC014_Name,18,布拉塔蟲卡片<銅>
ITM_PRC015_Name,18,瓦薩爾蟲卡片<銅>
ITM_PRC016_Name,18,亞勒聶蛛卡片<銅>
ITM_PRC017_Name,18,希米兀猿卡片<銀>
ITM_PRC018_Name,18,仕托鷺卡片<銀>
ITM_PRC019_Name,18,盧梅戴爾卡片<銀>
ITM_PRC020_Name,18,芙里姆花蟲卡片<銀>
ITM_PRC021_Name,18,諾彭希波獸卡片<金>
ITM_PRC022_Name,18,
ITM_PRC023_Name,18,天然珍珠
ITM_PRC024_Name,18,
ITM_PRC025_Name,18,
ITM_PRC026_Name,18,
ITM_PRC027_Name,18,
ITM_PRC028_Name,18,
ITM_PRC029_Name,18,
ITM_PRC030_Name,18,
ITM_PRC031_Name,18,
ITM_PRC032_Name,18,白色黃金原石
ITM_PRC033_Name,18,布利古茲的鑰匙
ITM_PRC034_Name,18,弗斯戴克的鑰匙
ITM_PRC035_Name,18,莫亞豪斯的鑰匙
ITM_PRC036_Name,18,
ITM_PRC037_Name,18,
ITM_PRC038_Name,18,
ITM_PRC039_Name,18,庫耶格的筆記
ITM_PRC040_Name,18,
ITM_PRC041_Name,18,
ITM_PRC042_Name,18,鑰匙卡
ITM_PRC043_Name,18,
ITM_PRC044_Name,18,
ITM_PRC045_Name,18,
ITM_PRC046_Name,18,
ITM_PRC047_Name,18,亞裘厄的ID卡
ITM_PRC048_Name,18,
ITM_PRC049_Name,18,
ITM_PRC050_Name,18,
ITM_PRC051_Name,18,凍蛋糕
ITM_PRC052_Name,18,瑪魯特圖的藥瓶
ITM_PRC053_Name,18,
ITM_PRC054_Name,18,
ITM_PRC055_Name,18,諾彭契約書
ITM_PRC056_Name,18,
ITM_PRC057_Name,18,諾彭原石
ITM_PRC058_Name,18,
ITM_PRC059_Name,18,
ITM_PRC060_Name,18,
ITM_PRC061_Name,18,畢‧歇札的手鐲
ITM_PRC062_Name,18,蓋‧吉尤的小刀
ITM_PRC063_Name,18,
ITM_PRC064_Name,18,
ITM_PRC065_Name,18,指環石
ITM_PRC066_Name,18,
ITM_PRC067_Name,18,
ITM_PRC068_Name,18,扎扎詹的包裹
ITM_PRC069_Name,18,危險物品收納膠囊
ITM_PRC070_Name,18,危險的燃料電池
ITM_PRC071_Name,18,尼歐的借據
ITM_PRC072_Name,18,藍色寶石戒指
ITM_PRC073_Name,18,
ITM_PRC074_Name,18,
ITM_PRC075_Name,18,
ITM_PRC076_Name,18,
ITM_PRC077_Name,18,
ITM_PRC078_Name,18,
ITM_PRC079_Name,18,
ITM_PRC080_Name,18,
ITM_PRC081_Name,18,
ITM_PRC082_Name,18,盧梅諾亞香草
ITM_PRC083_Name,18,格魯夸
ITM_PRC084_Name,18,倫歐特南姆的右臂
ITM_PRC085_Name,18,
ITM_PRC086_Name,18,
ITM_PRC087_Name,18,特洛伊朗的格魯夸
ITM_PRC088_Name,18,
ITM_PRC089_Name,18,
ITM_PRC090_Name,18,白鯨零件
ITM_PRC091_Name,18,
ITM_PRC092_Name,18,
ITM_PRC093_Name,18,
ITM_PRC094_Name,18,伊昂的ID卡
ITM_PRC095_Name,18,給娜魯的禮物
ITM_PRC096_Name,18,父親的墨鏡
ITM_PRC097_Name,18,咚咚可簽名文件
ITM_PRC098_Name,18,多利安簽名文件
ITM_PRC099_Name,18,拉斯製零件
ITM_PRC100_Name,18,醫療用品套組
ITM_PRC101_Name,18,收容所的鑰匙
ITM_PRC102_Name,18,
ITM_PRC103_Name,18,機偶駕駛執照
ITM_PRC104_Name,18,
ITM_PRC105_Name,18,
ITM_PRC106_Name,18,
ITM_PRC107_Name,18,白鯨零件
ITM_PRC108_Name,18,L-002電纜
ITM_PRC109_Name,18,認證考試及格證書
ITM_PRC110_Name,18,
ITM_PRC111_Name,18,
ITM_PRC112_Name,18,
ITM_PRC113_Name,18,
ITM_PRC114_Name,18,活體樣本
ITM_PRC115_Name,18,米雅的通訊終端
ITM_PRC116_Name,18,綠燐大樹的種子
ITM_PRC117_Name,18,物資箱鑰匙
ITM_PRC118_Name,18,
ITM_PRC119_Name,18,
ITM_PRC120_Name,18,
ITM_PRC121_Name,18,榴彈披薩
ITM_PRC122_Name,18,冷凍披薩
ITM_PRC123_Name,18,亞季柏的鑰匙
ITM_PRC124_Name,18,穆季柏的鑰匙
ITM_PRC125_Name,18,舞孃的服裝
ITM_PRC126_Name,18,紅色淚珠
ITM_PRC127_Name,18,
ITM_PRC128_Name,18,
ITM_PRC129_Name,18,
ITM_PRC130_Name,18,
ITM_PRC131_Name,18,
ITM_PRC132_Name,18,
ITM_PRC133_Name,18,
ITM_PRC134_Name,18,
ITM_PRC135_Name,18,新型兵器設計圖
ITM_PRC136_Name,18,
ITM_PRC137_Name,18,召喚護目鏡
ITM_PRC138_Name,18,瑟尼拉帕水
ITM_PRC139_Name,18,
ITM_PRC140_Name,18,吉爾多鑽石
ITM_PRC141_Name,18,哥魯波加記錄光碟
ITM_PRC142_Name,18,
ITM_PRC143_Name,18,迪其的樹液
ITM_PRC144_Name,18,
ITM_PRC145_Name,18,灰色鑰匙卡
ITM_PRC146_Name,18,長方形箱子
ITM_PRC147_Name,18,
ITM_PRC148_Name,18,
ITM_PRC149_Name,18,
ITM_PRC150_Name,18,
ITM_PRC151_Name,18,
ITM_PRC152_Name,18,
ITM_PRC153_Name,18,庫達的貨物
ITM_PRC154_Name,18,
ITM_PRC155_Name,18,氣流結晶
ITM_PRC156_Name,18,守護者的靈鱗
ITM_PRC157_Name,18,
ITM_PRC158_Name,18,
ITM_PRC159_Name,18,
ITM_PRC160_Name,18,
ITM_PRC161_Name,18,
ITM_PRC162_Name,18,
ITM_PRC163_Name,18,眉月要塞的鑰匙
ITM_PRC164_Name,18,B.B.的左臂
ITM_PRC165_Name,18,L-002新型設備
ITM_PRC166_Name,18,神父的日記
ITM_PRC167_Name,18,火焰紅礦
ITM_PRC168_Name,18,浮游石碎片
ITM_PRC169_Name,18,染血的野獸毛髮
ITM_PRC170_Name,18,洛的吊墜
ITM_PRC171_Name,18,三把刀
ITM_PRC172_Name,18,珍珠項鍊
ITM_PRC173_Name,18,資料元件FN093
ITM_PRC174_Name,18,全套修理物資
ITM_PRC175_Name,18,阿葛聶巴合金
ITM_PRC176_Name,18,駕駛艙的殘骸
ITM_PRC177_Name,18,引擎殘骸
ITM_PRC178_Name,18,茲哈格的殘骸
ITM_PRC179_Name,18,破銅爛鐵
ITM_PRC180_Name,18,資料元件FN094
ITM_PRC181_Name,18,B.B.的頭部
ITM_PRC182_Name,18,B.B.的軀幹
ITM_PRC183_Name,18,B.B.的左腳
ITM_PRC184_Name,18,B.B.的右腳
ITM_PRC185_Name,18,防護罩解除鑰匙1
ITM_PRC186_Name,18,
ITM_PRC187_Name,18,淨化苔蘚
ITM_PRC188_Name,18,盒式吊墜
ITM_PRC189_Name,18,星砂
ITM_PRC190_Name,18,紫色結晶
ITM_PRC191_Name,18,艾梅里亞的遺留物
ITM_PRC192_Name,18,儲存裝置
ITM_PRC193_Name,18,損壞的資料探測器
ITM_PRC194_Name,18,心形石
ITM_PRC195_Name,18,
ITM_PRC196_Name,18,
ITM_PRC197_Name,18,米坎德山的岩石
ITM_PRC198_Name,18,果果醬草
ITM_PRC199_Name,18,新型兵器的殘骸
