label {9},style {2},name {7}
ITM_INFO_001_Name,21,Gärtnerwissen
ITM_INFO_002_Name,21,Die Jagdkunst der Prone
ITM_INFO_003_Name,21,Die Kefa-Stechpalme
ITM_INFO_004_Name,21,Wo ist Tatsu?
ITM_INFO_005_Name,21,Wo ist Tatsu?
ITM_INFO_006_Name,21,Yelvs Partner
ITM_INFO_007_Name,21,Yelvs Partner
ITM_INFO_008_Name,21,Das Geheimnis des Hyperstahls
ITM_INFO_009_Name,21,Vandham hat Nachtschicht
ITM_INFO_010_Name,0,
ITM_INFO_011_Name,21,Wahlbarometer I
ITM_INFO_012_Name,21,Wahlbarometer II
ITM_INFO_013_Name,21,Wahlbarometer III
ITM_INFO_014_Name,0,
ITM_INFO_015_Name,0,
ITM_INFO_016_Name,0,
ITM_INFO_017_Name,0,
ITM_INFO_018_Name,21,Wo ist Gerome?
ITM_INFO_019_Name,0,
ITM_INFO_020_Name,0,
ITM_INFO_021_Name,21,Aerozium-Monopol
ITM_INFO_022_Name,21,Zeugenaussage
ITM_INFO_023_Name,21,Unterstützung von den Ma-non
ITM_INFO_024_Name,21,Unterstützung von den Ma-non
ITM_INFO_025_Name,21,Rezept für Curry
ITM_INFO_026_Name,21,Rezept für Pekingente
ITM_INFO_027_Name,21,Rezept für Auf-gut-Glück-Suppe
ITM_INFO_028_Name,21,Definianischer Zugangscode
ITM_INFO_029_Name,21,Ngogos Rezept
ITM_INFO_030_Name,21,Pirapiras Rezept
ITM_INFO_031_Name,21,Warawas Rezept
ITM_INFO_032_Name,0,
ITM_INFO_033_Name,0,
ITM_INFO_034_Name,0,
ITM_INFO_035_Name,21,Zeugenaussage I
ITM_INFO_036_Name,21,Zeugenaussage II
ITM_INFO_037_Name,21,Zeugenaussage III
ITM_INFO_038_Name,0,
ITM_INFO_039_Name,0,
ITM_INFO_040_Name,0,
ITM_INFO_041_Name,0,
ITM_INFO_042_Name,21,Wo ist Aisha?
ITM_INFO_043_Name,0,
ITM_INFO_044_Name,0,
ITM_INFO_045_Name,0,
ITM_INFO_046_Name,21,Augenzeugenbericht I
ITM_INFO_047_Name,21,Augenzeugenbericht II
ITM_INFO_048_Name,21,Augenzeugenbericht III
ITM_INFO_049_Name,0,
ITM_INFO_050_Name,21,Sprengmeister-Einmaleins
ITM_INFO_051_Name,21,Unterstützung von den Ma-non
ITM_INFO_052_Name,21,Wo ist Sun’celeg?
ITM_INFO_053_Name,21,Wo ist Sun’celeg?
