label {9},style {2},name {7}
ITM_INFO_001_Name,21,Nurturing a Great Tree
ITM_INFO_002_Name,21,Prone Hunting Prowess
ITM_INFO_003_Name,21,Kepha Holly Characteristics
ITM_INFO_004_Name,21,Tatsu's Whereabouts
ITM_INFO_005_Name,21,Tatsu Sighting
ITM_INFO_006_Name,21,Yelv's Partner
ITM_INFO_007_Name,21,Yelv's Partner
ITM_INFO_008_Name,21,Neraph's Hypersteel Refining Method 
ITM_INFO_009_Name,21,The Commander's Night Post
ITM_INFO_010_Name,0,
ITM_INFO_011_Name,21,Candidate Info 1
ITM_INFO_012_Name,21,Candidate Info 2
ITM_INFO_013_Name,21,Candidate Info 3
ITM_INFO_014_Name,0,
ITM_INFO_015_Name,0,
ITM_INFO_016_Name,0,
ITM_INFO_017_Name,0,
ITM_INFO_018_Name,21,Gerome's Hangout
ITM_INFO_019_Name,0,
ITM_INFO_020_Name,0,
ITM_INFO_021_Name,21,Aerozium Location
ITM_INFO_022_Name,21,Sniper Info
ITM_INFO_023_Name,21,Ma-non Assistance
ITM_INFO_024_Name,21,Ma-non Assistance
ITM_INFO_025_Name,21,Curry Recipe
ITM_INFO_026_Name,21,Peking Duck Recipe
ITM_INFO_027_Name,21,Potluck Hot Pot Recipe
ITM_INFO_028_Name,21,Definian Code
ITM_INFO_029_Name,21,Ngogo's Recipe
ITM_INFO_030_Name,21,Pirapira's Recipe
ITM_INFO_031_Name,21,Warawa's Recipe
ITM_INFO_032_Name,0,
ITM_INFO_033_Name,0,
ITM_INFO_034_Name,0,
ITM_INFO_035_Name,21,Case Clue 1
ITM_INFO_036_Name,21,Case Clue 2
ITM_INFO_037_Name,21,Case Clue 3
ITM_INFO_038_Name,0,
ITM_INFO_039_Name,0,
ITM_INFO_040_Name,0,
ITM_INFO_041_Name,0,
ITM_INFO_042_Name,21,Aisha's Hangout
ITM_INFO_043_Name,0,
ITM_INFO_044_Name,0,
ITM_INFO_045_Name,0,
ITM_INFO_046_Name,21,Sniper Sighting 1
ITM_INFO_047_Name,21,Sniper Sighting 2
ITM_INFO_048_Name,21,Sniper Sighting 3
ITM_INFO_049_Name,0,
ITM_INFO_050_Name,21,Bomb-Squad School
ITM_INFO_051_Name,21,Ma-non Assistance
ITM_INFO_052_Name,21,Sun'celeg Sighting
ITM_INFO_053_Name,21,Sun'celeg Sighting
ITM_INFO_054_Name,21,Celica's Whereabouts
ITM_INFO_055_Name,21,Rock's Whereabouts
ITM_INFO_056_Name,0,
ITM_INFO_057_Name,0,
ITM_INFO_058_Name,0,
ITM_INFO_059_Name,0,
ITM_INFO_060_Name,0,
ITM_INFO_061_Name,0,
ITM_INFO_062_Name,21,Knowledge from the Grave
ITM_INFO_063_Name,21,Knowledge from the Grave
ITM_INFO_064_Name,21,Knowledge from the Grave
ITM_INFO_065_Name,21,Activity Log
ITM_INFO_066_Name,21,Wanderer Info 1
ITM_INFO_067_Name,21,Wanderer Info 2
ITM_INFO_068_Name,21,Wanderer Info 3
ITM_INFO_069_Name,21,Huge Thing Info
ITM_INFO_070_Name,21,Huge Thing Info
ITM_INFO_071_Name,21,Huge Thing Info
ITM_INFO_072_Name,21,Huge Thing Info
ITM_INFO_073_Name,21,Senirapa Water Hint
ITM_INFO_074_Name,0,
ITM_INFO_075_Name,21,White Whale Crash-Landing Info 1
ITM_INFO_076_Name,21,White Whale Crash-Landing Info 2
ITM_INFO_077_Name,21,White Whale Crash-Landing Info 3
ITM_INFO_078_Name,21,Remote Island Info
ITM_INFO_079_Name,21,Cockroach Info
ITM_INFO_080_Name,0,
ITM_INFO_081_Name,0,
ITM_INFO_082_Name,0,
ITM_INFO_083_Name,0,
ITM_INFO_084_Name,0,
ITM_INFO_085_Name,0,
ITM_INFO_086_Name,21,Research Data
ITM_INFO_087_Name,21,Lan'cord's Hangout
ITM_INFO_088_Name,21,Treasure Info
ITM_INFO_089_Name,0,
ITM_INFO_090_Name,0,
ITM_INFO_091_Name,0,
ITM_INFO_092_Name,0,
ITM_INFO_093_Name,0,
ITM_INFO_094_Name,21,Heart-to-Heart Info
ITM_INFO_095_Name,21,Fleeing Female Info 1
ITM_INFO_096_Name,21,Fleeing Female Info 2
ITM_INFO_097_Name,21,Fleeing Female Info 3
ITM_INFO_098_Name,21,Missing Person Info
ITM_INFO_099_Name,0,
ITM_INFO_100_Name,21,Helicopter Repair Tip
ITM_INFO_101_Name,21,Tyrant Info
ITM_INFO_102_Name,21,Tyrant Info
ITM_INFO_103_Name,21,Treasure Info
ITM_INFO_104_Name,21,Treasure Info
ITM_INFO_105_Name,21,Treasure Info
ITM_INFO_106_Name,21,Tyrant Info
ITM_INFO_107_Name,21,Tyrant Info
ITM_INFO_108_Name,21,Treasure Info
ITM_INFO_109_Name,21,Tyrant Info
ITM_INFO_110_Name,21,Tyrant Info
ITM_INFO_111_Name,21,Treasure Info
ITM_INFO_112_Name,21,Treasure Info
ITM_INFO_113_Name,21,Treasure Info
ITM_INFO_114_Name,21,Treasure Info
ITM_INFO_115_Name,21,Treasure Info
ITM_INFO_116_Name,21,Tyrant Info
ITM_INFO_117_Name,21,Treasure Info
ITM_INFO_118_Name,21,Treasure Info
ITM_INFO_119_Name,21,Tyrant Info
ITM_INFO_120_Name,21,Treasure Info
ITM_INFO_121_Name,21,Treasure Info
ITM_INFO_122_Name,21,Tyrant Info
ITM_INFO_123_Name,21,Tyrant Info
ITM_INFO_124_Name,21,Tyrant Info
ITM_INFO_125_Name,21,Tyrant Info
ITM_INFO_126_Name,21,Treasure Info
ITM_INFO_127_Name,21,Tyrant Info
ITM_INFO_128_Name,21,Tyrant Info
ITM_INFO_129_Name,21,Tyrant Info
ITM_INFO_130_Name,21,Tyrant Info
ITM_INFO_131_Name,21,Tyrant Info
ITM_INFO_132_Name,21,Tyrant Info
