label {9},style {2},name {7}
ITM_INFO_001_Name,21,偉大巨樹的栽種方法
ITM_INFO_002_Name,21,拜亞斯的狩獵知識
ITM_INFO_003_Name,21,凱法柊樹的特性
ITM_INFO_004_Name,21,塔茲的行蹤情報
ITM_INFO_005_Name,21,塔茲的目擊情報
ITM_INFO_006_Name,21,依盧弗搭檔的情報
ITM_INFO_007_Name,21,依盧弗搭檔的情報
ITM_INFO_008_Name,21,尼洛普式超鋼鐵精製法
ITM_INFO_009_Name,21,司令的夜間工作場所
ITM_INFO_010_Name,0,
ITM_INFO_011_Name,21,成為候選人所需的情報①
ITM_INFO_012_Name,21,成為候選人所需的情報②
ITM_INFO_013_Name,21,成為候選人所需的情報③
ITM_INFO_014_Name,0,
ITM_INFO_015_Name,0,
ITM_INFO_016_Name,0,
ITM_INFO_017_Name,0,
ITM_INFO_018_Name,21,傑洛姆的所在位置
ITM_INFO_019_Name,0,
ITM_INFO_020_Name,0,
ITM_INFO_021_Name,21,氣流結晶的所在地
ITM_INFO_022_Name,21,狙擊手的情報
ITM_INFO_023_Name,21,瑪儂人的精彩表現
ITM_INFO_024_Name,21,瑪儂人的精彩表現
ITM_INFO_025_Name,21,咖哩食譜
ITM_INFO_026_Name,21,北京烤鴨食譜
ITM_INFO_027_Name,21,黑暗火鍋食譜
ITM_INFO_028_Name,21,戴菲尼亞密碼
ITM_INFO_029_Name,21,恩勾勾的食譜
ITM_INFO_030_Name,21,皮拉皮拉的食譜
ITM_INFO_031_Name,21,瓦拉瓦的食譜
ITM_INFO_032_Name,0,
ITM_INFO_033_Name,0,
ITM_INFO_034_Name,0,
ITM_INFO_035_Name,21,事件的情報1
ITM_INFO_036_Name,21,事件的情報2
ITM_INFO_037_Name,21,事件的情報3
ITM_INFO_038_Name,0,
ITM_INFO_039_Name,0,
ITM_INFO_040_Name,0,
ITM_INFO_041_Name,0,
ITM_INFO_042_Name,21,艾夏的所在位置
ITM_INFO_043_Name,0,
ITM_INFO_044_Name,0,
ITM_INFO_045_Name,0,
ITM_INFO_046_Name,21,狙擊犯的目擊情報1
ITM_INFO_047_Name,21,狙擊犯的目擊情報2
ITM_INFO_048_Name,21,狙擊犯的目擊情報3
ITM_INFO_049_Name,0,
ITM_INFO_050_Name,21,炸彈的知識
ITM_INFO_051_Name,21,瑪儂人的精彩表現
ITM_INFO_052_Name,21,森歐薩拉格目擊情報
ITM_INFO_053_Name,21,森歐薩拉格目擊情報
ITM_INFO_054_Name,21,賽莉卡的行蹤
ITM_INFO_055_Name,21,洛克的行蹤
ITM_INFO_056_Name,0,
ITM_INFO_057_Name,0,
ITM_INFO_058_Name,0,
ITM_INFO_059_Name,0,
ITM_INFO_060_Name,0,
ITM_INFO_061_Name,0,
ITM_INFO_062_Name,21,墓碑的情報
ITM_INFO_063_Name,21,墓碑的情報
ITM_INFO_064_Name,21,墓碑的情報
ITM_INFO_065_Name,21,運作日誌
ITM_INFO_066_Name,21,漂泊者的情報1
ITM_INFO_067_Name,21,漂泊者的情報2
ITM_INFO_068_Name,21,漂泊者的情報3
ITM_INFO_069_Name,21,巨大傢伙的情報
ITM_INFO_070_Name,21,巨大傢伙的情報
ITM_INFO_071_Name,21,巨大傢伙的情報
