S_FLG_MIN {2},S_FLG_MAX {2}
0,12024
1001,12024
2001,12024
3001,12024
4001,12024
5001,12024
6002,12024
7001,12024
8001,12024
9001,12024
10001,12024
11001,12024
12001,12024
1,8
1001,1011
2001,2006
3001,3009
4001,4011
5001,5014
6002,6014
7001,7007
8001,8022
9001,9011
10001,10009
11001,11010
12001,12022
9,12023
0,9
1012,12023
0,1012
2007,12023
0,2007
3010,12023
0,3010
4012,12023
0,4012
5015,12023
0,5015
6015,12023
0,6015
7008,12023
0,7008
8023,12023
0,8023
9012,12023
0,9012
10010,12023
0,10010
11011,12023
0,11011
12023,12023
1012,12024
2007,12024
3010,12024
4012,12024
5015,12024
6015,12024
7008,12024
8023,12024
9012,12024
10010,12024
11011,12024
12023,12024
0,1012
0,2007
0,4012
0,5015
0,6015
0,7008
0,8023
0,9012
0,10010
0,11011
2001,7008
2001,8022
2007,8022
4012,5014
5001,6015
5001,7008
5001,8023
5015,7008
5015,8023
5015,9011
7008,9011
8001,11011
10001,11011
0,1002
0,2006
0,3008
0,4011
0,5014
0,6014
0,7007
0,8022
0,9011
0,10009
0,11010
0,12022
1006,1012
2002,2006
2007,2007
5012,5015
6007,6012
2006,2006
3002,3002
3008,3008
4004,4004
0,5012
5012,5014
7003,7003
9004,9004
10004,10005
11003,11003
11010,11010
8,12024
0,1
0,0
0,0
0,2
2,3
0,3
0,0
0,4
4,4
6,7
0,7
8,8
0,9
0,1001
1001,1001
0,1004
0,1006
0,1008
0,1009
0,1010
0,1011
0,1012
0,1011
0,1012
0,2001
0,2002
0,2005
0,2006
0,2007
0,3001
0,3002
0,3003
0,3004
0,3006
0,3007
0,3008
0,3009
0,4001
0,4002
0,4003
0,4004
0,4005
0,4006
0,4007
0,4008
0,4009
0,4010
0,4011
0,4012
1006,1008
2002,2005
3002,3003
3009,4001
1012,1012
5015,8001
8005,12024
2003,2003
2006,2006
3002,3003
3005,3006
4004,4004
4005,4005
4007,4009
4011,4011
4004,4010
5,12024
0,1
1,2001
2002,2007
1005,2001
1012,2001
3002,3009
1003,12024
4012,5001
5015,6002
6015,7001
7008,8001
8023,9001
9012,10001
10010,11001
11011,12001
5005,5007
5005,5005
5006,5007
5009,5009
5012,5013
6007,6009
6007,6012
7003,7003
7005,7005
7007,7007
9004,9004
9009,9009
11003,11007
5004,5004
5008,5008
5009,5010
6007,6007
6008,6011
7005,7005
8014,8015
8021,8021
9005,9006
10006,10006
11003,11003
11003,11004
11004,11006
11007,11009
11001,11001
7003,7003
8006,8010
0,7008
8001,8023
9001,12024
1005,1005
1008,1008
1009,1009
1010,1010
1011,1011
5013,8004
8023,12024
6013,6013
8005,8020
10008,10009
12007,12022
12002,12002
12003,12003
12004,12004
12005,12005
12009,12011
8013,8016
2,12024
0,7001
7007,12024
7004,7004
4012,12024
2001,7008
9001,12024
5004,5011
12003,12024
12003,12020
8012,8021
7008,8001
2003,2004
3004,3004
6007,6007
9010,9010
0,12024
6,12024
3002,12024
3010,12024
6015,12024
0,12024
0,12024
0,12024
0,12024
0,12024
0,12024
0,12024
0,12024
0,12024
0,12024
0,12024
0,12024
0,12024
0,12024
0,12024
0,12024
0,5014
5015,8004
8005,9003
8023,12024
11003,12024
12003,12024
2002,12024
2006,12024
3008,12024
4011,12024
6013,12024
5009,12024
5012,12024
7007,12024
9010,12024
10010,12024
0,10010
3001,3009
1003,1005
12017,12017
12018,12018
8001,8006
8009,8009
8015,8015
8007,8010
4007,4008
0,7002
7005,12024
7003,7004
7006,7007
2004,2004
10004,10006
10009,10009
1003,1003
8001,8020
8001,8020
10008,10008
2,3003
9004,9004
4009,4011
3008,3008
5012,5012
6013,6013
7007,7007
11010,11010
3005,3005
9004,9005
9006,9006
9007,9007
8014,8014
8001,8014
12012,12012
12019,12019
2,12024
4004,4004
4005,4010
0,2002
5015,7007
2002,12024
6010,6012
7006,7006
9007,9007
12003,12008
3010,3010
4012,4012
5015,5015
6015,6015
7008,7008
8023,8023
9012,9012
10010,10010
11011,11011
3010,12002
10001,10007
11003,11010
