quest_name {7},quest_title {2},category {1},name {2},area {2},summary {2},GameCondition {2},Difficulty {1},ClearCheckflg {2},ArrivalCheckflg {2},HexCondition {2},OrderCond {2},OrderID {2},balloonCond {2},balloonNpc {2},waitComp {2},result_text_a {2},result_text_b {2},reward_disp {1},sortID {2},itemset_id_1 {2},itemset_id_2 {2},consent {2},window_disp {1},prt_quest_id {2},flg_type_a {2},flg_type_b {2},task_id {2},cancel_count {1},dead_count {2},next_quest_a {2},ScriptA {7},next_quest_b {2},ScriptB {7},quest_report {2}
,74,1,11,10,75,0,0,0,0,1,0,0,0,0,0,76,0,0,0,1,0,0,0,0,2,0,0,0,5050,2,,0,,2
000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,103,1,0,0,3,,0,,0
000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30250,0,0,0,0,0,0,0,0,1,0,104,2,0,0,4,,0,,0
000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105,3,0,0,5,,0,,0
000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,106,4,0,0,6,,0,,0
000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30251,0,0,0,0,0,0,0,0,1,0,107,5,0,0,7,,0,,0
000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108,6,0,0,8,,0,,0
000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109,7,0,0,10000,,0,,0
,85,1,1,10,86,0,0,0,0,2,0,0,0,0,0,87,0,1,0,2,0,0,1,0,3,0,0,0,5051,10,,0,,3
000101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,110,11,0,0,11,,0,,0
000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,111,12,0,0,12,,0,,0
000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,112,13,0,0,13,,0,,0
000104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,113,14,0,0,14,,0,,0
000105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,114,15,0,0,10000,,0,,0
,95,1,1,10,96,0,0,0,0,2,0,0,0,0,0,97,0,1,0,3,0,0,1,0,4,0,0,0,5052,16,,0,,4
000201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,115,17,0,0,17,,0,,0
000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30252,0,0,0,0,0,0,0,0,15,0,116,18,0,0,19,,0,,0
000203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,117,19,0,0,19,,0,,0
000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,118,20,0,0,10000,,0,,0
,103,1,20,10,104,0,0,0,0,2,0,0,0,0,0,105,0,1,0,4,0,0,1,0,5,0,0,0,5053,21,,0,,5
000301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,119,21,0,0,22,,0,,0
000302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30253,0,0,0,0,0,0,0,0,20,0,120,22,0,0,23,,0,,0
000303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,121,23,0,0,24,,0,,0
000304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30254,0,0,0,0,0,0,0,0,20,0,122,24,0,0,25,,0,,0
000305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,123,25,0,0,10000,,0,,0
,116,1,20,10,117,0,0,0,0,3,0,0,0,0,0,118,0,1,0,5,0,0,1,0,6,0,0,0,5054,27,,0,,6
000401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,124,26,0,0,28,,0,,0
000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,125,27,0,0,29,,0,,0
000403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30255,0,0,0,0,0,0,0,0,26,0,126,28,0,0,30,,0,,0
000404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30256,0,0,0,0,0,0,0,0,26,0,127,29,0,0,31,,0,,0
000405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,128,30,0,0,10000,,0,,0
,129,1,20,10,130,0,0,0,0,4,0,0,0,0,0,131,0,1,0,6,0,0,1,0,7,0,0,0,5055,33,,0,,7
000501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,129,31,0,0,34,,0,,0
000502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,130,32,0,0,35,,0,,0
000503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30257,0,0,0,0,0,0,0,0,32,0,131,33,0,0,36,xs05080100.sb,0,,0
000504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30258,0,0,0,0,0,0,0,0,32,0,132,34,0,0,37,xs05080100.sb,0,,0
000505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30259,0,0,0,0,0,0,0,0,32,0,133,35,0,0,38,xs05080100.sb,0,,0
000506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,134,36,0,0,39,,0,,0
000507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,135,37,0,0,40,,0,,0
000508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30260,0,0,0,0,0,0,0,0,32,0,136,38,0,0,41,,0,,0
000509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,137,39,0,0,10000,,0,,0
,144,1,20,10,145,0,0,0,0,5,0,0,0,0,0,146,0,1,0,7,0,0,1,0,8,0,0,0,5056,43,,0,,8
000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,138,40,0,0,44,,0,,0
000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30261,0,0,0,0,0,0,0,0,42,0,139,41,0,0,45,,0,,0
000603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30262,0,0,0,0,0,0,0,0,42,0,140,42,0,0,46,,0,,0
000604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,141,43,0,0,10000,,0,,0
,154,1,20,10,155,0,0,0,0,6,0,0,0,0,0,156,0,1,0,8,0,0,1,0,9,0,0,0,5057,48,,0,,9
000701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,142,44,0,0,49,,0,,0
000702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,143,45,0,0,50,,0,,0
000703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30263,0,0,0,0,0,0,0,0,47,0,144,46,0,0,51,,0,,0
000704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,145,47,0,0,52,,0,,0
000705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30264,0,0,0,0,0,0,0,0,47,0,146,48,0,0,53,,0,,0
000706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,147,49,0,0,10000,,0,,0
,168,1,20,10,169,0,0,0,0,7,0,0,0,0,0,170,0,1,0,9,0,0,2,0,10,0,0,0,5058,55,,0,,10
000801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,148,50,0,0,56,,0,,0
000802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30265,0,0,0,0,0,0,0,0,54,0,149,51,1,0,57,xs08060145.sb,0,,0
000803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30266,0,0,0,0,0,0,0,0,54,0,150,52,1,0,58,xs08060160.sb,0,,0
000804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30267,0,0,0,0,0,0,0,0,54,0,151,53,1,0,59,xs08060180.sb,0,,0
000805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,152,54,0,0,60,,0,,0
000806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30268,0,0,0,0,0,0,0,0,54,0,153,55,0,0,10000,,0,,0
000807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,154,56,0,0,10000,,0,,0
,183,1,20,10,184,0,0,0,0,8,0,0,0,0,0,185,0,1,0,10,0,0,1,0,11,0,0,0,5059,63,,0,,11
000901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,155,57,0,0,64,,0,,0
000902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,156,58,0,0,65,,0,,0
000903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30269,0,0,0,0,0,0,0,0,62,0,157,59,0,0,66,,0,,0
000904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30270,0,0,0,0,0,0,0,0,62,0,158,60,0,0,67,,0,,0
000905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,159,61,0,0,10000,,0,,0
,195,1,20,10,196,0,0,0,0,9,0,0,0,0,0,197,0,1,0,11,0,0,1,0,12,0,0,0,5060,69,,0,,12
001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,160,62,0,0,70,,0,,0
001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30271,0,0,0,0,0,0,0,0,68,0,161,63,0,0,71,,0,,0
001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30272,0,0,0,0,0,0,0,0,68,0,162,64,0,0,72,,0,,0
001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,163,65,0,0,10000,,0,,0
,202,1,20,10,203,0,0,0,0,10,0,0,0,0,0,204,0,1,0,12,0,0,1,0,13,0,0,0,5061,74,,0,,13
001101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,164,66,0,0,75,,0,,0
001102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,165,67,0,0,76,,0,,0
001103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,166,68,0,0,77,,0,,0
001104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30273,0,0,0,0,0,0,0,0,73,0,167,69,0,0,78,,0,,0
001105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,168,70,0,0,79,,0,,0
001106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30274,0,0,0,0,0,0,0,0,73,0,169,71,0,0,80,,0,,0
001107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,170,72,0,0,10000,,0,,0
,213,1,20,10,214,0,0,0,0,11,0,0,0,0,0,215,0,1,0,13,0,0,2,0,14,0,0,0,5062,82,,0,,14
001201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,171,73,0,0,98,,0,,0
001202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,172,74,0,0,97,,0,,0
001203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,173,75,0,0,86,,0,,0
001204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30275,0,0,0,0,0,0,0,0,81,0,174,76,0,0,86,,0,,0
001205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30276,0,0,0,0,0,0,0,0,81,0,175,77,0,0,87,,0,,0
001206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30277,0,0,0,0,0,0,0,0,81,0,176,78,0,0,88,,0,,0
001207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30278,0,0,0,0,0,0,0,0,81,0,177,79,0,0,10000,,0,,0
,238,1,20,10,239,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,14,0,0,0,0,90,,0,,0
001301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,178,81,0,0,10000,,0,,0
,226,1,20,10,227,0,0,0,0,2,0,0,0,0,0,228,0,0,0,0,0,0,0,0,15,0,0,0,0,92,,0,,0
001401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,179,8,0,0,93,,0,,0
001402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,180,9,0,0,94,,0,,0
001403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,181,10,0,0,10000,,0,,0
,233,1,20,10,234,0,0,0,0,2,0,0,0,0,0,235,0,0,0,0,0,0,0,0,16,0,0,0,0,96,,0,,0
001501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,182,16,0,0,10000,,0,,0
001208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,183,80,0,0,84,,0,,0
001209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,184,82,0,0,83,,0,,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0
,242,2,70,3,243,0,0,0,0,0,0,0,6086,70,0,244,0,1,1,14,0,1,1,0,304,0,0,0,0,102,,0,,15
010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,605,83,0,0,103,,0,,0
010102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,606,84,0,0,10000,,0,,0
,248,2,96,2,249,0,0,0,0,0,0,0,93,96,0,250,0,1,3,16,0,1,1,0,305,0,0,0,0,105,,0,,16
010301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,607,88,0,0,10000,,0,,0
,253,2,167,3,254,0,0,0,0,0,0,0,520,167,0,255,0,1,4,17,0,1,1,0,306,0,0,0,0,107,,0,,17
010401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,608,89,0,0,108,,0,,0
010402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,609,90,0,0,109,,0,,0
010403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,610,91,0,0,110,,0,,0
010404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,611,92,0,0,111,,0,,0
010405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,612,93,0,0,10000,,0,,0
,262,2,95,2,263,0,0,0,0,0,0,0,5866,95,0,264,0,1,2,18,0,1,1,0,307,0,0,0,0,113,,0,,18
010501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,613,85,0,0,114,,0,,0
010502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,614,86,0,0,115,,0,,0
010503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,615,87,0,0,10000,,0,,0
