label {9},style {2},name {7}
PCNPC_uni0001,18,ナギ
PCNPC_uni0002,18,ルー
PCNPC_uni0003,18,ラオ
PCNPC_uni0004,18,HB
PCNPC_uni0005,18,グイン
PCNPC_uni0006,18,フライ
PCNPC_uni0007,18,ダグ
PCNPC_uni0008,18,イエルヴ
PCNPC_uni0009,18,ボゼ・ロウズ
PCNPC_uni0010,18,フォグ・クリストフ
PCNPC_uni0011,18,エルマ
PCNPC_uni0012,18,リン
PCNPC_uni0013,18,セリカ
PCNPC_uni0014,18,イリーナ
PCNPC_uni0015,18,マードレス
PCNPC_uni0016,18,アクセナ
PCNPC_uni0017,18,ヒメリ・アランジ
PCNPC_uni0018,18,ミーア
PCNPC_uni3912,18,リン
SNPC_uni0021,18,ヴァンダム
SNPC_uni0022,18,モーリス
SNPC_uni0023,18,ロック
SNPC_uni0061,18,ルクザール
SNPC_uni0062,18,ガ・デルグ
SNPC_uni0063,18,ガ・ボウ
SNPC_uni0064,18,ゲーティア
SNPC_uni0065,18,ダガン
SNPC_uni0066,18,リーズ
SNPC_uni0090,18,タツ
nm_uni0101,18,アーデルベルト
nm_uni0102,18,アレックス
nm_uni0103,18,ウィルーグ
nm_uni0104,18,カール
nm_uni0105,18,ガス
nm_uni0106,18,ガッド
nm_uni0107,18,カンバー
nm_uni0108,18,クインシー
nm_uni0109,18,クリストファー
nm_uni0111,18,ケント・D・カー
nm_uni0112,18,コロンダス
nm_uni0113,18,ジェフリー
nm_uni0114,18,ジェローム
nm_uni0115,18,ジム
nm_uni0116,18,ジャスティン
nm_uni0117,18,ジョット
nm_uni0118,18,ウォルター
nm_uni0119,18,ディルク
nm_uni0121,18,ハーヴィー
nm_uni0122,18,パウエル
nm_uni0123,18,ハワード
nm_uni0124,18,ピアーズ
nm_uni0125,18,ペーター
nm_uni0126,18,ロー
nm_uni0127,18,フォスダイク
nm_uni0128,18,ブリッグズ
nm_uni0129,18,ベイツ
nm_uni0130,18,ホーマー
nm_uni0131,18,ドルトン
