label {9},style {2},name {7}
PCNPC_uni0001,18,나기
PCNPC_uni0002,18,루
PCNPC_uni0003,18,라오
PCNPC_uni0004,18,HB
PCNPC_uni0005,18,그윈
PCNPC_uni0006,18,프라이
PCNPC_uni0007,18,더그
PCNPC_uni0008,18,이엘브
PCNPC_uni0009,18,보제 로우즈
PCNPC_uni0010,18,포그 크리스토프
PCNPC_uni0011,18,엘마
PCNPC_uni0012,18,린
PCNPC_uni0013,18,세리카
PCNPC_uni0014,18,이리나
PCNPC_uni0015,18,머더레스
PCNPC_uni0016,18,아크세나
PCNPC_uni0017,18,히메리 알란지
PCNPC_uni0018,18,미아
PCNPC_uni3912,18,린
SNPC_uni0021,18,반담
SNPC_uni0022,18,모리스
SNPC_uni0023,18,록
SNPC_uni0061,18,루크자르
SNPC_uni0062,18,가 델그
SNPC_uni0063,18,가 보우
SNPC_uni0064,18,게티아
SNPC_uni0065,18,더건
SNPC_uni0066,18,리즈
SNPC_uni0090,18,타츠
nm_uni0101,18,아델베르트
nm_uni0102,18,알렉스
nm_uni0103,18,위르그
nm_uni0104,18,칼
nm_uni0105,18,거스
nm_uni0106,18,개드
nm_uni0107,18,캠버
nm_uni0108,18,퀸시
nm_uni0109,18,크리스토퍼
nm_uni0111,18,켄트 D. 커
nm_uni0112,18,콜론더스
nm_uni0113,18,제프리
nm_uni0114,18,제롬
nm_uni0115,18,짐
nm_uni0116,18,저스틴
nm_uni0117,18,지오토
nm_uni0118,18,월터
nm_uni0119,18,딜크
nm_uni0121,18,하비
nm_uni0122,18,파웰
nm_uni0123,18,하워드
nm_uni0124,18,피어스
nm_uni0125,18,피터
nm_uni0126,18,로
nm_uni0127,18,포스다이크
nm_uni0128,18,브릭즈
nm_uni0129,18,베이츠
nm_uni0130,18,호머
nm_uni0131,18,달튼
nm_uni0132,18,막심
nm_uni0133,18,모어하우스
nm_uni0134,18,매슈
nm_uni0135,18,데일 기번
nm_uni0136,18,레로이
nm_uni0137,18,그레이엄
nm_uni0138,18,트레버
nm_uni0139,18,로스콜
nm_uni0140,18,로버트
nm_uni0141,18,블러드 로브스터
nm_uni0142,18,네이선
nm_uni0143,18,코너
nm_uni0144,18,료우
nm_uni0145,18,키이스
nm_uni0146,18,자이덴
nm_uni0147,18,신고
nm_uni0148,18,프리츠
nm_uni0149,18,마커스
nm_uni0150,18,몬도
nm_uni0151,18,라라 나라
nm_uni0152,18,웡
nm_uni0153,18,레트릭
nm_uni0154,18,이소베
nm_uni0155,18,카이시스
nm_uni0156,18,올리버
nm_uni0157,18,다트
nm_uni0158,18,비츠
nm_uni0159,18,찰스
nm_uni0160,18,베르나트
nm_uni0161,18,이안
nm_uni0162,18,지조
nm_uni0163,18,클레몬스
nm_uni0164,18,레지
nm_uni0165,18,키아스 콜
nm_uni0166,18,리브로 콜
nm_uni0167,18,미토스
nm_uni0168,18,쿠엔틴
nm_uni0169,18,솔란
nm_uni0170,18,옵스
nm_uni0171,18,마틴
nm_uni0172,18,위르그
nm_uni0173,18,에리오
nm_uni0174,18,리비아
nm_uni0175,18,오마리
nm_uni0176,18,토마스
nm_uni0177,18,오르트
nm_uni0178,18,알란
nm_uni0179,18,아돌푸스
nm_uni0180,18,모어
nm_uni0181,18,후고
nm_uni0182,18,세드릭
nm_uni0183,18,바이런
nm_uni0184,18,토비어스
nm_uni0185,18,야들리
nm_uni0186,18,메츠
nm_uni0187,18,타울러
nm_uni0188,18,울프
nm_uni0189,18,야들리
nm_uni0190,18,유소프
nm_uni0191,18,엔라이
nm_uni0192,18,라라 메라
nm_uni0201,18,아조아
nm_uni0202,18,아리엘 세라
nm_uni0203,18,앨리스
nm_uni0204,18,안나
nm_uni0205,18,일라이자
nm_uni0206,18,빅토리아
nm_uni0207,18,그레테
nm_uni0208,18,사로나
nm_uni0209,18,지나
nm_uni0211,18,시스카
nm_uni0212,18,아비
nm_uni0213,18,다나
nm_uni0214,18,티카
nm_uni0215,18,트레이시
nm_uni0216,18,피네
nm_uni0217,18,프레지
nm_uni0218,18,베라
nm_uni0219,18,베르가모트
nm_uni0221,18,알레사
nm_uni0222,18,커스티
nm_uni0223,18,라이자
nm_uni0224,18,라테
nm_uni0225,18,래리
nm_uni0226,18,리베아나
nm_uni0227,18,루시
nm_uni0228,18,율리우스
nm_uni0229,18,로즐
nm_uni0230,18,모니카
nm_uni0231,18,스텔라
nm_uni0232,18,로지
nm_uni0233,18,셜리
nm_uni0234,18,폴렌
nm_uni0235,18,베리
nm_uni0236,18,퀸스
nm_uni0237,18,샬롯
nm_uni0238,18,
nm_uni0239,18,
nm_uni0240,18,세보리
nm_uni0241,18,캐롤라인
nm_uni0242,18,퍼시
nm_uni0243,18,웬디
nm_uni0244,18,페퍼
nm_uni0245,18,조이
nm_uni0246,18,루시아
nm_uni0247,18,사마냐
nm_uni0248,18,카밀라
nm_uni0249,18,설리번
nm_uni0250,18,메이
nm_uni0251,18,신의 화신
nm_uni0252,18,나스타샤
nm_uni0253,18,엘레오노라
nm_uni0254,18,클라리사
nm_uni0255,18,에이더
nm_uni0256,18,오르넬라
nm_uni0257,18,미카
nm_uni0258,18,욜란다
nm_uni0259,18,에리오
nm_uni0260,18,리비아
nm_uni0261,18,도로시
nm_uni0262,18,넬리
nm_uni0263,18,머들러
nm_uni0264,18,브레나
nm_uni0265,18,레기나
nm_uni0266,18,서티
nm_uni0267,18,
nm_uni0268,18,
nm_uni0269,18,메그
nm_uni0270,18,필
nm_uni0271,18,스리엘라
nm_uni0272,18,밀리
nm_uni0273,18,필
nm_uni0301,18,아크알
nm_uni0302,18,아르웨
nm_uni0303,18,베벤
nm_uni0304,18,지도이
nm_uni0305,18,자림보
nm_uni0306,18,스타카터
nm_uni0307,18,즈라니키
nm_uni0308,18,소스테나사
nm_uni0309,18,다제베노
nm_uni0311,18,노보라타
nm_uni0312,18,포지무어
nm_uni0313,18,미칼
nm_uni0314,18,르라듀
nm_uni0315,18,치오피터스
nm_uni0316,18,아가네바
nm_uni0317,18,
nm_uni0318,18,
nm_uni0319,18,제제바
nm_uni0320,18,
nm_uni0321,18,페펜
nm_uni0322,18,르탄탄
nm_uni0323,18,투투라
nm_uni0324,18,자자니
nm_uni0325,18,제세로
nm_uni0326,18,조존
nm_uni0327,18,비하바
nm_uni0328,18,아다핀
nm_uni0351,18,아알리스
nm_uni0352,18,이니사에
nm_uni0353,18,위카에
nm_uni0354,18,캐프시카
nm_uni0355,18,니로프
nm_uni0356,18,노코체
nm_uni0357,18,파냐르
nm_uni0358,18,비폰느
nm_uni0359,18,베베르타
nm_uni0360,18,마르테트
nm_uni0361,18,유유
nm_uni0362,18,키쿼트
nm_uni0363,18,
nm_uni0364,18,찬티
nm_uni0365,18,주비에타
nm_uni0366,18,메이메이
nm_uni0367,18,베르사유
nm_uni0368,18,헤라도트
nm_uni0401,18,알드 벨가자스
nm_uni0402,18,우조마 바사고
nm_uni0403,18,오체 울펜
nm_uni0404,18,오르 발디레오
nm_uni0405,18,온드 빌게이보
