label {9},style {2},name {7}
PCNPC_uni0001,18,那歧
PCNPC_uni0002,18,鲁
PCNPC_uni0003,18,劳
PCNPC_uni0004,18,HB
PCNPC_uni0005,18,古因
PCNPC_uni0006,18,弗莱
PCNPC_uni0007,18,道格
PCNPC_uni0008,18,依卢弗
PCNPC_uni0009,18,波杰·罗伍兹
PCNPC_uni0010,18,佛格·克里斯托夫
PCNPC_uni0011,18,艾尔玛
PCNPC_uni0012,18,琳
PCNPC_uni0013,18,赛莉卡
PCNPC_uni0014,18,伊莉娜
PCNPC_uni0015,18,玛朵雷斯
PCNPC_uni0016,18,雅克瑟娜
PCNPC_uni0017,18,姬芽里·亚兰吉
PCNPC_uni0018,18,米雅
PCNPC_uni3912,18,琳
SNPC_uni0021,18,范戴姆
SNPC_uni0022,18,莫里斯
SNPC_uni0023,18,洛克
SNPC_uni0061,18,路克札尔
SNPC_uni0062,18,迦·戴鲁古
SNPC_uni0063,18,迦·波巫
SNPC_uni0064,18,凯缇雅
SNPC_uni0065,18,达冈
SNPC_uni0066,18,莉兹
SNPC_uni0090,18,塔兹
nm_uni0101,18,亚迪贝尔特
nm_uni0102,18,艾力克斯
nm_uni0103,18,维尔格
nm_uni0104,18,卡尔
nm_uni0105,18,葛斯
nm_uni0106,18,葛多
nm_uni0107,18,坎伯
nm_uni0108,18,昆西
nm_uni0109,18,克里斯多福
nm_uni0111,18,肯特·D·卡
nm_uni0112,18,寇隆达斯
nm_uni0113,18,杰佛瑞
nm_uni0114,18,杰洛姆
nm_uni0115,18,吉姆
nm_uni0116,18,贾斯汀
nm_uni0117,18,乔特
nm_uni0118,18,瓦尔特
nm_uni0119,18,迪尔克
nm_uni0121,18,哈维
nm_uni0122,18,鲍尔
nm_uni0123,18,霍华德
nm_uni0124,18,皮尔斯
nm_uni0125,18,彼特
nm_uni0126,18,洛
nm_uni0127,18,弗斯戴克
nm_uni0128,18,布利古兹
nm_uni0129,18,贝兹
nm_uni0130,18,荷马
nm_uni0131,18,多尔顿
nm_uni0132,18,马克西姆
nm_uni0133,18,莫亚豪斯
nm_uni0134,18,马修
nm_uni0135,18,戴尔·吉朋
nm_uni0136,18,雷洛伊
nm_uni0137,18,葛拉汉
