label {9},style {2},name {7}
PCNPC_uni0001,18,那歧
PCNPC_uni0002,18,魯
PCNPC_uni0003,18,勞
PCNPC_uni0004,18,HB
PCNPC_uni0005,18,古因
PCNPC_uni0006,18,弗萊
PCNPC_uni0007,18,道格
PCNPC_uni0008,18,依盧弗
PCNPC_uni0009,18,波杰‧羅伍茲
PCNPC_uni0010,18,佛格‧克里斯托夫
PCNPC_uni0011,18,艾爾瑪
PCNPC_uni0012,18,琳
PCNPC_uni0013,18,賽莉卡
PCNPC_uni0014,18,伊莉娜
PCNPC_uni0015,18,瑪朵雷斯
PCNPC_uni0016,18,雅克瑟娜
PCNPC_uni0017,18,姬芽里‧亞蘭吉
PCNPC_uni0018,18,米雅
PCNPC_uni3912,18,琳
SNPC_uni0021,18,范戴姆
SNPC_uni0022,18,莫里斯
SNPC_uni0023,18,洛克
SNPC_uni0061,18,路克札爾
SNPC_uni0062,18,迦‧戴魯古
SNPC_uni0063,18,迦‧波巫
SNPC_uni0064,18,凱緹雅
SNPC_uni0065,18,達岡
SNPC_uni0066,18,莉茲
SNPC_uni0090,18,塔茲
nm_uni0101,18,亞迪貝爾特
nm_uni0102,18,艾力克斯
nm_uni0103,18,維爾格
nm_uni0104,18,卡爾
nm_uni0105,18,葛斯
nm_uni0106,18,葛多
nm_uni0107,18,坎伯
nm_uni0108,18,昆西
nm_uni0109,18,克里斯多福
nm_uni0111,18,肯特‧D‧卡
nm_uni0112,18,寇隆達斯
nm_uni0113,18,傑佛瑞
nm_uni0114,18,傑洛姆
nm_uni0115,18,吉姆
nm_uni0116,18,賈斯汀
nm_uni0117,18,喬特
nm_uni0118,18,瓦爾特
nm_uni0119,18,迪爾克
nm_uni0121,18,哈維
nm_uni0122,18,鮑爾
nm_uni0123,18,霍華德
nm_uni0124,18,皮爾斯
nm_uni0125,18,彼特
nm_uni0126,18,洛
nm_uni0127,18,弗斯戴克
nm_uni0128,18,布利古茲
nm_uni0129,18,貝茲
nm_uni0130,18,荷馬
nm_uni0131,18,多爾頓
nm_uni0132,18,馬克西姆
nm_uni0133,18,莫亞豪斯
nm_uni0134,18,馬修
nm_uni0135,18,戴爾‧吉朋
nm_uni0136,18,雷洛伊
nm_uni0137,18,葛拉漢
nm_uni0138,18,特雷弗
nm_uni0139,18,羅斯寇
nm_uni0140,18,羅伯特
nm_uni0141,18,血紅龍蝦
nm_uni0142,18,涅桑
nm_uni0143,18,康納
nm_uni0144,18,亮
nm_uni0145,18,基斯
nm_uni0146,18,財田
nm_uni0147,18,真吾
nm_uni0148,18,弗里茲
nm_uni0149,18,馬庫斯
nm_uni0150,18,蒙多
nm_uni0151,18,拉拉‧那拉
nm_uni0152,18,王
nm_uni0153,18,雷特里克
nm_uni0154,18,磯部
nm_uni0155,18,凱西斯
nm_uni0156,18,奧利弗
nm_uni0157,18,達特
nm_uni0158,18,比茲
nm_uni0159,18,查爾茲
nm_uni0160,18,貝爾納特
nm_uni0161,18,伊昂
nm_uni0162,18,吉喬
nm_uni0163,18,克萊蒙茲
nm_uni0164,18,雷吉
nm_uni0165,18,奇亞斯‧柯爾
nm_uni0166,18,利布羅‧柯爾
nm_uni0167,18,米特斯
nm_uni0168,18,昆汀
nm_uni0169,18,索蘭
nm_uni0170,18,歐普斯
nm_uni0171,18,馬丁
nm_uni0172,18,維爾格
nm_uni0173,18,艾利歐
nm_uni0174,18,利維亞
nm_uni0175,18,奧瑪里
nm_uni0176,18,托馬斯
nm_uni0177,18,歐頓
nm_uni0178,18,亞蘭
nm_uni0179,18,亞多法斯
nm_uni0180,18,莫亞
nm_uni0181,18,雨果
nm_uni0182,18,賽多利克
nm_uni0183,18,拜倫
nm_uni0184,18,托比亞斯
nm_uni0185,18,亞德利
nm_uni0186,18,梅茲
nm_uni0187,18,泰勒
nm_uni0188,18,沃爾夫
nm_uni0189,18,亞德利
nm_uni0190,18,約瑟夫
nm_uni0191,18,遠雷
nm_uni0192,18,拉拉‧梅拉
nm_uni0201,18,亞裘厄
nm_uni0202,18,艾利爾‧賽拉
nm_uni0203,18,艾莉絲
nm_uni0204,18,安娜
nm_uni0205,18,伊萊莎
nm_uni0206,18,維多利亞
nm_uni0207,18,格蕾特
nm_uni0208,18,莎羅娜
nm_uni0209,18,吉娜
nm_uni0211,18,希絲卡
nm_uni0212,18,艾比
nm_uni0213,18,戴娜
nm_uni0214,18,緹卡
nm_uni0215,18,翠西
nm_uni0216,18,菲娜
nm_uni0217,18,弗雷西
nm_uni0218,18,貝拉
nm_uni0219,18,貝嘉莫特
nm_uni0221,18,艾瑞莎
nm_uni0222,18,卡斯提
nm_uni0223,18,萊莎
nm_uni0224,18,菈緹
nm_uni0225,18,拉莉
nm_uni0226,18,莉維亞娜
nm_uni0227,18,露西
nm_uni0228,18,尤利烏斯
nm_uni0229,18,蘿茲爾
nm_uni0230,18,莫妮卡
nm_uni0231,18,史黛拉
nm_uni0232,18,蘿絲
nm_uni0233,18,雪莉
nm_uni0234,18,保琳
nm_uni0235,18,貝利
nm_uni0236,18,克因斯
nm_uni0237,18,夏洛特
nm_uni0238,18,
nm_uni0239,18,
nm_uni0240,18,瑟芙莉
nm_uni0241,18,凱洛琳
nm_uni0242,18,派西
nm_uni0243,18,溫蒂
nm_uni0244,18,派帕
nm_uni0245,18,喬伊
nm_uni0246,18,露西亞
nm_uni0247,18,薩瑪尼亞
nm_uni0248,18,卡蜜拉
nm_uni0249,18,沙利文
nm_uni0250,18,鳴
nm_uni0251,18,神的化身
nm_uni0252,18,娜坦莎
nm_uni0253,18,埃萊奧諾拉
nm_uni0254,18,克拉麗莎
nm_uni0255,18,艾達
nm_uni0256,18,奧爾尼拉
nm_uni0257,18,米卡
nm_uni0258,18,約蘭達
nm_uni0259,18,艾利歐
nm_uni0260,18,利維亞
nm_uni0261,18,桃樂絲
nm_uni0262,18,奈利
nm_uni0263,18,瑪朵拉
nm_uni0264,18,布蕾娜
nm_uni0265,18,雷吉娜
nm_uni0266,18,莎蒂
nm_uni0267,18,
nm_uni0268,18,
nm_uni0269,18,梅格
nm_uni0270,18,斐爾
nm_uni0271,18,斯里埃拉
nm_uni0272,18,米莉
nm_uni0273,18,斐爾
nm_uni0301,18,阿克亞爾
nm_uni0302,18,亞勒
nm_uni0303,18,范文
nm_uni0304,18,吉德依
nm_uni0305,18,吉林波
nm_uni0306,18,斯塔卡塔
nm_uni0307,18,茲拉尼奇
nm_uni0308,18,索斯特納沙
nm_uni0309,18,達澤貝諾
nm_uni0311,18,諾柏拉塔
nm_uni0312,18,弗吉姆亞
nm_uni0313,18,米卡爾
nm_uni0314,18,魯路丘
nm_uni0315,18,奇歐皮塔斯
nm_uni0316,18,阿葛聶巴
nm_uni0317,18,
nm_uni0318,18,
nm_uni0319,18,傑杰瓦
nm_uni0320,18,
nm_uni0321,18,費芬
nm_uni0322,18,路坦坦
nm_uni0323,18,圖圖拉
nm_uni0324,18,佳佳尼
nm_uni0325,18,傑謝洛
nm_uni0326,18,喬喬恩
nm_uni0327,18,畢哈瓦
nm_uni0328,18,亞達賓
nm_uni0351,18,亞亞利斯
nm_uni0352,18,伊尼薩耶
nm_uni0353,18,維卡耶
nm_uni0354,18,加普西卡
nm_uni0355,18,尼洛普
nm_uni0356,18,諾可切
nm_uni0357,18,帕納魯
nm_uni0358,18,碧彭努
nm_uni0359,18,貝貝爾塔
nm_uni0360,18,瑪魯特圖
nm_uni0361,18,悠悠
nm_uni0362,18,奇夸特
nm_uni0363,18,
nm_uni0364,18,香緹
nm_uni0365,18,邱皮耶塔
nm_uni0366,18,梅梅
nm_uni0367,18,薇露薩露
nm_uni0368,18,赫拉多茲
nm_uni0401,18,亞爾多‧巴魯加扎
nm_uni0402,18,烏佐瑪‧瓦沙克
nm_uni0403,18,歐切‧烏爾芬
nm_uni0404,18,奧爾‧巴狄雷歐
nm_uni0405,18,翁多‧維爾蓋波
nm_uni0406,18,
nm_uni0407,18,卡爾巴‧瓦沙克
nm_uni0408,18,沙吉夫‧斯可皮歐
nm_uni0409,18,薩哈‧柯凱特
nm_uni0410,18,瑟維‧巴魯加扎
nm_uni0411,18,托爾瓦‧烏爾芬
nm_uni0412,18,納烏佐‧斯涅奇
nm_uni0413,18,尼姆‧特頓
nm_uni0414,18,涅瑪多‧烏爾芬
nm_uni0415,18,巴吉斯‧烏爾芬
nm_uni0416,18,比歐‧貝加
nm_uni0417,18,
nm_uni0418,18,拉達‧巴狄雷歐
nm_uni0419,18,里波拉‧亞吉
nm_uni0420,18,羅達‧格利多
nm_uni0421,18,
nm_uni0422,18,亞茲德‧泰岡特
nm_uni0423,18,
nm_uni0424,18,
nm_uni0425,18,
nm_uni0426,18,庫耶格‧澤布加拉
nm_uni0451,18,恩尼亞納‧斯碧卡
nm_uni0452,18,希利亞‧薩爾貝加斯
nm_uni0453,18,提亞‧比拉茲
nm_uni0454,18,杜那‧巴狄雷歐
nm_uni0455,18,莉亞娜‧巴狄雷歐
nm_uni0456,18,娜茲‧特尼卡蒙奇
nm_uni0457,18,帕庫‧克多西
nm_uni0458,18,赫普塔納‧羅格爾
nm_uni0459,18,海倫‧格利多
nm_uni0460,18,拉比娜‧庫佩
nm_uni0461,18,提亞‧格爾卡斯
nm_uni0462,18,亨娜‧赫斯塔拉
nm_uni0463,18,佩亞‧司洛斯
nm_uni0464,18,海克絲娜‧尼布拉
nm_uni0465,18,
nm_uni0526,18,蘇拉布提‧佩加斯
nm_uni0527,18,多利葛‧邦波德
nm_uni0551,18,瓦那那
nm_uni0552,18,托拉
nm_uni0553,18,可波波
nm_uni0554,18,扎扎詹
nm_uni0555,18,奇可奇可
nm_uni0556,18,恰恰
nm_uni0557,18,托托恩
nm_uni0558,18,尼彭彭
nm_uni0559,18,奴彭彭
nm_uni0560,18,奴恩
nm_uni0561,18,諾彭彭
nm_uni0562,18,布布
nm_uni0563,18,波達波達
nm_uni0564,18,帕特帕特
nm_uni0565,18,姆伊姆伊
nm_uni0566,18,莫伊莫伊
nm_uni0567,18,隆隆
nm_uni0568,18,瓦洛洛
nm_uni0569,18,恩勾勾
nm_uni0570,18,尼歐
nm_uni0571,18,賈洛洛
nm_uni0572,18,恩托托
nm_uni0573,18,洛瑪
nm_uni0574,18,米爾米爾
nm_uni0575,18,庫達
nm_uni0576,18,基茲
nm_uni0577,18,沙茲
nm_uni0578,18,岡茲
nm_uni0579,18,茲姆吉
nm_uni0580,18,穆穆恩
nm_uni0581,18,莫古古
nm_uni0582,18,波拉波拉
nm_uni0601,18,庫比
nm_uni0602,18,欣欣
nm_uni0603,18,娜魯
nm_uni0604,18,奇洛奇洛
nm_uni0605,18,納彭彭
nm_uni0606,18,皮拉皮拉
nm_uni0607,18,皮薩
nm_uni0608,18,赫娜赫娜
nm_uni0609,18,路莉莉塔
nm_uni0611,18,加加
nm_uni0612,18,瓦拉瓦
nm_uni0613,18,波波
nm_uni0614,18,瑪瑪娜
nm_uni0615,18,拉納
nm_uni0616,18,
nm_uni0617,18,
nm_uni0618,18,普拉拉
nm_uni0619,18,諾斯斯
nm_uni0620,18,悠悠茲
nm_uni0621,18,木茲茲
nm_uni0622,18,諾斯斯
nm_uni0623,18,諾斯斯
nm_uni0624,18,娜娜
nm_uni0651,18,基‧藏格
nm_uni0652,18,基‧佐爾迪
nm_uni0653,18,基‧佐爾德
nm_uni0654,18,基‧納吉利
nm_uni0655,18,基‧諾岡
nm_uni0656,18,葛‧貝爾格
nm_uni0657,18,葛‧洛岡
nm_uni0658,18,佐‧吉納提
nm_uni0659,18,達‧宙雷帕
nm_uni0660,18,達‧納格提
nm_uni0661,18,德‧艾基庫
nm_uni0662,18,德‧薩宗
nm_uni0663,18,德‧勁格
nm_uni0664,18,尼‧岡貝
nm_uni0665,18,尼‧勁加
nm_uni0666,18,佐‧蘭卡
nm_uni0667,18,尼‧札因
nm_uni0668,18,佐‧歐茲齊
nm_uni0669,18,佐‧蓋爾
nm_uni0681,18,蓋‧吉尤
nm_uni0682,18,
