label {9},style {2},name {7}
JB0001_1,20,NLA Defense Secretary
JB0002_1,20,Wanderer
JB0003_1,20,BLADE
JB0004_1,20,BLADE
JB0005_1,20,BLADE
JB0006_1,20,BLADE
JB0007_1,20,BLADE
JB0008_1,20,BLADE
JB0009_1,20,BLADE
JB0010_1,20,BLADE
JB0011_1,20,BLADE
JB0012_1,20,BLADE
JB0013_1,20,BLADE
JB0014_1,20,BLADE
JB0015_1,20,BLADE
JB0016_1,20,BLADE
JB0017_1,20,BLADE
JB0018_1,20,BLADE
JB0019_1,20,
JB0020_1,20,
JB0021_1,20,BLADE Commander
JB0022_1,20,NLA Director General
JB0023_1,20,Unemployed
JB0023_2,20,Service Personnel
JB0024_1,20,NLA Defense Secretary
JB0025_1,20,Xenoform Girl
JB0026_1,20,Mechanic
JB0027_1,20,
JB0028_1,20,
JB0029_1,20,
JB0030_1,20,Adventurer
JB0031_1,20,
JB0033_1,20,
JB0034_1,20,
JB0035_1,20,
JB0036_1,20,
JB0037_1,20,
JB0038_1,20,
JB0039_1,20,
JB0040_1,20,
JB0041_1,20,
JB0042_1,20,
JB0043_1,20,
JB0044_1,20,
JB0045_1,20,
JB0046_1,20,
JB0047_1,20,
JB0062_1,20,Mercenary Warlord
JB0063_1,20,Jiarg's Right Hand
JB0090_1,20,Food?
JB0090_2,20,Lin's Friend
JB0101_1,20,BLADE
JB0102_1,20,BLADE
JB0103_1,20,CEO
JB0103_2,20,
JB0104_1,20,BLADE
JB0105_1,20,BLADE
JB0106_1,20,BLADE
JB0107_1,20,BLADE
JB0108_1,20,BLADE
JB0109_1,20,BLADE
JB0111_1,20,Engineer
JB0112_1,20,BLADE
JB0113_1,20,Researcher
JB0114_1,20,BLADE
JB0115_1,20,BLADE
JB0116_1,20,BLADE
JB0116_2,20,The Blood Lobster
JB0117_1,20,BLADE
JB0118_1,20,BLADE
JB0119_1,20,BLADE
JB0119_2,20,Unemployed
JB0121_1,20,BLADE
JB0122_1,20,Pizza Shop Owner
JB0123_1,20,BLADE
JB0124_1,20,BLADE
JB0125_1,20,BLADE
JB0126_1,20,BLADE
JB0127_1,20,Poet
JB0127_2,20,Ex-BLADE
JB0127_3,20,Thief
JB0128_1,20,Ex-BLADE
JB0128_2,20,Thief
JB0128_3,20,
JB0129_1,20,BLADE
JB0130_1,20,Engineer
JB0131_1,20,Engineer
JB0132_1,20,Salesperson
JB0133_1,20,Ex-BLADE
JB0133_2,20,Thief
JB0134_1,20,Mechanic
JB0135_1,20,Killer
JB0136_1,20,BLADE
JB0137_1,20,Buyer
JB0138_1,20,BLADE
JB0139_1,20,BLADE
JB0140_1,20,BLADE
JB0141_1,20,The Blood Lobster
JB0142_1,20,BLADE
JB0143_1,20,BLADE
JB0144_1,20,Service Personnel
JB0145_1,20,Foreman
JB0146_1,20,BLADE
JB0147_1,20,BLADE
JB0148_1,20,Businessman
JB0149_1,20,BLADE
JB0150_1,20,BLADE
JB0151_1,20,BLADE
JB0152_1,20,BLADE
JB0153_1,20,Cathedral Overseer
JB0154_1,20,Engineer
JB0155_1,20,Company Employee
JB0156_1,20,Engineer
JB0157_1,20,BLADE
JB0158_1,20,BLADE
JB0159_1,20,Office Worker
JB0160_1,20,Service Personnel
JB0161_1,20,Researcher
JB0162_1,20,BLADE
JB0163_1,20,BLADE
JB0164_1,20,BLADE
JB0165_1,20,BLADE
JB0166_1,20,BLADE
JB0167_1,20,BLADE
JB0168_1,20,Engineer
JB0169_1,20,Engineer
JB0170_1,20,BLADE
JB0171_1,20,BLADE
JB0172_1,20,BLADE
JB0173_1,20,Temporary Guise
JB0174_1,20,Temporary Guise
JB0175_1,20,Craftsman
JB0176_1,20,BLADE
JB0177_1,20,BLADE
JB0178_1,20,Engineer
JB0179_1,20,Buyer
JB0180_1,20,Weapons Dealer
JB0181_1,20,Researcher
JB0182_1,20,Mechanic
JB0183_1,20,Mechanic
JB0184_1,20,BLADE
JB0185_1,20,Unemployed
JB0186_1,20,BLADE
JB0187_1,20,BLADE Personnel
JB0188_1,20,BLADE
JB0189_1,20,Crooked Businessman
JB0190_1,20,BLADE
JB0191_1,20,BLADE
JB0192_1,20,BLADE
JB0201_1,20,Researcher
JB0202_1,20,BLADE
JB0203_1,20,Activist
JB0204_1,20,BLADE
JB0205_1,20,Activist
JB0206_1,20,Planner
JB0207_1,20,BLADE
JB0208_1,20,BLADE
JB0209_1,20,Store Staff
JB0211_1,20,BLADE
JB0212_1,20,Buyer
JB0213_1,20,BLADE
JB0214_1,20,Engineer
JB0215_1,20,BLADE
JB0216_1,20,BLADE
JB0217_1,20,Cleric
JB0218_1,20,BLADE
JB0219_1,20,Café Manager
JB0221_1,20,Clothing Store Owner
JB0222_1,20,Operations Manager
JB0223_1,20,Waste-Disposal Head
JB0224_1,20,Café Employee
JB0224_2,20,Ballista Barista
JB0225_1,20,BLADE
JB0226_1,20,Clothing Store Owner
JB0227_1,20,Engineer
JB0228_1,20,BLADE Officer
JB0229_1,20,BLADE
JB0230_1,20,BLADE
JB0231_1,20,BLADE Officer
JB0232_1,20,Researcher
JB0233_1,20,Office Worker
JB0234_1,20,Cook
JB0235_1,20,Company Employee
JB0236_1,20,Service Personnel
JB0237_1,20,Pizza Shop Employee
JB0238_1,20,
JB0239_1,20,
JB0240_1,20,Housekeeper
JB0241_1,20,Housekeeper
JB0242_1,20,NLA Government Employee
JB0243_1,20,Housekeeper
JB0244_1,20,Secretary
JB0244_2,20,CEO
JB0245_1,20,Counselor
JB0246_1,20,Engineer
JB0247_1,20,Service Personnel
JB0248_1,20,Pizza Shop Employee
JB0249_1,20,Researcher
JB0250_1,20,BLADE
JB0251_1,20,"""Avatar of God"""
JB0252_1,20,BLADE
JB0253_1,20,BLADE Officer
JB0254_1,20,BLADE
JB0255_1,20,BLADE
JB0256_1,20,Hope's Assistant
JB0257_1,20,BLADE
JB0258_1,20,BLADE
JB0259_1,20,Temporary Guise
JB0260_1,20,Temporary Guise
JB0261_1,20,Clothing Store Employee
JB0262_1,20,BLADE
JB0262_2,20,BLADE/Fisherman
JB0263_1,20,BLADE
JB0264_1,20,Engineer
JB0265_1,20,Street Vendor
JB0265_2,20,Job Seeker
JB0266_1,20,Mechanic
JB0267_1,20,
JB0268_1,20,
JB0269_1,20,Pastry Chef
JB0270_1,20,Designer
JB0271_1,20,BLADE
JB0272_1,20,BLADE
JB0301_1,20,BLADE
JB0302_1,20,Engineer
JB0303_1,20,Engineer
JB0304_1,20,Engineer
JB0305_1,20,Engineer
JB0305_2,20,Doctor-in-Training
JB0306_1,20,Doctor
JB0307_1,20,Engineer
JB0308_1,20,Engineer
JB0309_1,20,Technical Consultant
JB0311_1,20,Unemployed
JB0311_2,20,BLADE (to be)
JB0312_1,20,Engineer
JB0313_1,20,Foodie
JB0314_1,20,Repairman
JB0315_1,20,Engineer
JB0316_1,20,Engineer
JB0317_1,20,
JB0318_1,20,
JB0319_1,20,Researcher
JB0321_1,20,Engineer
JB0322_1,20,Senior Engineer
JB0323_1,20,Merchant
JB0324_1,20,Chief Engineer
JB0325_1,20,Engineer
JB0326_1,20,L's Shop Staff
JB0327_1,20,Unofficial Security
JB0328_1,20,Unemployed
JB0328_2,20,Representative Candidate
JB0328_3,20,Unemployed
JB0351_1,20,Engineer
JB0352_1,20,Collector
JB0353_1,20,Architect
JB0354_1,20,Unemployed
JB0355_1,20,Engineer
JB0356_1,20,Unemployed
JB0357_1,20,Engineer
JB0357_2,20,Fashion Coordinator
JB0358_1,20,Engineer
JB0359_1,20,Unemployed
JB0359_2,20,Free Thinker
JB0360_1,20,Cleric
JB0361_1,20,Sorter
JB0362_1,20,Service Personnel
JB0363_1,20,
JB0364_1,20,Foodie
JB0365_1,20,Service Personnel
JB0366_1,20,CEO
JB0367_1,20,Rich Girl
JB0368_1,20,Engineer
JB0401_1,20,Former Chieftain
JB0402_1,20,Warrior
JB0403_1,20,Warrior
JB0404_1,20,Warrior
JB0405_1,20,Warrior
JB0406_1,20,
JB0407_1,20,Former Warrior
JB0408_1,20,Strategist
JB0409_1,20,Beast Whisperer
JB0410_1,20,Chief
JB0411_1,20,Warrior
JB0411_2,20,Eager Apprentice
JB0412_1,20,Integrated-Plant Worker
JB0413_1,20,Storyteller
JB0414_1,20,Warrior
JB0415_1,20,Warrior
JB0416_1,20,Warrior
JB0417_1,20,
JB0418_1,20,Warrior
JB0419_1,20,Warrior
JB0420_1,20,Warrior
JB0421_1,20,
JB0422_1,20,Warrior
JB0423_1,20,
JB0424_1,20,
JB0425_1,20,
JB0426_1,20,Warrior
JB0451_1,20,Potential Bride
JB0451_2,20,Nemard's Wife
JB0452_1,20,Beast Whisperer
JB0453_1,20,Dancer
JB0454_1,20,Single Woman
JB0455_1,20,Self-Proclaimed Adventurer
JB0456_1,20,Gatekeeper
JB0456_2,20,Protector of the Great Tree
JB0457_1,20,Street Vendor
JB0458_1,20,Hunter
JB0458_2,20,Nemard's Wife
JB0459_1,20,Housewife
JB0460_1,20,Home Helper
JB0461_1,20,Dancer
JB0462_1,20,Bazis's Daughter
JB0463_1,20,Dancer
JB0464_1,20,Bazis's Wife
JB0465_1,20,
JB0526_1,20,Team Slovity Captain
JB0527_1,20,Team Slovity Lieutenant
JB0551_1,20,Merchant
JB0552_1,20,Merchant-in-Training
JB0552_2,20,Merchant (Finally)
JB0553_1,20,Candidate
JB0553_2,20,Xenoform Representative
JB0553_3,20,Former Candidate
JB0554_1,20,Merchant
JB0555_1,20,Merchant
JB0556_1,20,Informant
JB0557_1,20,Merchant
JB0558_1,20,Spirit
JB0559_1,20,Spirit
JB0560_1,20,Elder
JB0561_1,20,Spirit
JB0562_1,20,Merchant
JB0563_1,20,Merchant
JB0564_1,20,Caravan Leader
JB0564_2,20,Elder-in-Training
JB0565_1,20,BLADE
JB0566_1,20,BLADE
JB0567_1,20,Merchant
JB0568_1,20,Servant
JB0569_1,20,Elder's Aide
JB0570_1,20,Merchant
JB0571_1,20,Merchant
JB0572_1,20,Merchant
JB0573_1,20,Elder's Aide
JB0574_1,20,Merchant
JB0575_1,20,Merchant
JB0576_1,20,Koko's Son
JB0577_1,20,Koko's Son
JB0578_1,20,Koko's Son
JB0579_1,20,Caravan Leader
JB0580_1,20,Merchant
JB0581_1,20,Philosophical Foodie
JB0582_1,20,Wanderer
JB0601_1,20,Caravan Leader
JB0602_1,20,Storyteller
JB0603_1,20,Merchant
JB0604_1,20,Merchant
JB0605_1,20,Spirit
JB0606_1,20,Merchant
JB0607_1,20,Caravan Leader's Aide
JB0607_2,20,Caravan Leader
JB0607_3,20,Free Spirit
JB0608_1,20,Unemployed
JB0609_1,20,Sentry
JB0611_1,20,Caravan Leader
JB0612_1,20,Aristocrat
JB0613_1,20,Aristocrat
JB0614_1,20,Merchant
JB0615_1,20,Merchant
JB0616_1,20,
JB0617_1,20,
JB0618_1,20,Merchant
JB0619_1,20,Merchant
JB0620_1,20,Koko's Daughter
JB0621_1,20,Koko's Daughter
JB0622_1,20,Merchant
JB0623_1,20,Merchant
JB0624_1,20,Merchant
JB0651_1,20,Hundred Hellion
JB0652_1,20,Warrior
JB0653_1,20,Warrior
JB0654_1,20,Blacksmith-in-Training
JB0655_1,20,Warrior
JB0656_1,20,Warrior
JB0657_1,20,Commanding Officer
JB0658_1,20,Commanding Officer
JB0659_1,20,Warrior
JB0660_1,20,Warrior
JB0661_1,20,Warrior
JB0661_2,20,Libertine
JB0662_1,20,Warrior
JB0663_1,20,Blacksmith
JB0664_1,20,Warrior
JB0665_1,20,Warrior
JB0666_1,20,Warrior
JB0667_1,20,Warrior
JB0667_2,20,Chef-in-Training
JB0668_1,20,Mystery Martial-Arts Master
JB0668_2,20,Former Gauntlet Champ
JB0669_1,20,Platoon Leader
JB0681_1,20,Warrior
JB0682_1,20,
JB0683_1,20,Warrior
JB0684_1,20,Warrior
JB0684_2,20,Liaison
JB0685_1,20,Warrior
JB0686_1,20,Warrior
JB0687_1,20,Artisan
JB0688_1,20,Spy
JB0689_1,20,Spy
JB0690_1,20,Engineer
JB0711_1,20,Engineer
JB0712_1,20,Unemployed
JB0713_1,20,Biologist
JB0714_1,20,Engineer
JB0715_1,20,Unemployed
JB0716_1,20,Unemployed
JB0716_2,20,Senirapa Water Producer
JB0717_1,20,Researcher
JB0719_1,20,Researcher
JB0721_1,20,Researcher
JB0722_1,20,Unemployed
JB0722_2,20,Anti-Ovah Revolution Leader
JB0723_1,20,Unemployed
JB0723_2,20,Cook
JB0724_1,20,BLADE
JB0725_1,20,Researcher
JB0726_1,20,Orphean Tech. Director
JB0727_1,20,Researcher
JB0728_1,20,Botanist
JB0729_1,20,Engineer
JB0730_1,20,Administrative Aide
JB0730_2,20,Xenoform Representative
JB0731_1,20,Researcher
JB0732_1,20,Engineer
JB0733_1,20,Engineer
JB0734_1,20,Researcher
JB0741_1,20,Engineer
JB0742_1,20,Researcher
JB0743_1,20,
JB0744_1,20,Researcher
JB0751_1,20,Assassin
JB0752_1,20,Assassin
JB0753_1,20,Assassin
JB0754_1,20,
JB0755_1,20,Assassin
JB0755_2,20,Former Assassin
JB0756_1,20,Assassin
JB0757_1,20,Assassin
JB0758_1,20,Assassin
JB0759_1,20,Assassin
JB0760_1,20,Assassin
JB0761_1,20,Assassin
JB0762_1,20,Assassin
JB0763_1,20,Assassin
JB0764_1,20,Assassin
JB0765_1,20,Assassin
JB0766_1,20,
JB0781_1,20,Voltant Processor
JB0782_1,20,Voltant Processor
JB0783_1,20,Unemployed
JB0783_2,20,Director of Planning Elect
JB0783_3,20,Voltant Hunter
JB0784_1,20,Physicist
JB0785_1,20,Engineer
JB0786_1,20,Voltant Collector
JB0786_2,20,
JB0787_1,20,Voltant Processor
JB0788_1,20,Director of Planning
JB0789_1,20,Biologist
JB0790_1,20,Voltant Processor
JB0791_1,20,Theologian
JB0792_1,20,Voltant Processor
JB0793_1,20,Voltant Manager
JB0904_1,20,BLADE
JB0905_1,20,BLADE
JB0906_1,20,Assassin
JB0914_1,20,Mechanic
JB1009_1,20,Inventor
JB1012_1,20,Definian Mother
JB1013_1,20,Definian Mother
OL0001_1,73,"The former captain of the White Whale who now
oversees New LA's provisional government."
OL0001_2,73,
OL0002_1,73,"A native of Mira whose whimsical manner of speech
befits his folksy personality."
OL0002_2,73,"A native of Mira. Opening a stall in New LA marked
the start of a fresh and exciting city life."
OL0003_1,73,"A Pathfinder and fantastic marksman who leads
Team Belisarda."
OL0003_2,73,Whereabouts currently unknown.
OL0004_1,73,"A Pathfinder and exceedingly logical man who is armed
with untiring ambition and scholarly acumen."
OL0004_2,73,
OL0005_1,73,"An Interceptor and member of Team Irina, Gwin is an
honest man with an unshakable sense of justice."
OL0005_2,73,
OL0006_1,73,"Though this Interceptor loves knocking back drinks,
his courage has earned him the name ""Killer Ostrich."""
OL0006_2,73,
