label {9},style {2},name {7}
RL0001_1,18,There's a new face...
RL0001_2,18,He's just a rook
RL0001_3,18,Glad he's still alive
RL0001_4,18,
RL0001_5,18,
RL0001_6,18,A Pathfinder at last!
RL0001_7,18,In mourning
RL0002_1,18,"O captain, my captain!"
RL0002_2,18,Owes a debt
RL0002_3,18,
RL0002_4,18,Joined because of him
RL0002_5,18,
RL0002_6,18,Won his approval?
RL0002_7,18,Joined because of him
RL0003_1,18,His second-in-command
RL0003_2,18,
RL0003_3,18,
RL0003_4,18,
RL0003_5,18,
RL0003_6,18,She loves the team
RL0003_7,18,
RL0004_1,18,Captain
RL0004_2,18,Wants to save him
RL0004_3,18,
RL0004_4,18,
RL0004_5,18,
RL0004_6,18,Will rebuild together
RL0004_7,18,Feeling sorrow
RL0005_1,18,A team member
RL0005_2,18,
RL0005_3,18,
RL0005_4,18,
RL0005_5,18,
RL0005_6,18,A seed of curiosity...
RL0005_7,18,
RL0006_1,18,The legendary adventurer!
RL0006_2,18,
RL0006_3,18,
RL0006_4,18,
RL0006_5,18,
RL0006_6,18,I can't allow him to die!
RL0006_7,18,Will never forget
RL0007_1,18,That weird Skell...
RL0007_2,18,
RL0007_3,18,
RL0007_4,18,
RL0007_5,18,
RL0007_6,18,Damn you!
RL0007_7,18,She will pay!
RL0008_1,18,
RL0008_2,18,
RL0008_3,18,
RL0008_4,18,
RL0008_5,18,
RL0008_6,18,Intruder!
RL0008_7,18,Little insect
RL0009_1,18,Just a rook
RL0009_2,18,
RL0009_3,18,
RL0009_4,18,
RL0009_5,18,
RL0009_6,18,Glad he's okay
RL0009_7,18,A tragedy
RL0010_1,18,Wants to be recognized
RL0010_2,18,Owes a debt
RL0010_3,18,
RL0010_4,18,
RL0010_5,18,
RL0010_6,18,A rook no more!
RL0010_7,18,
RL0011_1,18,Just a rook
RL0011_2,18,
RL0011_3,18,
RL0011_4,18,
RL0011_5,18,
RL0011_6,18,Just a rook
RL0011_7,18,He regrets nothing
RL0012_1,18,Calls for help
RL0012_2,18,
RL0012_3,18,
RL0012_4,18,
RL0012_5,18,
RL0012_6,18,Must prove himself
RL0012_7,18,
RL0013_1,18,
RL0013_2,18,
RL0013_3,18,
RL0013_4,18,
RL0013_5,18,
RL0013_6,18,Such a worrier...
RL0013_7,18,
RL0014_1,18,
RL0014_2,18,
RL0014_3,18,
RL0014_4,18,
RL0014_5,18,
RL0014_6,18,
RL0014_7,18,
RL0015_1,18,
RL0015_2,18,
RL0015_3,18,
RL0015_4,18,
RL0015_5,18,
RL0015_6,18,Does she hate us?
RL0015_7,18,
RL0016_1,18,Such an analyst
RL0016_2,18,
RL0016_3,18,
RL0016_4,18,
RL0016_5,18,
RL0016_6,18,Hugs incoming!
RL0016_7,18,
RL0017_1,18,A tough act to follow
RL0017_2,18,
RL0017_3,18,
RL0017_4,18,
RL0017_5,18,
RL0017_6,18,Thanks!
RL0017_7,18,
RL0018_1,18,Friend
RL0018_2,18,
RL0018_3,18,
RL0018_4,18,
RL0018_5,18,
RL0018_6,18,He came home safe...
RL0018_7,18,
RL0019_1,18,
RL0019_2,18,
RL0019_3,18,
RL0019_4,18,
RL0019_5,18,
RL0019_6,18,He helped rescue me
RL0019_7,18,
RL0020_1,18,Friend
RL0020_2,18,
RL0020_3,18,
RL0020_4,18,
RL0020_5,18,
RL0020_6,18,He came home safe...
RL0020_7,18,
RL0021_1,18,Son
RL0021_2,18,
RL0021_3,18,
RL0021_4,18,
RL0021_5,18,
RL0021_6,18,He came home safe...
RL0021_7,18,No time to mourn now
RL0022_1,18,Father
RL0022_2,18,Proved the Tree Clan's will
RL0022_3,18,
RL0022_4,18,
RL0022_5,18,
RL0022_6,18,He helped rescue me
RL0022_7,18,Proved the Tree Clan's will
RL0023_1,18,Brother
RL0023_2,18,
RL0023_3,18,
RL0023_4,18,
RL0023_5,18,
RL0023_6,18,Such bravery...
RL0023_7,18,
RL0024_1,18,
RL0024_2,18,
RL0024_3,18,
RL0024_4,18,
RL0024_5,18,
RL0024_6,18,Brother
RL0024_7,18,
RL0025_1,18,Wants to help
RL0025_2,18,Wants to comfort
RL0025_3,18,
RL0025_4,18,
RL0025_5,18,
RL0025_6,18,
RL0025_7,18,
RL0026_1,18,Feels bad
RL0026_2,18,Can no longer dance
RL0026_3,18,
RL0026_4,18,
RL0026_5,18,
RL0026_6,18,
RL0026_7,18,
RL0027_1,18,
RL0027_2,18,Wants to comfort
RL0027_3,18,
RL0027_4,18,
RL0027_5,18,
RL0027_6,18,Happy to see her dancing
RL0027_7,18,
RL0028_1,18,
RL0028_2,18,Can no longer dance
