resource {2},Action {7},PathMot {7},PathChr {7},Effect {7},ClipEvent {7},CES_EFFECT {7},CES_SOUND {7},SND_PACK {7},SeEnv {2},ProxyID {2},unionID {7},family {1},sex {1},age {2},job1 {2},job2 {2},job3 {2},job4 {2},outline1 {2},outline2 {2},outline3 {2},outline4 {2},outline5 {2},outline6 {2},outline7 {2},group {2},UI {2},NPCType {1},name {2},TypeFamily {1},UnionSet {1},facial {2},Flag [talk] {1},Flag [map] {1}
1,np0111,pc181000,pc010000,,pc181000,effect_pc181000,sound_pc181000,,9,115,uni0001,1,1,57,1,0,0,0,485,0,0,0,0,0,0,10,1573,0,1,0,0,4,1,1
2,np0111,pc182000,pc010000,,pc182000,effect_pc182000,sound_pc182000,,9,129,uni0002,16,1,65535,2,0,0,0,487,488,0,0,0,0,0,9,1574,0,2,0,0,2,1,1
3,np0111,pc183001,pc010000,,pc183000,effect_pc183000,sound_pc183000,,9,115,uni0003,1,1,31,3,0,0,0,489,490,0,0,0,0,0,16,1575,0,3,0,1,3,1,1
4,np0111,pc184000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,115,uni0004,1,1,28,4,0,0,0,491,0,0,0,0,0,0,11,1576,0,4,0,1,6,1,1
5,np0111,pc185000,pc010000,,pc185000,effect_pc185000,sound_pc185000,,9,115,uni0005,1,1,24,5,0,0,0,493,0,0,0,0,0,0,17,1577,0,5,0,2,1,1,1
6,np0111,pc186000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,116,uni0006,1,1,30,6,0,0,0,495,0,0,0,0,0,0,2,1578,0,6,0,2,6,1,1
7,np0111,pc187000,pc010000,,pc187000,effect_pc187000,sound_pc187000,,9,116,uni0007,1,1,30,7,0,0,0,497,0,0,0,0,0,0,14,1579,0,7,0,3,7,1,1
8,np0111,pc188000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,116,uni0008,1,1,22,8,0,0,0,499,500,0,0,0,0,0,6,1580,0,8,0,4,6,1,1
9,np0111,pc189000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,115,uni0009,1,1,54,9,0,0,0,501,0,0,0,0,0,0,4,1581,0,9,0,3,6,1,1
10,np0111,pc190000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,116,uni0010,1,1,24,10,0,0,0,503,504,0,0,0,0,0,12,1582,0,10,0,6,6,1,1
11,np0111,pc281000,pc020000,,pc281000,effect_pc281000,sound_pc281000,,9,119,uni0011,1,2,29,11,0,0,0,505,506,0,0,0,0,0,1,1583,0,11,0,4,11,1,1
12,np0111,pc282001,pc282000,,pc282000,effect_pc282000,sound_pc282000,,9,118,uni0012,1,2,13,12,0,0,0,507,0,0,0,0,0,0,13,1584,0,12,0,7,12,1,1
13,np0111,pc283000,pc283000,,pc283000,effect_pc283000,sound_pc283000,,9,118,uni0013,12,2,18,13,0,0,0,509,0,0,0,0,0,0,18,1585,0,13,0,6,13,1,1
14,np0111,pc284000,pc020000,,pc284000,effect_pc284000,sound_pc284000,,9,119,uni0014,1,2,27,14,0,0,0,511,0,0,0,0,0,0,5,1586,0,14,0,2,14,1,1
