<DBEA0DF4> {9},<40307D1F> {2},<F59B6FEA> {7},<23797629> {7},<9EF7C876> {7},<ECFF4F2A> {7},<307BCFCE> {7},<AFF227E1> {7},<7AA41279> {7},<955D6460> {7},<EC2C6223> {2},<12BBD4BC> {2},<539B57F0> {7},<499A9A38> {1},<55819099> {1},<2AC68551> {2},<84D11062> {2},<57EA9F2B> {2},<B9BE158A> {2},<8EBCAFB4> {2},<8E9859A8> {2},<BB4BCAD6> {2},<DACB4DF2> {2},<97F347AA> {2},<CE330BDB> {2},<94FDC57E> {2},<05349E2C> {2},<3CDE1626> {2},<41A318B6> {2},<F5ED412D> {1},<DBAF43F0> {2},<F7E1FAB8> {1},<49BB23FB> {1},<5E421975> {2},<F0375EE4> {1},<3E6D2243> {1}
<BD22C2ED>,1,np0111,pc181000,pc010000,,pc181000,effect_pc181000,sound_pc181000,,9,115,uni0001,1,1,57,1,0,0,0,485,0,0,0,0,0,0,10,1628,0,1,0,9,4,1,1
<99EC71FF>,2,np0111,pc182000,pc010000,,pc182000,effect_pc182000,sound_pc182000,,9,129,uni0002,16,1,65535,2,0,0,0,487,488,0,0,0,0,0,9,1629,0,2,0,10,2,1,1
<82885CF0>,3,np0111,pc183001,pc010000,,pc183000,effect_pc183000,sound_pc183000,,9,115,uni0003,1,1,31,3,0,0,0,489,490,0,0,0,0,0,16,1630,0,3,0,1,3,1,1
<503C59E3>,4,np0111,pc184000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,115,uni0004,1,1,28,4,0,0,0,491,0,0,0,0,0,0,11,1631,0,4,0,1,6,1,1
<74018905>,5,np0111,pc185000,pc010000,,pc185000,effect_pc185000,sound_pc185000,,9,115,uni0005,1,1,24,5,0,0,0,493,0,0,0,0,0,0,17,1632,0,5,0,2,1,1,1
<BCA9257E>,6,np0111,pc186000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,116,uni0006,1,1,30,6,0,0,0,495,0,0,0,0,0,0,2,1633,0,6,0,2,6,1,1
<1FD46D2C>,7,np0111,pc187000,pc010000,,pc187000,effect_pc187000,sound_pc187000,,9,116,uni0007,1,1,30,7,0,0,0,497,0,0,0,0,0,0,14,1634,0,7,0,3,7,1,1
<4E615BF9>,8,np0111,pc188000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,116,uni0008,1,1,22,8,0,0,0,499,500,0,0,0,0,0,6,1635,0,8,0,4,6,1,1
<B3B8C318>,9,np0111,pc189000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,115,uni0009,1,1,54,9,0,0,0,501,0,0,0,0,0,0,4,1636,0,9,0,3,6,1,1
<D0FB0477>,10,np0111,pc190000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,116,uni0010,1,1,24,10,0,0,0,503,504,0,0,0,0,0,12,1637,0,10,0,6,6,1,1
<124D8D9E>,11,np0111,pc281000,pc020000,,pc281000,effect_pc281000,sound_pc281000,,9,119,uni0011,1,2,29,11,0,0,0,505,506,0,0,0,0,0,1,1638,0,11,0,4,11,1,1
<7AE9B6FE>,12,np0111,pc282001,pc282000,,pc282000,effect_pc282000,sound_pc282000,,9,118,uni0012,1,2,13,12,0,0,0,507,0,0,0,0,0,0,13,1639,0,12,0,7,12,1,1
<CC73D79A>,13,np0111,pc283000,pc283000,,pc283000,effect_pc283000,sound_pc283000,,9,118,uni0013,12,2,18,13,0,0,0,509,0,0,0,0,0,0,18,1640,0,13,0,6,13,1,1
<383271D2>,14,np0111,pc284000,pc020000,,pc284000,effect_pc284000,sound_pc284000,,9,119,uni0014,1,2,27,14,0,0,0,511,0,0,0,0,0,0,5,1641,0,14,0,2,14,1,1
<6CB18221>,15,np0111,pc285000,pc020000,,pc020000,effect_pc020000,sound_pc020000,,9,119,uni0015,1,2,26,15,0,0,0,513,514,0,0,0,0,0,15,1642,0,15,0,5,1,1,1
<52234121>,16,np0111,pc286000,pc020000,,pc020000,effect_pc020000,sound_pc020000,,9,118,uni0016,1,2,21,16,0,0,0,515,0,0,0,0,0,0,7,1643,0,16,0,7,16,1,1
<70F659C4>,17,np0111,pc287000,pc020000,,pc283000,effect_pc283000,sound_pc283000,,9,120,uni0017,1,2,24,17,0,0,0,517,518,0,0,0,0,0,8,1644,0,17,0,8,1,1,1
<0B4E9322>,18,np0111,pc288000,pc020000,,pc282000,effect_pc282000,sound_pc282000,,9,118,uni0018,1,2,19,18,0,0,0,519,0,0,0,0,0,0,3,1645,0,18,0,5,18,1,1
<CC6C85E6>,715,np0111,pc381000,pc010000,,pc381000,effect_pc381000,sound_pc381000,,9,117,uni9003,1,1,33,1206,0,0,0,1208,0,0,0,0,0,0,19,2018,0,673,0,13,381,1,1
<75226A79>,718,np0111,pc481000,pc020000,,pc481000,effect_pc481000,sound_pc481000,,9,120,uni9002,12,2,28,1211,0,0,0,1216,1217,0,0,0,0,0,20,1646,0,674,0,11,481,1,1
<E1711184>,719,np0111,pc482000,pc020000,,pc482000,effect_pc482000,sound_pc482000,,9,119,uni9001,1,2,25,1210,0,0,0,1214,1215,0,0,0,0,0,21,1647,0,675,0,12,482,1,1
<172A7DBA>,720,np0111,pc382000,pc010000,,pc382000,effect_pc382000,sound_pc382000,,9,129,uni9004,8,1,30,48,0,0,0,534,0,0,0,0,0,0,22,1652,0,24,0,14,382,1,0
<BEAFC504>,40,np0111,pc281000,pc020000,,pc281000,effect_pc281000,sound_pc281000,,9,119,uni0019,16,2,65535,11,0,0,0,505,506,0,0,0,0,0,0,2017,0,11,0,4,11,1,1
