wpn[0] {2},wpn[1] {2},wpn[2] {2},wpn[3] {2},wpn[4] {2},wpn[5] {2},wpn[6] {2},wpn[7] {2},wpn[8] {2},wpn[9] {2},wpn[10] {2},wpn[11] {2},wpn[12] {2},wpn[13] {2},wpn[14] {2},wpn[15] {2},wpn[16] {2},wpn[17] {2},wpn[18] {2},wpn[19] {2},wpn[20] {2},wpn[21] {2},wpn[22] {2},wpn[23] {2},wpn[24] {2},wpn[25] {2},wpn[26] {2}
375,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635
376,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636
377,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637
378,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638
379,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3184,2940,3550,3600,2882,3400,3134,3280,2892,2970,3008,3260,2698,3250,3590,3470,2950,3174,3460,3164,2988,3214,2784,3124,3600,3600,3600
3194,2802,3300,3610,3280,3410,2616,0,3018,3008,0,3114,2736,3204,3540,3480,2960,3340,3530,3330,0,0,2660,3290,3610,3610,3610
3094,3214,3224,3620,2688,3420,0,0,2902,0,0,3028,2822,3064,3560,3490,2988,3350,2912,3104,0,0,2708,3144,3620,3620,3620
0,0,3084,0,2718,3430,0,0,3074,0,0,2852,2754,2872,3570,3500,0,3360,2642,3270,0,0,0,3154,0,0,0
0,0,2922,0,0,3440,0,0,0,0,0,2606,0,2812,3580,3510,0,3370,0,2862,0,0,0,3320,0,0,0
0,0,2774,0,0,3450,0,0,0,0,0,3038,0,2842,3310,3520,0,3380,0,2998,0,0,0,0,0,0,0
0,0,2764,0,0,0,0,0,0,0,0,0,0,2670,0,0,0,3390,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2832,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
