Name {2},Caption {2},Price {2},category {1},itemID {2},miraniumu {3},material_0 {2},material_1 {2},material_2 {2},material_3 {2},material_4 {2},material_5 {2},mct_0 {1},mct_1 {1},mct_2 {1},mct_3 {1},mct_4 {1},mct_5 {1},rareReID {1},rareReCnt {1},UI2 {2},NoDLC {2}
36,114,0,7,3239,1000,438,469,346,0,0,0,5,5,5,0,0,0,1,1,2749,0
37,115,0,7,3240,1000,276,693,447,0,0,0,1,5,5,0,0,0,4,1,2749,0
38,116,0,7,3241,1000,391,332,276,630,0,0,10,3,5,5,0,0,10,1,2749,0
39,117,0,7,3242,1000,438,469,346,0,0,0,5,5,5,0,0,0,1,1,2749,0
40,118,0,7,3243,1000,276,693,447,0,0,0,1,5,5,0,0,0,4,1,2749,0
41,119,0,7,3244,1000,391,332,276,630,0,0,10,3,5,5,0,0,10,1,2749,0
42,120,0,7,3245,1000,438,469,346,0,0,0,5,5,5,0,0,0,1,1,2749,0
43,121,0,7,3246,1000,276,693,447,0,0,0,1,5,5,0,0,0,4,1,2749,0
44,122,0,7,3247,1000,391,332,276,630,0,0,10,3,5,5,0,0,10,1,2749,0
45,123,0,7,3248,1000,438,469,346,0,0,0,5,5,5,0,0,0,1,1,2749,0
46,124,0,7,3249,1000,276,693,447,0,0,0,1,5,5,0,0,0,4,1,2749,0
47,125,0,7,3250,1000,391,332,276,630,0,0,10,3,5,5,0,0,10,1,2749,0
48,126,0,7,3251,1000,438,469,346,0,0,0,5,5,5,0,0,0,1,1,2749,0
49,127,0,7,3252,1000,276,693,447,0,0,0,1,5,5,0,0,0,4,1,2749,0
50,128,0,7,3253,1000,391,332,276,630,0,0,10,3,5,5,0,0,10,1,2749,0
51,129,0,7,3254,1000,438,469,346,0,0,0,5,5,5,0,0,0,1,1,2749,0
52,130,0,7,3255,1000,276,693,447,0,0,0,1,5,5,0,0,0,4,1,2749,0
53,131,0,7,3256,1000,391,332,276,630,0,0,10,3,5,5,0,0,10,1,2749,0
54,132,0,6,3257,1000,438,469,346,0,0,0,5,5,5,0,0,0,3,1,2749,0
55,133,0,6,3258,1000,276,693,447,0,0,0,1,5,5,0,0,0,12,1,2749,0
56,134,0,6,3259,1000,391,332,276,630,0,0,10,3,5,5,0,0,9,1,2749,0
57,135,0,6,3260,1000,438,469,346,0,0,0,5,5,5,0,0,0,3,1,2749,0
58,136,0,6,3261,1000,276,693,447,0,0,0,1,5,5,0,0,0,12,1,2749,0
59,137,0,6,3262,1000,391,332,276,630,0,0,10,3,5,5,0,0,9,1,2749,0
60,138,0,6,3263,1000,438,469,346,0,0,0,5,5,5,0,0,0,3,1,2749,0
61,139,0,6,3264,1000,276,693,447,0,0,0,1,5,5,0,0,0,12,1,2749,0
62,140,0,6,3265,1000,391,332,276,630,0,0,10,3,5,5,0,0,9,1,2749,0
63,141,0,6,3266,1000,438,469,346,0,0,0,5,5,5,0,0,0,3,1,2749,0
64,142,0,6,3267,1000,276,693,447,0,0,0,1,5,5,0,0,0,12,1,2749,0
65,143,0,6,3268,1000,391,332,276,630,0,0,10,3,5,5,0,0,9,1,2749,0
66,144,0,6,3269,1000,438,469,346,0,0,0,5,5,5,0,0,0,3,1,2749,0
67,145,0,6,3270,1000,276,693,447,0,0,0,1,5,5,0,0,0,12,1,2749,0
68,146,0,6,3271,1000,391,332,276,630,0,0,10,3,5,5,0,0,9,1,2749,0
69,147,0,6,3272,1000,438,469,346,0,0,0,5,5,5,0,0,0,3,1,2749,0
70,148,0,6,3273,1000,276,693,447,0,0,0,1,5,5,0,0,0,12,1,2749,0
71,149,0,6,3274,1000,391,332,276,630,0,0,10,3,5,5,0,0,9,1,2749,0
1,79,0,7,3204,1000,649,648,388,446,697,0,1,1,3,5,5,0,14,1,2749,0
2,80,0,7,3205,1000,649,648,388,446,697,0,1,1,3,5,5,0,15,1,2749,0
3,81,0,7,3206,1000,649,648,388,446,697,0,1,1,3,5,5,0,14,1,2749,0
4,82,0,7,3207,1000,649,648,388,446,697,0,1,1,3,5,5,0,15,1,2749,0
5,83,0,7,3208,1000,649,648,388,446,697,0,1,1,3,5,5,0,14,1,2749,0
6,84,0,7,3209,1000,649,648,388,446,697,0,1,1,3,5,5,0,15,1,2749,0
7,85,0,7,3210,1000,649,648,388,446,697,0,1,1,3,5,5,0,10,1,2749,0
8,86,0,7,3211,1000,649,648,388,446,697,0,1,1,3,5,5,0,14,1,2749,0
