Resource {7},Motion {7},MtpInChara {7},MtpInWpn {7},MtpOutChara {7},MtpOutWpn {7},Cartridge {1}
wd/wd022101r,wd/wd022101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0221011r,wd/wd022101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0221012r,wd/wd022101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0221013r,wd/wd022101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0221014r,wd/wd022101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0221015r,wd/wd022101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0221016r,wd/wd022101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd022101l,wd/wd022101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0221011l,wd/wd022101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0221012l,wd/wd022101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0221013l,wd/wd022101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0221014l,wd/wd022101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0221015l,wd/wd022101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0221016l,wd/wd022101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd023001r,wd/wd023001r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0230011r,wd/wd023001r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0230012r,wd/wd023001r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0230013r,wd/wd023001r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0230014r,wd/wd023001r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0230015r,wd/wd023001r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0230016r,wd/wd023001r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd023001l,wd/wd023001l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0230011l,wd/wd023001l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0230012l,wd/wd023001l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0230013l,wd/wd023001l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0230014l,wd/wd023001l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0230015l,wd/wd023001l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0230016l,wd/wd023001l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd022301r,wd/wd022301r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0223011r,wd/wd022301r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0223012r,wd/wd022301r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0223013r,wd/wd022301r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0223014r,wd/wd022301r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0223015r,wd/wd022301r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0223016r,wd/wd022301r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd022301l,wd/wd022301l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0223011l,wd/wd022301l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0223012l,wd/wd022301l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0223013l,wd/wd022301l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0223014l,wd/wd022301l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0223015l,wd/wd022301l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0223016l,wd/wd022301l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
