Name {2},RBodyRscID {2},LBodyRscID {2},RscBullet {2},RscEff {7},RscSe {7},TypeRange {1},TypeWpn {1},TypeWpn2 {1},Damage {3},Stability {1},Atr {1},Magazine {1},DMRatio {2},Recast {2},RateBonus {4},DexBonus {4},MakerID {1},MakerLv {1},Rare {1},EquLv {1},GneLv {1},Affix[0] {2},Affix[1] {2},Affix[2] {2},AffixCount {1},SlotNum {1},Price {2},ItemInfo [NoSell] {1},Hanger [SideR] {1},Hanger [BackR] {1},Hanger [BackL] {1},Hanger [SideL] {1},Flag {1},HoldType {1},UseType {1},ArtsID {2},UI {2},UI2 {2}
9,113,120,0,012701,012701,1,4,1,40,15,4,5,10,90,0,0,1,1,1,20,0,0,0,0,3,1,0,1,0,0,0,0,1,1,1,9,1055,910
1,1,8,0,022101,022101,2,4,1,300,8,1,0,58,120,0,0,1,1,1,20,0,0,0,0,0,0,0,1,0,0,0,0,1,7,17,1,1047,902
1,1,8,0,022101,022101,2,4,1,100,10,1,0,3000,90,0,0,1,10,60,1,0,0,0,0,0,0,100,0,0,0,0,0,1,7,19,1,1047,902
2,15,22,0,023001,023001,2,4,1,480,10,5,0,1,60,0,0,5,10,100,1,0,0,0,0,0,0,100,0,0,0,0,0,1,7,17,2,1048,903
3,29,36,0,022301,022301,2,4,1,100,10,5,0,1,90,0,0,5,10,100,1,0,0,0,0,0,0,100,0,0,0,0,0,1,7,17,3,1049,904
4,43,50,0,022201,022201,2,4,1,100,10,3,0,1,90,0,0,2,10,70,1,0,0,0,0,0,0,100,0,0,0,0,0,1,7,19,4,1050,905
5,57,64,0,022801,022801,2,4,1,100,10,4,0,1,90,0,0,2,10,70,1,0,0,0,0,0,0,100,0,0,0,0,0,1,7,19,5,1051,906
6,71,78,0,023101,023101,2,4,1,100,10,2,0,1,90,0,0,2,10,70,1,0,0,0,0,0,0,100,0,0,0,0,0,1,7,21,6,1052,907
7,85,92,0,022401,022401,2,4,1,520,10,1,1,1,90,0,0,2,10,70,1,0,0,0,0,0,0,100,0,0,0,0,0,1,7,23,7,1053,908
8,99,106,0,022701,022701,2,4,1,100,10,2,0,1,90,0,0,2,10,70,1,0,0,0,0,0,0,100,0,0,0,0,0,1,7,25,8,1054,909
9,113,120,0,012701,012701,1,4,1,100,10,1,1,1,60,0,0,2,10,90,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,1,9,1055,910
10,127,134,0,013101,013101,1,4,1,100,10,1,8,1,45,0,0,6,10,0,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,1,10,1056,911
11,141,148,0,013201,013201,1,4,1,100,10,5,1,1,90,0,0,2,10,90,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,1,11,1057,912
12,155,162,0,012101,012101,1,4,1,200,10,1,16,1,40,0,0,2,10,10,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,3,12,1058,913
13,169,176,0,012107,012107,1,4,1,100,10,3,12,1,40,0,0,4,10,20,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,3,13,1059,914
14,183,190,0,012201,012201,1,4,1,280,10,1,24,1,80,0,0,3,10,30,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,5,14,1060,915
15,197,204,0,012207,012207,1,4,1,100,10,3,16,1,80,0,0,5,10,40,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,5,15,1061,916
16,211,218,0,012211,012211,1,4,1,100,10,2,20,1,80,0,0,5,10,40,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,5,16,1062,917
17,225,232,0,013001,013001,1,4,1,250,10,2,12,1,80,0,0,5,10,40,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,5,17,1063,918
18,239,246,0,013005,013005,1,4,1,100,10,2,16,1,80,0,0,5,10,40,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,5,18,1064,919
19,253,260,0,012301,012301,1,4,1,320,10,1,6,1,90,0,0,6,10,50,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,7,19,1065,920
20,267,274,1,012901,012901,1,4,1,100,10,4,3,1,120,0,0,3,10,110,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,9,20,1066,921
21,281,288,0,012401,012401,1,4,1,800,10,1,6,1,120,0,0,7,10,60,1,0,0,0,0,0,0,100,0,0,0,0,0,1,3,11,21,1067,922
22,295,302,0,012406,012406,1,4,1,100,10,3,6,1,120,0,0,8,10,70,1,0,0,0,0,0,0,100,0,0,0,0,0,1,3,11,22,1068,923
23,309,316,0,012410,012410,1,4,1,100,10,2,6,1,120,0,0,8,10,70,1,0,0,0,0,0,0,100,0,0,0,0,0,1,3,11,23,1069,924
24,323,330,0,012801,012801,1,4,1,100,10,2,4,1,120,0,0,8,10,70,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,5,24,1070,925
25,337,344,0,012601,012601,1,4,1,100,10,4,5,1,150,0,0,1,10,80,1,0,0,0,0,0,0,100,0,0,0,0,0,1,5,13,25,1071,926
26,351,358,0,012605,012605,1,4,1,100,10,4,5,1,150,0,0,1,10,80,1,0,0,0,0,0,0,100,0,0,0,0,0,1,5,13,26,1072,927
27,365,372,0,012501,012501,1,4,1,450,10,4,6,1,120,0,0,1,10,80,1,0,0,0,0,0,0,100,0,0,0,0,0,1,5,15,27,1073,928
28,379,386,0,302001,302001,2,4,1,100,10,1,1,1,30,0,0,1,10,1,1,0,0,0,0,0,0,100,0,0,0,0,0,1,7,17,28,1049,929
29,393,400,0,302101,302101,2,4,1,100,10,1,1,1,30,0,0,1,10,1,1,0,0,0,0,0,0,100,0,0,0,0,0,1,7,17,29,1049,930
30,407,414,0,302201,302201,2,4,1,100,10,1,1,1,50,0,0,1,10,1,1,0,0,0,0,0,0,100,0,0,0,0,0,1,7,19,30,1051,931
31,1301,1304,0,061101,061101,2,4,1,100,10,3,0,1,45,0,0,1,1,1,1,0,0,0,0,0,0,100,0,0,0,0,0,1,7,17,31,1050,932
32,1307,1310,0,061301,061301,1,4,1,100,10,3,12,1,90,0,0,1,1,1,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,1,32,1061,933
33,421,0,0,022501,022501,2,1,5,1000,10,3,0,0,1800,0,0,3,10,90,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,33,0,934
34,428,0,0,023201,023201,2,1,5,100,10,1,0,0,1350,0,0,6,10,110,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,34,0,935
35,435,0,0,022601,022601,2,1,5,100,10,1,0,0,1800,0,0,3,10,90,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,35,0,936
36,442,0,0,022901,022901,2,1,5,100,10,2,0,0,90,0,0,3,10,90,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,36,0,937
37,449,0,0,010201,010201,2,2,2,1400,10,7,0,0,2700,0,0,3,10,90,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,37,0,938
38,456,0,0,010202,010202,2,2,2,100,10,7,0,0,90,0,0,3,10,90,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,38,0,939
39,463,0,0,010601,010601,2,2,2,100,10,1,0,0,90,0,0,3,10,90,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,39,0,940
40,470,0,0,032501,032501,1,1,5,1200,10,2,1,0,1800,0,0,4,10,50,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,40,0,941
41,477,0,0,032901,032901,1,1,5,100,10,5,1,0,1800,0,0,5,10,70,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,41,0,942
42,484,0,0,033401,033401,1,1,5,100,10,2,1,0,1800,0,0,4,10,50,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,42,0,943
43,491,0,0,033501,033501,1,1,5,100,10,2,1,0,1800,0,0,4,10,50,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,43,0,944
44,498,0,0,010301,010301,1,2,2,100,10,2,1,0,90,0,0,4,10,50,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,44,0,945
45,505,0,0,010302,010302,1,2,2,100,10,2,1,0,90,0,0,4,10,50,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,45,0,946
46,512,0,0,010401,010401,1,2,2,100,10,2,60,0,90,0,0,1,10,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,46,0,947
47,519,0,0,010402,010402,1,2,2,100,10,2,1,0,90,0,0,1,10,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,47,0,948
48,526,0,0,010501,010501,1,2,2,100,10,2,1,0,90,0,0,1,10,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,48,0,949
49,533,540,0,034101,034101,1,2,2,240,10,4,6,0,900,0,0,8,10,100,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,49,0,950
50,547,554,0,034105,034105,1,2,2,100,10,4,8,0,90,0,0,8,10,100,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,50,0,951
51,561,568,0,034109,034109,1,2,2,100,10,4,6,0,90,0,0,8,10,100,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,51,0,952
52,575,582,0,034201,034201,1,2,2,100,10,4,3,0,900,0,0,8,10,100,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,52,0,953
53,589,596,0,034401,034401,1,2,2,100,10,4,1,0,1350,0,0,8,10,100,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,53,0,954
54,603,610,0,035101,035101,1,2,2,800,10,4,1,0,1200,0,0,8,10,100,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,54,0,955
55,617,624,0,034901,034901,1,2,2,100,10,4,1,0,90,0,0,8,10,100,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,55,0,956
56,631,638,0,034601,034601,1,2,2,340,10,1,10,0,900,0,0,3,10,10,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,56,0,957
57,645,652,0,034701,034701,1,2,2,600,10,2,12,0,900,0,0,5,10,20,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,57,0,958
