label {9},style {2},name {7}
MultiQuestPurposeSQ001,76,Defeat the millesaur.
MultiQuestPurposeSQ002,76,
MultiQuestPurposeSQ003,76,Defeat the colubrim.
MultiQuestPurposeSQ004,76,Rescue the research team.
MultiQuestPurposeSQ005,76,Defeat the Vasara.
MultiQuestPurposeSQ006,76,Defeat the Yggralith.
MultiQuestPurposeSQ007,76,
MultiQuestPurposeSQ008,76,Defeat the Rexoskell.
MultiQuestPurposeSQ009,76,Defeat the Almandal.
MultiQuestPurposeSQ010,76,Defeat the sabula.
MultiQuestPurposeSQ011,76,
MultiQuestPurposeSQ012,76,Defeat the Qmoevas.
MultiQuestPurposeSQ013,76,Defeat the Seidr.
MultiQuestPurposeSQ014,76,
MultiQuestPurposeSQ015,76,
MultiQuestPurposeSQ016,76,Defeat the Marnucks.
MultiQuestPurposeSQ017,76,Defeat the Milsaadi.
MultiQuestPurposeSQ018,76,Defeat the Sylooth.
MultiQuestPurposeSQ019,76,
MultiQuestPurposeSQ020,76,Defeat the lophid.
MultiQuestPurposeSQ021,76,Defeat the balaena and the scintimure.
MultiQuestPurposeSQ022,76,Defeat the vigents.
MultiQuestPurposeSQ023,76,Defeat the simius.
MultiQuestPurposeSQ024,76,Defeat the cervus.
MultiQuestPurposeSQ025,76,Defeat the coronids.
MultiQuestPurposeSQ026,76,Defeat the auravis.
MultiQuestPurposeSQ027,76,Defeat the levitath.
MultiQuestPurposeSQ028,76,Defeat the millepod.
MultiQuestPurposeSQ029,76,
MultiQuestPurposeSQ030,76,Defeat the ictuses.
MultiQuestPurposeSQ031,76,Defeat all enemies.
MultiQuestPurposeSQ032,76,Defeat the vespers.
MultiQuestPurposeSQ033,76,Defeat the aeviters.
MultiQuestPurposeSQ034,76,Defeat the cantors.
MultiQuestPurposeSQ035,76,Defeat all enemies.
MultiQuestPurposeSQ036,76,Defeat the progen.
MultiQuestPurposeSQ037,76,Defeat all enemies.
MultiQuestPurposeSQ038,76,Defeat all enemies.
MultiQuestPurposeSQ039,76,Defeat all enemies.
MultiQuestPurposeSQ040,76,Defeat all enemies.
MultiQuestPurposeSQ041,76,Defeat all enemies.
MultiQuestPurposeSQ042,76,Investigate Noctilum.
MultiQuestPurposeSQ043,76,Defeat all enemies.
MultiQuestPurposeSQ044,76,Defeat all enemies.
MultiQuestPurposeSQ045,76,Defeat the ciniculas.
MultiQuestPurposeSQ046,76,Investigate O'rrh Sim Keep.
MultiQuestPurposeSQ047,76,Defeat all enemies.
MultiQuestPurposeSQ048,76,Defeat all enemies.
MultiQuestPurposeSQ049,76,Retrieve the White Whale debris.
MultiQuestPurposeSQ050,76,Defeat the suids.
MultiQuestPurposeSQ051,76,Defeat all enemies.
MultiQuestPurposeSQ052,76,Defeat all enemies.
MultiQuestPurposeSQ053,76,Retrieve puge parts.
MultiQuestPurposeSQ054,76,Defeat the petramands.
MultiQuestPurposeSQ055,76,Investigate the strange nest.
MultiQuestPurposeSQ056,76,Defeat the balaena.
MultiQuestPurposeSQ057,76,Investigate the evello nest.
