label {9},style {2},name {7}
MultiQuestSummary001,153,"You're needed at King's Falls, where a wounded millesaur
is kicking up a storm. Even other indigens are vacating the
area for safety. ...Say, were those vespers among them?"
MultiQuestSummary002,153,
MultiQuestSummary003,153,"This is EXACTLY why I said to be careful! The ruckus at
the Divine Roost woke an especially dangerous indigen
known as a colubrim. You'll need a Skell if you want to
keep your limbs!"
MultiQuestSummary004,153,"We lost contact with the research team we dispatched to
Lake Ciel after they came under fire from unidentified
craft. Get out there and back them up!"
MultiQuestSummary005,153,"Someone claiming to be a mercenary warlord heard about
how you took out grexes and scintimures, and now wants
to take you on in fair combat. Don't pass this up!"
MultiQuestSummary006,153,"We found what the indigens you took out earlier were so
afraid of—there's a massive ether signature coming from
near the mission area. You'd better head there in a Skell."
MultiQuestSummary007,153,
MultiQuestSummary008,153,"We've confirmed visual contact of a new enemy fighter,
and now we need you to glean data by engaging the
target. Of course, if you want to defeat it, too, we
certainly won't stand in your way!"
MultiQuestSummary009,153,"Seidr threat neutralized. Good wor— What the?! Alert!
Something extremely fast and powerful has just exited a
Ganglion outpost—it's moving in at six times normal
cruise velocity! We need you to intercept now!"
MultiQuestSummary010,153,"We have a sabula problem we need you to take care of
ASAP. It seems a renegade oc-serv jolted the creature
awake, and now, it's not very happy. Keep your eyes
peeled for sneak attacks from below."
MultiQuestSummary011,153,
MultiQuestSummary012,153,"We were spotted by a Ganglion patrol team while
engaging a thallus. Looks like it's out of the frying pan
and into the furnace for us."
MultiQuestSummary013,153,"We've identified the Ganglion culprits who were using
xe-dom to stir up gravitational anomalies. Let's get out
there and bring their hijinks to an end!"
MultiQuestSummary014,153,
MultiQuestSummary015,153,
MultiQuestSummary016,153,"Clues pieced together from the Beasts' Lair have allowed
us to zero in on a Marnuck unit's current location.
These guys are seasoned fighters that tend to use
teamwork to their advantage, so stay alert!"
MultiQuestSummary017,153,"The unmanned craft were being remotely controlled by
an enemy outfit based in Sylvalum's Hilal Stronghold.
We're spread too thin to expend big resources here—
avoid Skells and take them out with a small, elite team."
MultiQuestSummary018,153,"A Sylooth couple is on a destructive rampage after a riling
scuffle among their kind. Neutralize the threat before the
entire forest is reduced to twigs! You'll find them north
of Tripod Rock, at the Great Nail!"
MultiQuestSummary019,153,
MultiQuestSummary020,153,"Looks like even fish that swim the skies have leaders.
While I'm sure you'd love to go land one, the adseculas
that swarm its lantern are what you really need to be
looking out for..."
MultiQuestSummary021,153,"Marnucks let a balaena and a scintimure they were
training escape, and now they're both running amok.
The area's roiling with storms and heat waves,
so be careful out there."
MultiQuestSummary022,153,"Uh-oh. Some vigents the Ganglion captured have broken
free. They're large, carnivorous, and extremely upset.
This is quite a present they've left for us, huh?
Time to go clean up the mess!"
MultiQuestSummary023,153,"Our Sylooth skirmish ticked off the leader-class resident
of the Canopied Nightwood, and now it's destroying
everything. Do something before our camp gets cratered!"
MultiQuestSummary024,153,"Though it was part of our visigel extermination effort,
attacking the cervus herd has angered its leader.
Unfortunately, conflict is our only option here."
MultiQuestSummary025,153,"We found a Ganglion facility conducting ether experiments
on live subjects. These foes are hardier than usual, so
engage with Skells and use Bind to make them vulnerable."
MultiQuestSummary026,153,"The Drongo Caravan gave us info about the auravis.
Though revered as the forest's protector, the beast is
merciless. Apparently, a saltat's dance has been known
to call it forth."
MultiQuestSummary027,153,"Though the murra is generally a symbiont to the levitath,
fluctuations in ether density have elicited volatile changes
in the latter's temperament. Defeat these frenzied beasts
before they attack our nearby camps!"
MultiQuestSummary028,153,"While the garrison was in an uproar, we confirmed that
Scabland Fortress launched several Qmoeva units with a
millepod in tow. We need you to sortie and neutralize
the threat immediately!"
MultiQuestSummary029,153,
MultiQuestSummary030,153,"Eradication of the cinicula has allowed an equally
ferocious species of indigen known as the ictus to flourish.
An ictus roars when it means business, so keep your ears
pricked. Try inflicting Topple to gain an advantage!"
MultiQuestSummary031,153,"Primordia is even more dangerous with hungry grexes on
the prowl, as starvation tends to amplify their ferocity.
Put them down before something bad happens."
