QuestCondition1 {2},QuestID1 {2},QuestCondition2 {2},QuestID2 {2},QuestCondition3 {2},QuestID3 {2},QuestCondition4 {2},QuestID4 {2},QuestCondition5 {2},QuestID5 {2},QuestCondition6 {2},QuestID6 {2},QuestCondition7 {2},QuestID7 {2},QuestCondition8 {2},QuestID8 {2},QuestCondition9 {2},QuestID9 {2},QuestCondition10 {2},QuestID10 {2}
5294,20030,5295,20031,5296,20032,5297,20033,5298,20034,5310,20000,5297,20035,0,0,0,0,0,0
5294,20036,5295,20037,5296,20038,5297,20039,5298,20040,5295,20041,5312,20020,0,0,0,0,0,0
5294,20042,5295,20043,5296,20044,5297,20045,5298,20046,5294,20047,5311,20029,5298,20048,0,0,0,0
5294,20049,5295,20050,5296,20051,5297,20052,5298,20053,5295,20054,5311,20003,5313,20055,0,0,0,0
5294,20056,5295,20057,5296,20058,5297,20059,5298,20060,5295,20061,5297,20062,0,0,0,0,0,0
5294,20019,5295,20063,5296,20064,5297,20065,5298,20066,5294,20067,5296,20068,5298,20069,0,0,0,0
5294,20070,5295,20071,5296,20072,5297,20073,5298,20074,5295,20075,5312,20017,0,0,0,0,0,0
5294,20076,5295,20077,5296,20078,5297,20079,5298,20080,5295,20081,5312,20021,5298,20082,0,0,0,0
5294,20083,5295,20084,5296,20085,5297,20086,5298,20087,5294,20088,5296,20089,5312,20024,0,0,0,0
5294,20090,5295,20091,5296,20092,5297,20093,5298,20094,5309,20022,5295,20095,5311,20096,5297,20097,5298,20098
5294,20099,5295,20100,5296,20102,5297,20101,5298,20103,5310,20104,5312,20004,5298,20105,0,0,0,0
5294,20106,5295,20108,5296,20026,5297,20107,5298,20109,5295,20111,5297,20110,0,0,0,0,0,0
5294,20112,5295,20113,5296,20115,5297,20114,5298,20116,5310,20025,5297,20117,0,0,0,0,0,0
5294,20118,5295,20119,5296,20120,5297,20121,5298,20122,5310,20015,5312,20009,5298,20123,0,0,0,0
5294,20124,5295,20125,5296,20126,5297,20127,5298,20128,5295,20129,5312,20027,5313,20008,0,0,0,0
5294,20130,5295,20131,5296,20132,5297,20133,5298,20134,5309,20011,5311,20135,5313,20002,0,0,0,0
5294,20136,5295,20137,5296,20138,5297,20139,5298,20010,5295,20140,5312,20141,0,0,0,0,0,0
5294,20142,5295,20143,5296,20144,5297,20145,5298,20146,5310,20147,5296,20006,5312,20014,0,0,0,0
5294,20148,5295,20149,5296,20150,5297,20151,5298,20152,5294,20153,5311,20018,5297,20154,5298,20155,0,0
5294,20156,5295,20157,5296,20158,5297,20159,5298,20160,5295,20161,5296,20162,5312,20023,5298,20163,0,0
5294,20164,5295,20165,5296,20166,5297,20167,5298,20168,5295,20169,5311,20007,5297,20170,5313,20016,0,0
5294,20171,5295,20172,5296,20173,5297,20174,5298,20175,5294,20176,5296,20177,5312,20012,0,0,0,0
5294,20178,5295,20179,5296,20180,5297,20181,5298,20182,5309,20183,5311,20184,5312,20005,5298,20185,0,0
5294,20186,5295,20187,5296,20188,5297,20189,5298,20190,5294,20191,5296,20192,5313,20001,0,0,0,0
5294,20193,5295,20194,5296,20195,5297,20196,5298,20028,5295,20198,5311,20013,5297,20199,5313,20197,0,0
