ID_int {9},TargetType1 {1},SquadTarget1 {2},TRTicket1 {2},SquadFlg1 {2},TargetType2 {1},SquadTarget2 {2},TRTicket2 {2},SquadFlg2 {2},TargetType3 {1},SquadTarget3 {2},TRTicket3 {2},SquadFlg3 {2},TargetType4 {1},SquadTarget4 {2},TRTicket4 {2},SquadFlg4 {2},TargetType5 {1},SquadTarget5 {2},TRTicket5 {2},SquadFlg5 {2},QuestTable {2},LimitTime {1},MissionTicket {2},CompCondition {2},MCRTicketS {2},MCRTicketG {2},OrderCondition {2},Group {1},StatsID {2},BladeQuestNo {1}
<3618B3D6>,0,7,20,1,0,8,10,2,1,6,10,3,0,10,10,4,0,11,10,5,1,60,20,2752,20,50,0,1,278,1
<F928EB2D>,0,12,10,1,0,13,10,2,0,14,20,3,0,15,10,4,0,16,20,5,2,60,30,2752,18,45,0,1,279,2
<491FFD70>,1,14,10,1,0,18,10,2,0,19,10,3,0,20,20,4,0,21,10,5,3,60,20,2753,18,45,0,1,280,3
<C59F5D04>,0,22,20,1,0,23,20,2,0,24,10,3,0,25,10,4,0,26,10,5,4,60,30,2753,24,60,0,1,281,4
<9D8F91F5>,0,27,10,1,0,28,10,2,0,29,20,3,0,30,10,4,0,31,10,5,5,60,20,2752,20,50,0,1,282,5
<630ABD73>,0,32,20,1,0,33,20,2,0,34,20,3,0,35,20,4,1,33,30,5,6,60,40,2753,22,55,0,1,283,6
<9F51D785>,0,37,10,1,0,38,10,2,0,39,10,3,0,40,10,4,0,41,20,5,7,60,20,2752,16,40,0,2,284,7
<4491206B>,0,42,30,1,0,43,20,2,0,44,10,3,0,45,10,4,0,46,20,5,8,60,30,2753,20,50,0,2,285,8
<2EE3475A>,0,47,30,1,1,45,30,2,0,49,20,3,0,50,30,4,0,51,10,5,9,60,40,2753,18,45,0,2,286,9
<AA1ABC66>,0,52,20,1,0,53,20,2,0,54,20,3,0,55,10,4,0,56,20,5,10,60,30,2755,20,50,0,2,287,10
<640A70B8>,0,57,20,1,0,58,20,2,0,59,20,3,0,60,20,4,0,61,20,5,11,60,40,2753,22,55,0,2,288,11
<175B134B>,0,62,20,1,0,63,20,2,0,64,10,3,0,65,10,4,0,66,10,5,12,60,30,2752,20,50,0,2,289,12
<94709DF9>,0,67,20,1,0,68,20,2,0,69,20,3,1,67,10,4,0,71,20,5,13,60,30,2752,22,55,0,2,290,13
<F679AAE7>,0,72,20,1,0,73,20,2,0,74,20,3,1,72,10,4,0,76,10,5,14,60,30,2753,22,55,0,2,291,14
<FB858DB8>,0,77,10,1,0,78,30,2,0,79,20,3,0,80,20,4,0,81,30,5,15,60,40,2753,24,60,0,2,292,15
<F90B01B0>,1,79,10,1,1,80,10,2,1,81,10,3,1,82,30,4,1,83,40,5,16,60,40,2753,22,55,0,2,293,16
<65CED89C>,0,87,10,1,0,88,10,2,1,86,0,3,0,90,10,4,0,91,10,5,17,60,20,2752,18,45,5809,2,294,21
<D9960DE8>,1,89,0,1,0,93,10,2,0,94,10,3,0,95,10,4,0,96,10,5,18,60,20,2753,22,55,5809,2,295,22
<13205E59>,0,97,30,1,0,98,20,2,0,99,40,3,0,100,20,4,0,101,20,5,19,60,50,2754,20,50,5809,2,296,23
<5DB4D6F2>,0,102,20,1,1,100,20,2,0,104,30,3,0,105,20,4,0,106,20,5,20,60,40,2754,22,55,0,3,297,17
<BAF71785>,0,107,30,1,0,108,30,2,0,109,20,3,0,110,20,4,0,111,40,5,21,60,50,2754,22,55,0,3,298,18
<DE5D535F>,0,112,10,1,0,113,10,2,0,114,10,3,0,115,20,4,0,116,20,5,22,60,30,2753,20,50,0,3,299,19
<60FEACDC>,0,117,20,1,0,118,20,2,0,119,10,3,0,120,20,4,1,118,20,5,23,60,30,2754,24,60,0,3,300,20
<B3DC0F56>,0,122,10,1,0,123,10,2,0,124,10,3,0,125,10,4,0,126,10,5,24,60,20,2753,24,60,5809,4,301,24
<899B4163>,0,127,10,1,0,128,10,2,0,129,10,3,0,130,10,4,0,131,10,5,25,60,20,2754,24,60,5809,4,302,25
