ID_int {9},QuestType {1},title {2},reward {2},limit_time {1},summary {2},task {2},PurposeTxt {2},number {1},respawn {1},LvMin {1},LvMax {1},inner_only {1},start_hour {1},start_minutes {1},weather {1},wtr_continue {1},custom_zone {2},zone_id {1},multi_quest_flg {2},formationID {2},AcceptCond {2},BtlLockType {1},LodID {3},MatchingID {3},unionID {2},Difficulty {1},Caption {2},Title_replace_ms {1},Title_replace_id {2},Summary_replace_ms1 {1},Summary_replace_id1 {2},Summary_replace_ms2 {1},Summary_replace_id2 {2},Summary_replace_ms3 {1},Summary_replace_id3 {2},StatsID {2},Purpose_replace_ms1 {1},Purpose_replace_id1 {2},Purpose_replace_ms2 {1},Purpose_replace_id2 {2}
11B09947,1,8,1,17,1,1,1,4,3,14,19,1,17,0,11,1,1702,5,0,618,0,2,0,1300001,198,0,0,0,1,1,221,4,70,4,91,0,4,70,0,0
EBC59F93,1,9,2,17,2,2,2,4,3,60,60,1,7,0,9,1,1702,5,0,619,0,2,0,1300002,198,0,0,0,1,4,75,0,1,0,1,0,4,75,0,0
4D08FDCF,1,10,3,21,3,3,3,4,3,43,48,1,5,0,1,0,1602,4,0,620,0,2,0,1300003,198,0,0,0,1,1,47,4,84,0,1,0,4,84,0,0
8FEF3FF1,1,11,4,17,4,4,4,4,3,16,21,1,12,0,3,1,2202,7,0,621,0,2,0,1300004,198,0,0,0,1,1,360,0,1,0,1,0,0,1,0,0
30AA331E,1,12,5,12,5,5,5,4,3,39,44,1,17,0,1,0,2002,6,0,622,0,2,0,1300005,198,0,0,0,1,4,58,4,53,0,1,0,4,5,0,0
5A722C7A,1,13,6,21,6,6,6,4,3,57,60,1,19,0,12,1,2202,7,0,623,0,2,0,1300006,198,0,0,0,1,0,1,0,1,0,1,0,4,89,0,0
EF5D53BE,1,14,7,21,7,7,7,4,3,60,60,1,7,0,3,1,2202,7,0,624,0,2,0,1300007,198,0,0,0,1,4,43,4,88,0,1,0,4,88,0,0
3811D419,1,15,8,17,8,8,8,4,3,41,46,1,19,0,1,1,1502,2,0,625,0,2,0,1300008,198,0,0,0,1,0,1,0,1,0,1,0,4,4,0,0
776C5C20,1,16,9,17,9,9,9,4,3,48,53,1,5,0,11,1,2002,6,0,626,0,2,0,1300009,198,0,0,0,1,4,15,0,1,0,1,0,4,7,0,0
D8214CA9,1,17,10,17,10,10,10,4,3,37,42,1,12,0,3,1,2202,7,0,627,0,2,0,1300010,198,0,0,0,1,4,47,4,12,4,47,0,4,47,0,0
95FB4ECE,1,18,11,17,11,11,11,4,3,60,60,1,0,0,16,1,1702,5,0,628,0,2,0,1300011,198,0,0,0,1,1,190,0,1,0,1,0,4,10,0,0
56AAE0D4,1,19,12,21,12,12,12,4,3,14,19,1,5,0,8,1,1702,5,0,629,0,2,0,1300012,198,0,0,0,1,4,39,0,1,0,1,0,4,13,0,0
364A25CD,1,20,13,17,13,13,13,4,3,55,60,1,12,0,14,1,2002,6,0,630,0,1,622,1300013,198,0,0,0,1,4,18,0,1,0,1,0,4,15,0,0
43850F5F,1,21,14,17,14,14,14,4,3,60,60,1,0,0,14,1,2002,6,0,631,0,2,0,1300014,198,0,0,0,1,4,70,4,18,0,1,0,4,18,0,0
913317E0,1,22,15,21,15,15,15,4,3,60,60,1,0,0,14,1,2002,6,0,632,0,2,0,1300015,198,0,0,4,20,0,1,0,1,0,1,0,4,20,0,0
EE60AF4E,1,23,16,21,16,16,16,4,3,21,26,0,5,0,10,1,1502,2,0,633,0,2,0,1300016,198,0,0,0,1,1,132,4,23,0,1,0,4,23,0,0
0C8346FB,1,24,17,17,17,17,17,4,3,53,58,0,0,0,17,1,2202,7,0,634,0,2,0,1300017,198,0,0,0,1,1,389,0,1,0,1,0,4,24,0,0
6564BE3F,1,25,18,17,18,18,18,4,3,34,39,1,7,0,1,1,1602,4,0,635,0,2,0,1300018,198,0,0,0,1,4,25,1,17,1,51,0,4,25,0,0
4DD56EC3,1,26,19,17,19,19,19,4,3,60,60,1,0,0,13,1,1602,4,0,636,0,2,0,1300019,198,0,0,0,1,4,95,4,36,0,1,0,4,37,0,0
1EA1D06A,1,27,20,21,20,20,20,4,3,7,12,0,7,0,1,1,1502,2,0,637,0,2,0,1300020,198,0,0,0,1,4,44,0,1,0,1,0,4,50,0,0
986608D7,1,28,21,17,21,21,21,4,3,30,35,1,19,0,18,0,1702,5,0,638,0,2,0,1300021,198,0,0,0,1,4,23,4,56,4,53,0,4,56,4,53
48DB9238,1,29,22,17,22,22,22,4,3,36,41,1,0,0,16,1,1502,2,0,639,0,2,0,1300022,198,0,0,0,1,4,60,0,1,0,1,0,4,60,0,0
E9F35365,1,30,23,17,23,23,23,4,3,15,20,1,19,0,1,0,1602,4,0,640,0,2,0,1300023,198,0,0,0,1,4,25,1,58,0,1,0,4,64,0,0
42437ED9,1,31,24,17,24,24,24,4,3,44,49,1,5,0,3,1,2202,7,0,641,0,2,0,1300024,198,0,0,0,1,4,87,4,67,0,1,0,4,67,0,0
3D4450F1,1,32,25,17,25,25,25,4,3,34,39,1,19,0,17,1,2202,7,0,642,0,2,0,1300025,198,0,0,0,1,0,1,0,1,0,1,0,4,71,0,0
6B128FBA,1,33,26,21,26,26,26,4,3,23,28,1,12,0,1,0,1602,4,0,643,0,2,0,1300026,198,0,0,0,1,1,294,4,81,4,95,0,4,81,0,0
BFAA491B,1,34,27,17,27,27,27,4,3,27,32,1,7,0,5,1,1502,2,0,644,0,2,0,1300027,198,0,0,0,1,4,92,4,83,0,1,0,4,83,0,0
893AE54F,1,35,28,17,28,28,28,4,3,39,44,1,5,0,1,1,1702,5,0,645,0,2,0,1300028,198,0,0,4,85,1,195,4,13,4,85,0,4,85,0,0
B1912614,1,36,29,30,29,29,29,4,3,60,60,1,17,0,3,1,2202,7,0,646,0,2,0,1300029,198,0,0,0,1,1,355,4,16,0,1,0,0,1,0,0
C8D1575B,1,37,30,17,30,30,30,4,3,18,23,1,0,0,18,1,1502,2,0,647,0,2,0,1300030,198,0,0,0,1,4,36,4,48,4,48,0,4,48,0,0
C122DAA6,1,38,31,12,31,31,31,4,3,4,14,1,5,0,7,1,1502,2,0,648,0,2,0,1300031,198,0,0,4,58,1,99,4,58,0,1,0,0,1,0,0
A9ED93F6,1,39,32,17,32,32,32,4,3,14,24,0,5,0,5,1,1702,5,0,649,0,2,0,1300032,198,0,0,4,91,1,229,4,91,0,1,0,4,91,0,0
00604D89,1,40,33,12,33,33,33,4,3,20,30,1,7,0,5,1,1602,4,0,650,0,2,0,1300033,198,0,0,0,1,4,49,0,1,0,1,0,4,49,0,0
0710E1DD,1,41,34,17,34,34,34,4,3,29,39,1,12,0,15,1,2202,7,0,651,0,2,0,1300034,198,0,0,0,1,0,1,0,1,0,1,0,4,65,0,0
044B24DB,1,42,35,21,35,35,35,4,3,37,47,1,12,0,1,1,2002,6,0,652,0,2,0,1300035,198,0,0,0,1,1,282,0,1,0,1,0,0,1,0,0
50F892CC,1,43,36,17,36,36,36,4,3,29,39,0,17,0,1,1,1602,4,0,653,0,2,0,1300036,198,0,0,0,1,4,45,4,63,4,63,0,4,63,0,0
