money {3},exp {3},TicketParty {2},TicketSquad {2},u_point {2},classExp {3},btlPoint {2},friendPoint {2},Miranum {3}
4750,20,88,18,10,0,2,0,0
32175,90,510,10,30,0,2,0,0
19200,60,86,9,30,0,2,0,0
6300,30,22,4,15,0,2,0,0
17600,40,41,8,25,0,2,0,0
31000,90,370,7,30,0,2,0,0
32175,40,360,7,25,0,2,0,0
18400,50,82,8,25,0,2,0,0
23850,60,336,34,30,0,2,0,0
16800,50,85,17,25,0,2,0,0
32175,50,330,7,25,0,2,0,0
4750,20,21,4,10,0,2,0,0
30000,70,192,10,30,0,2,0,0
32175,80,480,10,30,0,2,0,0
32175,50,480,10,25,0,2,0,0
7800,30,24,5,15,0,2,0,0
26100,70,184,9,30,0,2,0,0
13650,40,34,7,25,0,2,0,0
32175,40,480,10,20,0,2,0,0
2750,10,44,9,5,0,2,0,0
12250,40,30,6,20,0,2,0,0
16400,60,35,7,30,0,2,0,0
6000,20,21,4,10,0,2,0,0
19600,60,84,8,30,0,2,0,0
13650,50,34,7,25,0,2,0,0
8400,30,24,5,20,0,2,0,0
11200,30,19,4,20,0,2,0,0
17600,50,38,8,25,0,2,0,0
32175,90,330,7,30,0,2,0,0
6900,20,88,18,10,0,2,0,0
3250,10,11,2,5,0,2,0,0
4750,20,13,3,10,0,2,0,0
7500,20,15,3,15,0,2,0,0
11900,30,18,4,20,0,2,0,0
16800,50,23,5,25,0,2,0,0
11900,40,18,4,20,0,2,0,0
2500,10,10,2,5,0,2,0,0
4500,10,12,2,10,0,2,0,0
8100,30,30,6,15,0,2,0,0
12250,40,19,4,20,0,2,0,0
16800,50,23,5,25,0,2,0,0
4500,20,12,2,10,0,2,0,0
2750,10,10,2,5,0,2,0,0
3750,10,12,2,10,0,2,0,0
6900,20,14,3,10,0,2,0,0
11550,30,18,4,20,0,2,0,0
16000,40,22,4,25,0,2,0,0
2250,10,10,2,5,0,2,0,0
16000,40,22,4,25,0,2,0,0
3250,10,11,2,5,0,2,0,0
6300,20,13,3,10,0,2,0,0
8700,30,16,3,15,0,2,0,0
12950,40,20,4,20,0,2,0,0
17600,50,24,5,25,0,2,0,0
3500,20,11,2,10,0,2,0,0
12950,50,30,6,25,0,2,0,0
2250,10,10,2,5,0,2,0,0
4000,10,12,2,10,0,2,0,0
7200,20,14,3,10,0,2,0,0
10850,30,17,3,20,0,2,0,0
13650,40,21,4,25,0,2,0,0
4000,10,12,2,10,0,2,0,0
10850,30,17,3,20,0,2,0,0
6000,20,13,3,10,0,2,0,0
7800,20,15,3,15,0,2,0,0
12600,40,20,4,20,0,2,0,0
16400,40,44,9,25,0,2,0,0
3000,10,11,2,5,0,2,0,0
7800,30,15,3,15,0,2,0,0
16400,50,22,4,25,0,2,0,0
3750,10,12,2,10,0,2,0,0
6900,20,14,3,10,0,2,0,0
10850,30,17,3,20,0,2,0,0
13650,40,21,4,25,0,2,0,0
18800,50,50,5,25,0,2,0,0
6900,20,14,3,10,0,2,0,0
4500,20,12,2,10,0,2,0,0
7200,20,14,3,10,0,2,0,0
11550,40,18,4,20,0,2,0,0
16400,50,22,4,25,0,2,0,0
19200,50,50,5,25,0,2,0,0
7200,20,28,6,15,0,2,0,0
19200,60,50,5,25,0,2,0,0
4250,10,12,2,10,0,2,0,0
6900,20,42,8,10,0,2,0,0
10850,30,17,3,20,0,2,0,0
13650,40,21,4,25,0,2,0,0
18800,50,50,5,25,0,2,0,0
4250,10,12,2,10,0,2,0,0
10850,30,34,7,20,0,2,0,0
6000,20,13,3,10,0,2,0,0
7500,30,15,3,15,0,2,0,0
12250,40,19,4,20,0,2,0,0
16400,40,22,4,25,0,2,0,0
22500,60,52,5,25,0,2,0,0
7500,30,15,3,15,0,2,0,0
12250,40,29,6,20,0,2,0,0
16400,50,22,4,25,0,2,0,0
22500,60,52,5,30,0,2,0,0
6600,20,14,3,10,0,2,0,0
8100,30,15,3,15,0,2,0,0
17600,40,24,5,20,0,2,0,0
12600,50,20,4,25,0,2,0,0
22950,60,52,5,30,0,2,0,0
8100,30,46,9,15,0,2,0,0
22950,60,52,5,30,0,2,0,0
4000,10,12,2,10,0,2,0,0
17200,50,23,5,25,0,2,0,0
7800,30,15,3,15,0,2,0,0
22500,60,52,5,30,0,2,0,0
17200,50,23,5,25,0,2,0,0
7800,30,15,3,15,0,2,0,0
6300,20,13,3,10,0,2,0,0
8400,30,15,3,15,0,2,0,0
18000,40,24,5,20,0,2,0,0
13300,50,21,4,25,0,2,0,0
23400,60,54,5,30,0,2,0,0
13300,50,21,4,25,0,2,0,0
4250,10,12,2,10,0,2,0,0
