hashID {9},money {3},exp {3},TicketParty {2},TicketSquad {2},u_point {2},classExp {3},btlPoint {2},friendPoint {2},Miranum {3}
<9752DB46>,7450,400,50,5,0,0,6,0,0
<E893FE93>,23550,10000,210,21,0,0,64,0,0
<433DC3AA>,18200,4000,190,19,0,0,36,0,0
<B6D8DD86>,8150,400,60,6,0,0,6,0,0
<ABBD85BB>,15450,2200,100,10,0,0,18,0,0
<CBFA8DD3>,23100,6600,240,24,0,0,48,0,0
<19D22E2E>,24150,10000,260,26,0,0,64,0,0
<D3A19C22>,16900,4000,140,14,0,0,36,0,0
<D2F946D6>,19350,4000,170,17,0,0,36,0,0
<2BC49400>,15500,2200,130,13,0,0,18,0,0
<B155FA1E>,23550,10000,210,21,0,0,64,0,0
<F59E62DF>,8050,400,60,6,0,0,6,0,0
<9C2CB901>,21800,6600,190,19,0,0,48,0,0
<8558ADB9>,23550,10000,210,21,0,0,64,0,0
<183BC661>,24150,10000,260,26,0,0,64,0,0
<B420E67A>,10500,1200,90,9,0,0,9,0,0
<633AB191>,21100,6600,190,19,0,0,48,0,0
<D288EF86>,14450,2200,120,12,0,0,18,0,0
<C7D5F9DF>,23550,10000,210,21,0,0,64,0,0
<DB0CCF38>,5600,100,30,3,0,0,3,0,0
<0948193B>,13050,2200,110,11,0,0,18,0,0
<44EB1F32>,15150,2200,130,13,0,0,18,0,0
<82F8F6EB>,7800,400,60,6,0,0,6,0,0
<C7DD1FE3>,17950,4000,150,15,0,0,36,0,0
<675B2778>,14450,2200,120,12,0,0,18,0,0
<FAB96ED9>,11200,1200,100,10,0,0,9,0,0
<F198B56A>,12000,1200,100,10,0,0,9,0,0
<75BDD0AA>,16200,2200,140,14,0,0,18,0,0
<C4BA4A21>,25500,10000,360,36,0,0,64,0,0
<91EA3714>,8850,400,70,7,0,0,6,0,0
<018CA24D>,3200,100,10,1,0,0,3,0,0
<B28F9785>,7450,400,50,5,0,0,6,0,0
<6058ABB2>,8800,1200,50,5,0,0,9,0,0
<94E76DC0>,12700,1200,100,10,0,0,9,0,0
<2CD794E2>,16100,2200,160,16,0,0,18,0,0
<EFE311FE>,12700,1200,100,10,0,0,9,0,0
<D1330D5F>,4650,100,30,3,0,0,3,0,0
<D5D56AAF>,7100,400,50,5,0,0,6,0,0
<B71F0F42>,10250,1200,80,8,0,0,9,0,0
<F76D076D>,13050,2200,110,11,0,0,18,0,0
<B2BDE1A3>,15500,2200,130,13,0,0,18,0,0
<C663245D>,7100,400,50,5,0,0,6,0,0
<7A5278AA>,2850,100,10,1,0,0,3,0,0
<1F963B3E>,6050,400,40,4,0,0,6,0,0
<B9E9A1B7>,8850,400,70,7,0,0,6,0,0
<98759CB0>,12350,1200,100,10,0,0,9,0,0
<99528F43>,14800,2200,120,12,0,0,18,0,0
<C6694986>,3600,100,20,2,0,0,3,0,0
<4E64FF59>,14800,2200,120,12,0,0,18,0,0
<4C908BD4>,4950,100,30,3,0,0,3,0,0
<340D34FD>,8150,400,60,6,0,0,6,0,0
<E01874BE>,10950,1200,90,9,0,0,9,0,0
<97C3C957>,14350,2200,140,14,0,0,18,0,0
<B6C4FAC7>,16200,2200,140,14,0,0,18,0,0
<1C5520CA>,5700,100,40,4,0,0,3,0,0
<46D1530E>,13000,2200,80,8,0,0,18,0,0
<8C2035BB>,3500,100,10,1,0,0,3,0,0
<6717A4FC>,5650,400,30,3,0,0,6,0,0
<923176E4>,9800,400,80,8,0,0,6,0,0
<6EF79B66>,11650,1200,90,9,0,0,9,0,0
<62E156FB>,13700,2200,90,9,0,0,18,0,0
<8F0A304B>,6400,400,40,4,0,0,6,0,0
<B22F9E66>,11650,1200,90,9,0,0,9,0,0
<F65635F7>,7050,400,40,4,0,0,6,0,0
<B13E6B91>,9900,1200,80,8,0,0,9,0,0
<A737149B>,14000,2200,140,14,0,0,18,0,0
<BD4F1E3E>,15150,2200,130,13,0,0,18,0,0
<F550CE38>,5000,100,30,3,0,0,3,0,0
<62C1B4CF>,9900,1200,80,8,0,0,9,0,0
<B1D62DF6>,14400,2200,90,9,0,0,18,0,0
<017E6DE3>,6050,400,40,4,0,0,6,0,0
<37BA68A6>,8850,400,70,7,0,0,6,0,0
<93603422>,11650,1200,90,9,0,0,9,0,0
<E6DA2651>,14450,2200,120,12,0,0,18,0,0
<95FF8797>,17250,4000,150,15,0,0,36,0,0
<58935191>,8850,400,70,7,0,0,6,0,0
<8590ED63>,6350,400,40,4,0,0,6,0,0
<F887275E>,9200,400,70,7,0,0,6,0,0
<CE06849C>,12350,1200,100,10,0,0,9,0,0
<09C8B73A>,15150,2200,130,13,0,0,18,0,0
<9E956B67>,17600,4000,150,15,0,0,36,0,0
<60F759E2>,9200,400,70,7,0,0,6,0,0
<AEC89069>,17600,4000,150,15,0,0,36,0,0
<0817DE8A>,6750,400,50,5,0,0,6,0,0
<7EADDDFF>,8850,400,70,7,0,0,6,0,0
<0C6605E8>,11650,1200,90,9,0,0,9,0,0
<16915C5F>,14450,2200,120,12,0,0,18,0,0
<C1025EA8>,17250,4000,150,15,0,0,36,0,0
<7AA59642>,6750,400,50,5,0,0,6,0,0
<9D0CDDDD>,11650,1200,90,9,0,0,9,0,0
<3A8BD544>,7800,400,60,6,0,0,6,0,0
<35BBE0C6>,9550,1200,70,7,0,0,9,0,0
<C169EEFF>,13050,2200,110,11,0,0,18,0,0
<1F0E0BAB>,14400,2200,90,9,0,0,18,0,0
<EC6A375F>,18300,4000,160,16,0,0,36,0,0
<E98B2C20>,9550,1200,70,7,0,0,9,0,0
<FDFE5699>,13050,2200,110,11,0,0,18,0,0
<A98B4B2E>,14400,2200,90,9,0,0,18,0,0
<5CBDC1E6>,17550,4000,110,11,0,0,36,0,0
<E63CE8AA>,8500,400,60,6,0,0,6,0,0
<A9DC4639>,10250,1200,80,8,0,0,9,0,0
<70A3FCD9>,16200,2200,140,14,0,0,18,0,0
<E663DF4B>,12650,2200,80,8,0,0,18,0,0
<14B6188E>,18650,4000,160,16,0,0,36,0,0
<0AFB5D32>,9500,1200,60,6,0,0,9,0,0
<4FE0D129>,18650,4000,160,16,0,0,36,0,0
<F91A7C58>,6400,400,40,4,0,0,6,0,0
<F5AF3CAC>,15850,2200,130,13,0,0,18,0,0
<F1373277>,9900,1200,80,8,0,0,9,0,0
<DA3E9D08>,18300,4000,160,16,0,0,36,0,0
<9CE84095>,15850,2200,130,13,0,0,18,0,0
<89B640C2>,9900,1200,80,8,0,0,9,0,0
<BE0C38A1>,8150,400,60,6,0,0,6,0,0
<9B0ABCED>,10600,1200,80,8,0,0,9,0,0
<37625E43>,16550,4000,140,14,0,0,36,0,0
<88F1D620>,14700,2200,140,14,0,0,18,0,0
<C2813868>,18250,4000,120,12,0,0,36,0,0
<A90036EA>,14700,2200,140,14,0,0,18,0,0
<CC6541E2>,6000,400,30,3,0,0,6,0,0
<1D51BB1F>,9900,1200,80,8,0,0,9,0,0
