ID_int {9},TaskType {1},enemyID1 {2},count1 {1},enemyID2 {2},count2 {1},enemyID3 {2},count3 {1},enemyID4 {2},count4 {1},GimmickType1 {1},MatchingID1 {3},GimmickType2 {1},MatchingID2 {3},GimmickType3 {1},MatchingID3 {3},GimmickType4 {1},MatchingID4 {3},PartsEneID1 {2},PartsName1 {7},PartsCount1 {1},PartsEneID2 {2},PartsName2 {7},PartsCount2 {1},PartsEneID3 {2},PartsName3 {7},PartsCount3 {1},PartsEneID4 {2},PartsName4 {7},PartsCount4 {1},Navi_Type {1},Navi_Title {2}
<40A8B9D5>,0,832,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<13ECC34B>,0,836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<C78BE798>,0,837,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<20FED82F>,0,838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<0DC6736D>,0,840,1,841,1,842,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<6C7C454E>,0,843,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<548E9EB8>,0,845,1,847,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<F8F11110>,0,848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<663477EC>,1,0,0,0,0,0,0,0,0,2,2004011,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,9,7
<31E51BB4>,0,849,1,850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<6F679FB4>,0,851,2,852,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<302017D2>,0,853,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<9BE332CD>,0,855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<FEA2A961>,0,856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<24C3C526>,0,857,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<EAE73B73>,0,858,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<8120A6AA>,0,859,2,860,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<8A919191>,0,861,1,862,1,868,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<F44FC139>,0,869,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<9744B17E>,0,870,1,871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<1985D6A1>,0,872,1,871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<287398AB>,0,875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<4F808209>,0,882,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<D41E92FD>,1,0,0,0,0,0,0,0,0,2,2010021,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,9,7
<3B4D2CBE>,0,881,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<D8924B31>,0,892,1,893,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<EA71C01F>,0,894,1,895,1,896,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<AF48BBB7>,0,898,2,899,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<C56C2F57>,0,900,2,901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<4C8C05AB>,0,902,1,903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<43828942>,0,912,3,913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<2A434877>,0,914,1,915,1,916,1,917,1,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,2,2
