name {7}
Wächterbot
Wächterbot Typ B
Vita
ITM_FIG_004_Name
Rexoskell
Vasara
Zu Pharg
Almandal
Nardacyon
Puge A
Puge B
Pugilith A
Pugilith B
Galdr A
Galdr B
Galdr C
Galdr D
Galdr E
Galdr F
Galdr G
Galdr H
Quo A
Quo B
Oclakai A
Oclakai B
Oclakai C
Oclakai D
Qmoeva A
Qmoeva B
Qmoeva C
Qmoeva D
Qmoeva E
Qmoeva F
Qmoeva G
Qmoeva H
Deva-Caladar
Caladar
Seidr A
Seidr B
Seidr C
Seidr D
Seidr E
Seidr F
Xern
Shrad A
Shrad B
Xe-dom A
Xe-dom B
Xe-dom C
Xe-dom D
Zig A
Zig B
Zig C
Zig D
Zig E
Zig F
Zig G
Zig H
Fal-swo A
Fal-swo B
Fal-swo C
Fal-swo D
Neilnail Albus
Neilnail Furvus
Prog Ares
Skell
Marnuck-Feldherr A
Marnuck A
Marnuck-Feldherr B
Marnuck B
Marnuck-Feldherr C
Marnuck-Feldherr D
Männlicher Milsaadi A
Männlicher Milsaadi B
Weibliche Milsaadi A
Weibliche Milsaadi B
Sylooth A
Gularth A
Sylooth B
Gularth B
Sylooth C
Sylooth D
Männlicher Prone
Weibliche Prone
Definianerin
Wrothianer
Wrothianerin
Goetia
Dagahn
Ryyz
Ga Jiarg
Ga Buidhe
Petramand A
Scirpo A
Petramand B
Petramand C
Scirpo B
Forfex A
Forfex B
Forfex C
Scirpo C
Petramand D
Cinicula A
Falsaxum A
Cinicula B
Falsaxum B
Cinicula C
Cinicula D
Wornte
Thallus A
Thallus B
Tectinsula A
Tectinsula B
Fungipod A
Fungipod B
Blatta A
Blatta B
Blatta C
Blatta D
Blatta E
Turba A
Adsecula A
Papil A
Adsecula B
Papil B
Turba B
Germivore A
Germivore B
Sabula A
Sabula B
Ictus A
Aeviter A
Ictus B
Ictus C
Aeviter B
Lophid A
Ichthopurg A
Lophid B
Ichthopurg B
Duoguill A
Scintimure A
Duoguill B
Scintimure B
Scintimure C
Scintimure D
Aetrygon A
Xiphias A
Aetrygon B
Xiphias B
Balaena A
Ceto A
Balaena B
Ceto B
Grex A
Vulpor A
Grex B
Vulpor B
Vulpor C
Vigent A
Virago A
Vigent B
Virago B
Vigent C
Monoceros A
Progenitor A
Monoceros B
Progenitor B
Monoceros C
Progenitor C
Simius A
Cantor A
Simius B
Cantor B
Aprica A
Cervus A
Aprica B
Cervus B
Suid A
Panzer-Suid
Fracas-Suid A
Suid B
Fracas-Suid B
Ovis A
Ovis C
Ovis B
ITM_FIG_186_Name
ITM_FIG_187_Name
ITM_FIG_188_Name
Millesaurus A
Coronid A
Millesaurus B
Coronid B
Gradivus
Evello A
Caecus A
Caecus B
Evello B
Insidia A
Caecus C
Insidia B
Sphinx A
Sphinx B
Lao
Chimera A
Chimera B
Gerrid A
Lepyx A
Lepyx B
Mortifole A
Sacrifole A
Mortifole B
Mortifole C
Mortifole D
Sacrifole B
Sacrifole C
Auravis A
Jacul A
Auravis B
Jacul B
Levitath A
Levitath B
Levitath C
Colubrim A
Millepod A
Colubrim B
Millepod B
Unafulge A
Visigella A
Unafulge B
Visigella B
Filiavent A
Filiavent B
Phanatos
Pharsis
Yggralith
Telethia
Vesper A
Murra
Terebra A
Mephite A
Terebra B
Mephite B
Mephite C
Saltat A
Liceor A
Saltat B
Saltat C
Saltat D
Liceor B
Saltat E
Saltat F
Saltat G
Saltat H
Potamus A
Potamus B
Dilus A
Tersqual A
Dilus B
Tersqual B
Petramand E
Simius C
Gerrid B
Vesper B
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
Serie „Gewehr“
Serie „Gewehr III“
Serie „Gewehr II“
Serie „Asalto“
Serie „Sclopetum“
Serie „Quälgeist“
Serie „Jubel“
Serie „Kugelhagel“
Serie „Pistolen“
Serie „Pistolen II“
Serie „Gemelas“
Serie „Gemini“
Serie „Pärchen“
Serie „Pärchen III“
Serie „Pärchen II“
Serie „Piffpaffs“
Serie „Blutregen“
Serie „Kanonen“
Serie „Rayo“
Serie „Rayo II“
Serie „Rayo III“
Serie „Fulgur“
Serie „Fulgur II“
Serie „Brutzler“
Serie „Triumph“
Serie „Minigun“
Serie „Minigun II“
Serie „Trueno“
Serie „Perforator II“
Serie „Perforator“
Serie „Griesgram“
Serie „Rattata“
Serie „Zuyse“
Serie „Sniper“
Serie „Sniper II“
Serie „Tirador“
Serie „Sicarius“
Serie „Knallbüchse“
Serie „Pengpeng“
Serie „Todespfeil“
Serie „Todespfeil II“
Serie „Disruptoren“
Serie „Plumas“
Serie „Ruina“
Serie „Ruina II“
Serie „Ruina III“
Serie „Dauerweller“
"Serie \""Flauschwerfer\"""
Serie „Zorcyses“
Serie „Multi“
Serie „Schwert“
Serie „Schwert II“
Serie „Espada“
Serie „Espada II“
Serie „Spatha“
Serie „Stolz“
Serie „Brecher“
Serie „Brecher II“
Serie „Klingen“
Serie „Klingen II“
Serie „Filos“
Serie „Gladii“
Serie „Schnibbler“
Serie „Watxes“
Serie „Schnitter II“
Serie „Schnitter“
Serie „Messer“
Serie „Messer III“
Serie „Messer II“
Serie „Cuchillo“
Serie „Pugio“
Serie „Stichling“
Serie „Iyst“
Serie „Iyst II“
Serie „Schild“
Serie „Escudo“
Serie „Parma“
Serie „Parma II“
Serie „Schützer“
Serie „Schützer II“
Serie „Wehrling“
Serie „Ehre“
Serie „Speer“
Serie „Speer II“
Serie „Lanza“
Serie „Contus“
Serie „Contus II“
Serie „Piekser“
Serie „Jyth“
Serie „Gleve“
Serie „Säbel“
Serie „Brillo“
Serie „Brillo II“
Serie „Lux“
Serie „Lux II“
Serie „Lux III“
Serie „Lichtklinge“
Serie „Lichtklinge II“
Serie der Heiligen Sieben
Legendäres Nopopopopon
Sakuraba Alltag (m)
Sakuraba Alltag (w)
Sakuraba Skell (m)
Sakuraba Skell (w)
Sakuraba Leicht (m)
Sakuraba Leicht (w)
Sakuraba Mittel (m)
Sakuraba Mittel (w)
Sakuraba Schwer (m)
Sakuraba Schwer (w)
Grenada Skell (m)
Grenada Skell (w)
Grenada Leicht (m)
Grenada Leicht (w)
Grenada Mittel (m)
Grenada Mittel (w)
Grenada Schwer (m)
Grenada Schwer (w)
Unbekannt (m)
Unbekannt (w)
Meredith Leicht (m)
Meredith Leicht (w)
Meredith Mittel (m)
Meredith Mittel (w)
Meredith Schwer (m)
Meredith Schwer (w)
Lieb & Stichfest Leicht (m)
Lieb & Stichfest Leicht (w)
Lieb & Stichfest Mittel (m)
Lieb & Stichfest Mittel (w)
Lieb & Stichfest Schwer (m)
Lieb & Stichfest Schwer (w)
Orphean T. Leicht (m)
Orphean T. Leicht (w)
Orphean T. Mittel (m)
Orphean T. Mittel (w)
Orphean T. Schwer (m)
Orphean T. Schwer (w)
Sternenschmiede Leicht (m)
Sternenschmiede Leicht (w)
Sternenschmiede Mittel (m)
Sternenschmiede Mittel (w)
Sternenschmiede Schwer (m)
Sternenschmiede Schwer (w)
Grenada-Badekleidung (m)
Grenada-Badekleidung (w)
ITM_FIG_447_Name
ITM_FIG_448_Name
ITM_FIG_449_Name
ITM_FIG_450_Name
Der Weiße Wal
Lebensspeicher
Bezaubernde Schwestern
Der Bluthummer
